cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,R0-3306,10.0,$k_{S}$,1e-07,9566.578664231394
MDAMB468,R0-3306,10.0,$k_{G2}$,0.011938427963656205,9566.578664231394
MDAMB468,R0-3306,10.0,$k_{M}$$k_{G1}$,0.01695455632393519,9566.578664231394
MDAMB468,R0-3306,10.0,$k_{\phi}$,0.008411155974430665,9566.578664231394
MDAMB468,R0-3306,10.0,$k_{S}$,1e-07,7829.817989717244
MDAMB468,R0-3306,10.0,$k_{G2}$,0.014306672812807118,7829.817989717244
MDAMB468,R0-3306,10.0,$k_{M}$$k_{G1}$,0.014532799928082481,7829.817989717244
MDAMB468,R0-3306,10.0,$k_{\phi}$,0.006611945586668133,7829.817989717244
MDAMB468,R0-3306,10.0,$k_{S}$,1e-07,5194.418457090591
MDAMB468,R0-3306,10.0,$k_{G2}$,0.012458762311083012,5194.418457090591
MDAMB468,R0-3306,10.0,$k_{M}$$k_{G1}$,0.017947903431733966,5194.418457090591
MDAMB468,R0-3306,10.0,$k_{\phi}$,0.007153170977838113,5194.418457090591
MDAMB468,R0-3306,0.031623,$k_{S}$,0.03916387735616418,3.323086794833807e-10
MDAMB468,R0-3306,0.031623,$k_{G2}$,0.0750343479831431,3.323086794833807e-10
MDAMB468,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.09209673213398169,3.323086794833807e-10
MDAMB468,R0-3306,0.031623,$k_{\phi}$,0.5360266987348496,3.323086794833807e-10
MDAMB468,R0-3306,0.031623,$k_{S}$,0.04666752023331723,2.074207202675529e-10
MDAMB468,R0-3306,0.031623,$k_{G2}$,0.07580734182093898,2.074207202675529e-10
MDAMB468,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.07578499699314388,2.074207202675529e-10
MDAMB468,R0-3306,0.031623,$k_{\phi}$,0.4423336670016854,2.074207202675529e-10
MDAMB468,R0-3306,0.031623,$k_{S}$,0.04136942904352843,4.103295982111951e-10
MDAMB468,R0-3306,0.031623,$k_{G2}$,0.06912374298993564,4.103295982111951e-10
MDAMB468,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.0721497074278472,4.103295982111951e-10
MDAMB468,R0-3306,0.031623,$k_{\phi}$,0.5551469172822591,4.103295982111951e-10
MDAMB468,R0-3306,0.01,$k_{S}$,0.04683346664071071,1.748401907218662e-10
MDAMB468,R0-3306,0.01,$k_{G2}$,0.06774318313878275,1.748401907218662e-10
MDAMB468,R0-3306,0.01,$k_{M}$$k_{G1}$,0.07924686523305247,1.748401907218662e-10
MDAMB468,R0-3306,0.01,$k_{\phi}$,0.30515655291868776,1.748401907218662e-10
MDAMB468,R0-3306,0.01,$k_{S}$,0.041722602728176586,1.2796172669538845e-10
MDAMB468,R0-3306,0.01,$k_{G2}$,0.08492782218708117,1.2796172669538845e-10
MDAMB468,R0-3306,0.01,$k_{M}$$k_{G1}$,0.07218749047577132,1.2796172669538845e-10
MDAMB468,R0-3306,0.01,$k_{\phi}$,0.424956666436754,1.2796172669538845e-10
MDAMB468,R0-3306,0.01,$k_{S}$,0.037871516478553593,2.8576760077641116e-10
MDAMB468,R0-3306,0.01,$k_{G2}$,0.06269579343808182,2.8576760077641116e-10
MDAMB468,R0-3306,0.01,$k_{M}$$k_{G1}$,0.056661735176995985,2.8576760077641116e-10
MDAMB468,R0-3306,0.01,$k_{\phi}$,0.46284164691047164,2.8576760077641116e-10
MDAMB468,R0-3306,0.003162,$k_{S}$,0.04104570625505026,2.6187021117813324e-10
MDAMB468,R0-3306,0.003162,$k_{G2}$,0.07213988665827681,2.6187021117813324e-10
