cell_line,agent,concentration,parameter,rate,obj_func
MGH312,BMS-265246,3.162278,$k_{S}$,0.0036849184484915396,0.9919649643612578
MGH312,BMS-265246,3.162278,$k_{G2}$,0.024030446850603453,0.9919649643612578
MGH312,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.022596187084090148,0.9919649643612578
MGH312,BMS-265246,3.162278,$k_{\phi}$,1e-07,0.9919649643612578
MGH312,BMS-265246,3.162278,$k_{S}$,0.008317163698965898,2.9984952571372013e-10
MGH312,BMS-265246,3.162278,$k_{G2}$,0.016213434504757287,2.9984952571372013e-10
MGH312,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.11667055691092834,2.9984952571372013e-10
MGH312,BMS-265246,3.162278,$k_{\phi}$,0.01573874701628043,2.9984952571372013e-10
MGH312,BMS-265246,3.162278,$k_{S}$,0.016842811386697805,2.9699980861681514e-10
MGH312,BMS-265246,3.162278,$k_{G2}$,0.06703972095074202,2.9699980861681514e-10
MGH312,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.023780000046741284,2.9699980861681514e-10
MGH312,BMS-265246,3.162278,$k_{\phi}$,0.024665866788779012,2.9699980861681514e-10
MGH312,BMS-265246,0.316228,$k_{S}$,0.0015415798617955247,6.591364409031624e-11
MGH312,BMS-265246,0.316228,$k_{G2}$,0.013511422704292236,6.591364409031624e-11
MGH312,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.01848931014380985,6.591364409031624e-11
MGH312,BMS-265246,0.316228,$k_{\phi}$,0.00014558484690585716,6.591364409031624e-11
MGH312,BMS-265246,0.316228,$k_{S}$,0.003070611491555022,2.089379247193176e-11
MGH312,BMS-265246,0.316228,$k_{G2}$,0.007323838689956636,2.089379247193176e-11
MGH312,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.04408849404270658,2.089379247193176e-11
MGH312,BMS-265246,0.316228,$k_{\phi}$,0.008306518683238666,2.089379247193176e-11
MGH312,BMS-265246,0.316228,$k_{S}$,0.020511166918196967,2.533828732251521e-10
MGH312,BMS-265246,0.316228,$k_{G2}$,0.050670493743576295,2.533828732251521e-10
MGH312,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0249677925383887,2.533828732251521e-10
MGH312,BMS-265246,0.316228,$k_{\phi}$,0.04518834764208781,2.533828732251521e-10
MGH312,BMS-265246,10.0,$k_{S}$,0.005164087043487067,3237.3463198163226
MGH312,BMS-265246,10.0,$k_{G2}$,0.016325990431103252,3237.3463198163226
MGH312,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.026217327165682036,3237.3463198163226
MGH312,BMS-265246,10.0,$k_{\phi}$,1e-07,3237.3463198163226
MGH312,BMS-265246,10.0,$k_{S}$,0.0019743587440422244,3603.3697852127325
MGH312,BMS-265246,10.0,$k_{G2}$,0.006433982750657014,3603.3697852127325
MGH312,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.02941446385745252,3603.3697852127325
MGH312,BMS-265246,10.0,$k_{\phi}$,1e-07,3603.3697852127325
MGH312,BMS-265246,0.1,$k_{S}$,0.0035445654502417913,148.26012428075452
MGH312,BMS-265246,0.1,$k_{G2}$,0.010663556256693378,148.26012428075452
MGH312,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.022297649747922886,148.26012428075452
MGH312,BMS-265246,0.1,$k_{\phi}$,1e-07,148.26012428075452
MGH312,BMS-265246,0.1,$k_{S}$,0.020951640024228353,3.0166313754478473e-10
MGH312,BMS-265246,0.1,$k_{G2}$,0.0525711457541656,3.0166313754478473e-10
MGH312,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.03107031050011144,3.0166313754478473e-10
MGH312,BMS-265246,0.1,$k_{\phi}$,0.03885723739645407,3.0166313754478473e-10
MGH312,BMS-265246,0.1,$k_{S}$,0.0032428126683195285,1.8880565651968717e-10
MGH312,BMS-265246,0.1,$k_{G2}$,0.010999569179392658,1.8880565651968717e-10
MGH312,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.017853615177282133,1.8880565651968717e-10
MGH312,BMS-265246,0.1,$k_{\phi}$,0.00923409956883192,1.8880565651968717e-10
MGH312,BMS-265246,1.0,$k_{S}$,0.02265260243333688,1.7822275630590695e-10
MGH312,BMS-265246,1.0,$k_{G2}$,0.08644636543076413,1.7822275630590695e-10
MGH312,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.02643711424003111,1.7822275630590695e-10
MGH312,BMS-265246,1.0,$k_{\phi}$,0.03362521205215016,1.7822275630590695e-10
MGH312,BMS-265246,1.0,$k_{S}$,0.0030160808594163688,1.7725157746321283e-10
MGH312,BMS-265246,1.0,$k_{G2}$,0.011966587154101201,1.7725157746321283e-10
MGH312,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.024600724704688427,1.7725157746321283e-10
MGH312,BMS-265246,1.0,$k_{\phi}$,0.014706723404509544,1.7725157746321283e-10
MGH312,BMS-265246,1.0,$k_{S}$,0.017142657838156793,1.909346546170831e-10
MGH312,BMS-265246,1.0,$k_{G2}$,0.04409321099570931,1.909346546170831e-10
MGH312,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.02293928863478368,1.909346546170831e-10
MGH312,BMS-265246,1.0,$k_{\phi}$,0.02924048409612038,1.909346546170831e-10
MGH312,BMS-265246,0.001,$k_{S}$,0.03256577426284367,6.882508438825565e-11
MGH312,BMS-265246,0.001,$k_{G2}$,0.06823094285676785,6.882508438825565e-11
MGH312,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.042853573759707574,6.882508438825565e-11
MGH312,BMS-265246,0.001,$k_{\phi}$,0.049302626234794124,6.882508438825565e-11
MGH312,BMS-265246,0.001,$k_{S}$,0.028667469405453685,1.4161121884579358e-10
MGH312,BMS-265246,0.001,$k_{G2}$,0.051585772469886236,1.4161121884579358e-10
MGH312,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.03545454684136271,1.4161121884579358e-10
MGH312,BMS-265246,0.001,$k_{\phi}$,0.04875286297282998,1.4161121884579358e-10
MGH312,BMS-265246,0.001,$k_{S}$,0.027325022252116117,1.4076590603157253e-10
MGH312,BMS-265246,0.001,$k_{G2}$,0.04770805777426492,1.4076590603157253e-10
MGH312,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.031602809697988295,1.4076590603157253e-10
MGH312,BMS-265246,0.001,$k_{\phi}$,0.05325776530043487,1.4076590603157253e-10
MGH312,BMS-265246,0.003162,$k_{S}$,0.024156092760395716,2.344806527597982e-10
MGH312,BMS-265246,0.003162,$k_{G2}$,0.04627153057158793,2.344806527597982e-10
MGH312,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.03608939362407033,2.344806527597982e-10
MGH312,BMS-265246,0.003162,$k_{\phi}$,0.03187948586369648,2.344806527597982e-10
MGH312,BMS-265246,0.003162,$k_{S}$,0.007513187175192038,2.617081755652302e-10
MGH312,BMS-265246,0.003162,$k_{G2}$,0.0060515624860588285,2.617081755652302e-10
MGH312,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.03244929893625476,2.617081755652302e-10
MGH312,BMS-265246,0.003162,$k_{\phi}$,0.016847762090991467,2.617081755652302e-10
MGH312,BMS-265246,0.003162,$k_{S}$,0.029644576320829515,2.7679171628343836e-10
MGH312,BMS-265246,0.003162,$k_{G2}$,0.059109228019843106,2.7679171628343836e-10
MGH312,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.02925930835215914,2.7679171628343836e-10
MGH312,BMS-265246,0.003162,$k_{\phi}$,0.07026302847553609,2.7679171628343836e-10
MGH312,BMS-265246,0.031623,$k_{S}$,0.02275731630056741,2.694078586251249e-10
MGH312,BMS-265246,0.031623,$k_{G2}$,0.06314931493585837,2.694078586251249e-10
MGH312,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.02945322681693184,2.694078586251249e-10
MGH312,BMS-265246,0.031623,$k_{\phi}$,0.03096877968681833,2.694078586251249e-10
MGH312,BMS-265246,0.031623,$k_{S}$,0.009482276601643379,3.3564930182827544e-10
MGH312,BMS-265246,0.031623,$k_{G2}$,0.022703285133988452,3.3564930182827544e-10
MGH312,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.0643892355860318,3.3564930182827544e-10
MGH312,BMS-265246,0.031623,$k_{\phi}$,0.020427031246739155,3.3564930182827544e-10
MGH312,BMS-265246,0.031623,$k_{S}$,0.030510328967458863,1.0261499577979398e-10
MGH312,BMS-265246,0.031623,$k_{G2}$,0.06438384286549823,1.0261499577979398e-10
MGH312,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.03546736621754748,1.0261499577979398e-10
MGH312,BMS-265246,0.031623,$k_{\phi}$,0.04883499815585756,1.0261499577979398e-10
MGH312,BMS-265246,0.01,$k_{S}$,0.02277614869664071,1.78217014486107e-10
MGH312,BMS-265246,0.01,$k_{G2}$,0.0644624932183622,1.78217014486107e-10
MGH312,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.029880081043360488,1.78217014486107e-10
MGH312,BMS-265246,0.01,$k_{\phi}$,0.03006493949184504,1.78217014486107e-10
MGH312,BMS-265246,0.01,$k_{S}$,0.028472675315381182,7.564512560949662e-11
MGH312,BMS-265246,0.01,$k_{G2}$,0.04579548430224502,7.564512560949662e-11
MGH312,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.03570333147177017,7.564512560949662e-11
MGH312,BMS-265246,0.01,$k_{\phi}$,0.04716407435942994,7.564512560949662e-11
MGH312,BMS-265246,0.01,$k_{S}$,0.02179221214649597,3.309636175976105e-10
MGH312,BMS-265246,0.01,$k_{G2}$,0.03933423112437482,3.309636175976105e-10
MGH312,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.023880592399344404,3.309636175976105e-10
MGH312,BMS-265246,0.01,$k_{\phi}$,0.04737191041927342,3.309636175976105e-10
