cell_line,agent,concentration,parameter,rate,obj_func
MGH312,BSJ-03-124,0.01,$k_{S}$,0.012851208384590012,4.176950718802509e-10
MGH312,BSJ-03-124,0.01,$k_{G2}$,0.03007251180902732,4.176950718802509e-10
MGH312,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.043100879337700924,4.176950718802509e-10
MGH312,BSJ-03-124,0.01,$k_{\phi}$,0.02592798473280891,4.176950718802509e-10
MGH312,BSJ-03-124,0.01,$k_{S}$,0.028036466050647888,2.7186114324314977e-10
MGH312,BSJ-03-124,0.01,$k_{G2}$,0.05849453148573699,2.7186114324314977e-10
MGH312,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.04365385282099804,2.7186114324314977e-10
MGH312,BSJ-03-124,0.01,$k_{\phi}$,0.08014615333397519,2.7186114324314977e-10
MGH312,BSJ-03-124,0.01,$k_{S}$,0.02521224806876723,3.1342529986555603e-10
MGH312,BSJ-03-124,0.01,$k_{G2}$,0.058093202603418236,3.1342529986555603e-10
MGH312,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.04523150992680191,3.1342529986555603e-10
MGH312,BSJ-03-124,0.01,$k_{\phi}$,0.085677123176571,3.1342529986555603e-10
MGH312,BSJ-03-124,0.001,$k_{S}$,0.027618299636108366,2.1546162364678856e-10
MGH312,BSJ-03-124,0.001,$k_{G2}$,0.0569071685012877,2.1546162364678856e-10
MGH312,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.0562562393121298,2.1546162364678856e-10
MGH312,BSJ-03-124,0.001,$k_{\phi}$,0.05086416299690093,2.1546162364678856e-10
MGH312,BSJ-03-124,0.001,$k_{S}$,0.029731065293198154,1.5602959420076582e-10
MGH312,BSJ-03-124,0.001,$k_{G2}$,0.07021058300571756,1.5602959420076582e-10
MGH312,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.06633483994389366,1.5602959420076582e-10
MGH312,BSJ-03-124,0.001,$k_{\phi}$,0.07141938205701465,1.5602959420076582e-10
MGH312,BSJ-03-124,0.001,$k_{S}$,0.026449629680805633,1.8403718813842187e-10
MGH312,BSJ-03-124,0.001,$k_{G2}$,0.05984793769516116,1.8403718813842187e-10
MGH312,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.052447027960790225,1.8403718813842187e-10
MGH312,BSJ-03-124,0.001,$k_{\phi}$,0.06469523898034582,1.8403718813842187e-10
MGH312,BSJ-03-124,0.1,$k_{S}$,0.025509596828107255,1.442403127879441e-10
MGH312,BSJ-03-124,0.1,$k_{G2}$,0.05311333632262739,1.442403127879441e-10
MGH312,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.05571324512522133,1.442403127879441e-10
MGH312,BSJ-03-124,0.1,$k_{\phi}$,0.041443950103255765,1.442403127879441e-10
MGH312,BSJ-03-124,0.1,$k_{S}$,0.031037456778218727,1.6512111430951295e-10
MGH312,BSJ-03-124,0.1,$k_{G2}$,0.06910009683151924,1.6512111430951295e-10
MGH312,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.06139823753528895,1.6512111430951295e-10
MGH312,BSJ-03-124,0.1,$k_{\phi}$,0.08969288444044649,1.6512111430951295e-10
MGH312,BSJ-03-124,0.1,$k_{S}$,0.026581943446816837,1.509199974508229e-10
MGH312,BSJ-03-124,0.1,$k_{G2}$,0.0524722738550486,1.509199974508229e-10
MGH312,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.0457148266656818,1.509199974508229e-10
