cell_line,agent,concentration,parameter,rate,obj_func
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.00883112159591617,1701.1593926528699
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.02088920474066505,1701.1593926528699
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.017660107374685662,1701.1593926528699
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,1701.1593926528699
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.03236814761597381,8.978633123153506e-11
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.041367160227368124,8.978633123153506e-11
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.014538828060584154,8.978633123153506e-11
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,0.016376640250108907,8.978633123153506e-11
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.0032735333256550254,28159.016601854193
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.006343309390892628,28159.016601854193
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.024194547174465692,28159.016601854193
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,28159.016601854193
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.004262504319449022,8923.364597274274
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.010648172006653984,8923.364597274274
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.028737173533970976,8923.364597274274
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,8923.364597274274
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.009634936478887749,117.38377531203389
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.024352084943684724,117.38377531203389
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.009218490300535837,117.38377531203389
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,117.38377531203389
MGH312,CDK1_2iIII,0.1,$k_{S}$,0.009930239033110263,1.2721933582382752e-10
MGH312,CDK1_2iIII,0.1,$k_{G2}$,0.021109268735819402,1.2721933582382752e-10
MGH312,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.008072434069465265,1.2721933582382752e-10
MGH312,CDK1_2iIII,0.1,$k_{\phi}$,0.004158902786759962,1.2721933582382752e-10
