cell_line,agent,concentration,parameter,rate,obj_func
MGH312,LEE011_Ribociclib,10.0,$k_{S}$,0.027951989769981617,1.0093075005162265e-10
MGH312,LEE011_Ribociclib,10.0,$k_{G2}$,0.0776709611863173,1.0093075005162265e-10
MGH312,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.055378026162114354,1.0093075005162265e-10
MGH312,LEE011_Ribociclib,10.0,$k_{\phi}$,0.04061027285871586,1.0093075005162265e-10
MGH312,LEE011_Ribociclib,10.0,$k_{S}$,0.03339650351204601,3.8886046194489613e-10
MGH312,LEE011_Ribociclib,10.0,$k_{G2}$,0.06803131929540454,3.8886046194489613e-10
MGH312,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.0665699920406692,3.8886046194489613e-10
MGH312,LEE011_Ribociclib,10.0,$k_{\phi}$,0.11156321327806586,3.8886046194489613e-10
MGH312,LEE011_Ribociclib,10.0,$k_{S}$,0.03178251334891036,3.90210686313693e-11
MGH312,LEE011_Ribociclib,10.0,$k_{G2}$,0.0665788674076663,3.90210686313693e-11
MGH312,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.05780433246411871,3.90210686313693e-11
MGH312,LEE011_Ribociclib,10.0,$k_{\phi}$,0.09106406001451703,3.90210686313693e-11
MGH312,LEE011_Ribociclib,1.0,$k_{S}$,0.026424180639512573,2.648268648061967e-10
MGH312,LEE011_Ribociclib,1.0,$k_{G2}$,0.0705373275270235,2.648268648061967e-10
MGH312,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.054559281983689235,2.648268648061967e-10
MGH312,LEE011_Ribociclib,1.0,$k_{\phi}$,0.06159730615093712,2.648268648061967e-10
MGH312,LEE011_Ribociclib,1.0,$k_{S}$,0.02433692852166032,1.0046260485890754e-10
MGH312,LEE011_Ribociclib,1.0,$k_{G2}$,0.05876215095588584,1.0046260485890754e-10
MGH312,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.04792056731321527,1.0046260485890754e-10
MGH312,LEE011_Ribociclib,1.0,$k_{\phi}$,0.06911224052088132,1.0046260485890754e-10
MGH312,LEE011_Ribociclib,1.0,$k_{S}$,0.028163155914594788,2.930888211469369e-10
MGH312,LEE011_Ribociclib,1.0,$k_{G2}$,0.06465644450880598,2.930888211469369e-10
MGH312,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.04583127567427078,2.930888211469369e-10
MGH312,LEE011_Ribociclib,1.0,$k_{\phi}$,0.08009853958249821,2.930888211469369e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{S}$,0.02903188545180715,1.4484018877066822e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{G2}$,0.06866644355937239,1.4484018877066822e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.06986130499339303,1.4484018877066822e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.05253673416243665,1.4484018877066822e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{S}$,0.02584682900587327,3.245682365400045e-11
MGH312,LEE011_Ribociclib,3.162278,$k_{G2}$,0.05291281102708899,3.245682365400045e-11
MGH312,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.05012635354974958,3.245682365400045e-11
MGH312,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.08397684649067506,3.245682365400045e-11
MGH312,LEE011_Ribociclib,3.162278,$k_{S}$,0.027629260131620082,2.747069025162089e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{G2}$,0.054135727023238656,2.747069025162089e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.04809920209622866,2.747069025162089e-10
MGH312,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.07279834122771546,2.747069025162089e-10
MGH312,LEE011_Ribociclib,0.1,$k_{S}$,0.023949508702561025,3.839437380383304e-10
MGH312,LEE011_Ribociclib,0.1,$k_{G2}$,0.062099228286887555,3.839437380383304e-10
MGH312,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.05661299808816485,3.839437380383304e-10
MGH312,LEE011_Ribociclib,0.1,$k_{\phi}$,0.027586311284657404,3.839437380383304e-10
MGH312,LEE011_Ribociclib,0.1,$k_{S}$,0.033944523388979526,2.3105606768911976e-10
MGH312,LEE011_Ribociclib,0.1,$k_{G2}$,0.06914916357807153,2.3105606768911976e-10
MGH312,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.06254018726679118,2.3105606768911976e-10
MGH312,LEE011_Ribociclib,0.1,$k_{\phi}$,0.09621723090368253,2.3105606768911976e-10
MGH312,LEE011_Ribociclib,0.1,$k_{S}$,0.015849589038828316,106938.47899264362
MGH312,LEE011_Ribociclib,0.1,$k_{G2}$,0.010358150353333696,106938.47899264362
MGH312,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.0177008422955624,106938.47899264362
MGH312,LEE011_Ribociclib,0.1,$k_{\phi}$,1e-07,106938.47899264362
MGH312,LEE011_Ribociclib,0.316228,$k_{S}$,0.029556839013068784,3.071804083251758e-10
MGH312,LEE011_Ribociclib,0.316228,$k_{G2}$,0.05596827397848358,3.071804083251758e-10
MGH312,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.0537032592689588,3.071804083251758e-10
MGH312,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0959901188366529,3.071804083251758e-10
