cell_line,agent,concentration,parameter,rate,obj_func
MGH312,R0-3306,0.001,$k_{S}$,0.02609741248063498,1.353388440451791e-10
MGH312,R0-3306,0.001,$k_{G2}$,0.06461743588747006,1.353388440451791e-10
MGH312,R0-3306,0.001,$k_{M}$$k_{G1}$,0.05217488733109432,1.353388440451791e-10
MGH312,R0-3306,0.001,$k_{\phi}$,0.0955856894017087,1.353388440451791e-10
MGH312,R0-3306,0.001,$k_{S}$,0.003926557831271964,80.69611902423105
MGH312,R0-3306,0.001,$k_{G2}$,1e-07,80.69611902423105
MGH312,R0-3306,0.001,$k_{M}$$k_{G1}$,0.022784007802270557,80.69611902423105
MGH312,R0-3306,0.001,$k_{\phi}$,0.009770968266107934,80.69611902423105
MGH312,R0-3306,0.001,$k_{S}$,0.0295845541255561,2.784972005669969e-10
MGH312,R0-3306,0.001,$k_{G2}$,0.05677011689862191,2.784972005669969e-10
MGH312,R0-3306,0.001,$k_{M}$$k_{G1}$,0.05404097251416463,2.784972005669969e-10
MGH312,R0-3306,0.001,$k_{\phi}$,0.10595567294580789,2.784972005669969e-10
MGH312,R0-3306,0.003162,$k_{S}$,0.030884140678028884,2.0702745523835343e-10
MGH312,R0-3306,0.003162,$k_{G2}$,0.08438860124626409,2.0702745523835343e-10
MGH312,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.08019911128804007,2.0702745523835343e-10
MGH312,R0-3306,0.003162,$k_{\phi}$,0.07092633037264122,2.0702745523835343e-10
MGH312,R0-3306,0.003162,$k_{S}$,0.03305372168295606,1.7551430807750571e-10
MGH312,R0-3306,0.003162,$k_{G2}$,0.07796247668970147,1.7551430807750571e-10
MGH312,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.07302623524749759,1.7551430807750571e-10
MGH312,R0-3306,0.003162,$k_{\phi}$,0.08378143726958426,1.7551430807750571e-10
MGH312,R0-3306,0.003162,$k_{S}$,0.02325231466883657,1.7209925840841056e-10
MGH312,R0-3306,0.003162,$k_{G2}$,0.05456120980578344,1.7209925840841056e-10
MGH312,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.049660553612698624,1.7209925840841056e-10
MGH312,R0-3306,0.003162,$k_{\phi}$,0.047123097480896416,1.7209925840841056e-10
MGH312,R0-3306,1.0,$k_{S}$,0.025621502584478158,2.2263236271425192e-10
MGH312,R0-3306,1.0,$k_{G2}$,0.09608400562747202,2.2263236271425192e-10
MGH312,R0-3306,1.0,$k_{M}$$k_{G1}$,0.06366593605075488,2.2263236271425192e-10
MGH312,R0-3306,1.0,$k_{\phi}$,0.07027966033888713,2.2263236271425192e-10
MGH312,R0-3306,1.0,$k_{S}$,0.025692817887892093,1.7727452276553706e-10
MGH312,R0-3306,1.0,$k_{G2}$,0.07230092067162601,1.7727452276553706e-10
MGH312,R0-3306,1.0,$k_{M}$$k_{G1}$,0.05522080576728314,1.7727452276553706e-10
MGH312,R0-3306,1.0,$k_{\phi}$,0.08497644640148772,1.7727452276553706e-10
MGH312,R0-3306,1.0,$k_{S}$,0.0008614492552782844,1977.6418391206125
MGH312,R0-3306,1.0,$k_{G2}$,1e-07,1977.6418391206125
MGH312,R0-3306,1.0,$k_{M}$$k_{G1}$,0.022055637363240514,1977.6418391206125
MGH312,R0-3306,1.0,$k_{\phi}$,0.002201298494863915,1977.6418391206125
MGH312,R0-3306,0.031623,$k_{S}$,0.03149792239460752,1.0367404688525572e-10
MGH312,R0-3306,0.031623,$k_{G2}$,0.09836001633470193,1.0367404688525572e-10
MGH312,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.07599324720532151,1.0367404688525572e-10
MGH312,R0-3306,0.031623,$k_{\phi}$,0.04916604357213521,1.0367404688525572e-10
MGH312,R0-3306,0.031623,$k_{S}$,0.028487561679014544,2.4539795029039873e-10
MGH312,R0-3306,0.031623,$k_{G2}$,0.07598849699957956,2.4539795029039873e-10
MGH312,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.05351583076280989,2.4539795029039873e-10
MGH312,R0-3306,0.031623,$k_{\phi}$,0.11397160749538053,2.4539795029039873e-10
MGH312,R0-3306,0.031623,$k_{S}$,0.025272278865067967,2.1439505964502725e-10
MGH312,R0-3306,0.031623,$k_{G2}$,0.06041119887157916,2.1439505964502725e-10
MGH312,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.04285515450197412,2.1439505964502725e-10
MGH312,R0-3306,0.031623,$k_{\phi}$,0.1004515097296036,2.1439505964502725e-10
MGH312,R0-3306,10.0,$k_{S}$,1e-07,21158.97270536645
