cell_line,agent,concentration,parameter,rate,obj_func
MGH312,Torin2,0.1,$k_{S}$,1e-07,25759.780864069628
MGH312,Torin2,0.1,$k_{G2}$,0.014273536038238064,25759.780864069628
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012591365733265605,25759.780864069628
MGH312,Torin2,0.1,$k_{\phi}$,0.002239212593003388,25759.780864069628
MGH312,Torin2,0.1,$k_{S}$,1e-07,21978.099252636333
MGH312,Torin2,0.1,$k_{G2}$,0.01439590295833257,21978.099252636333
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.011879376816823878,21978.099252636333
MGH312,Torin2,0.1,$k_{\phi}$,0.00611565447864234,21978.099252636333
MGH312,Torin2,0.1,$k_{S}$,0.0036796825456596382,5526.272536883562
MGH312,Torin2,0.1,$k_{G2}$,0.008966095182029794,5526.272536883562
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.02940173499425287,5526.272536883562
MGH312,Torin2,0.1,$k_{\phi}$,1e-07,5526.272536883562
MGH312,Torin2,0.1,$k_{S}$,1e-07,34179.678699525
MGH312,Torin2,0.1,$k_{G2}$,0.012614006287596515,34179.678699525
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012942443527879748,34179.678699525
MGH312,Torin2,0.1,$k_{\phi}$,0.0003854678194951213,34179.678699525
MGH312,Torin2,0.1,$k_{S}$,1e-07,20456.295078192565
MGH312,Torin2,0.1,$k_{G2}$,0.0164954185885237,20456.295078192565
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013633524318446935,20456.295078192565
MGH312,Torin2,0.1,$k_{\phi}$,0.0038899697557964598,20456.295078192565
MGH312,Torin2,0.1,$k_{S}$,1e-07,24490.84595174745
MGH312,Torin2,0.1,$k_{G2}$,0.015308983602662295,24490.84595174745
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.01098212927772196,24490.84595174745
MGH312,Torin2,0.1,$k_{\phi}$,0.004531276512921696,24490.84595174745
MGH312,Torin2,0.1,$k_{S}$,1e-07,16607.43198004673
MGH312,Torin2,0.1,$k_{G2}$,0.017230765755183307,16607.43198004673
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013614441550670202,16607.43198004673
MGH312,Torin2,0.1,$k_{\phi}$,0.011295864850414937,16607.43198004673
MGH312,Torin2,0.1,$k_{S}$,1e-07,46418.86751126861
MGH312,Torin2,0.1,$k_{G2}$,0.012745723748690818,46418.86751126861
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013951727813949443,46418.86751126861
MGH312,Torin2,0.1,$k_{\phi}$,1e-07,46418.86751126861
MGH312,Torin2,0.1,$k_{S}$,1e-07,30736.104560211825
MGH312,Torin2,0.1,$k_{G2}$,0.01406677866612135,30736.104560211825
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012399544015036843,30736.104560211825
MGH312,Torin2,0.1,$k_{\phi}$,0.0042867669505807,30736.104560211825
MGH312,Torin2,0.1,$k_{S}$,1e-07,18992.95174210938
MGH312,Torin2,0.1,$k_{G2}$,0.016166734712821585,18992.95174210938
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.011582304087205678,18992.95174210938
MGH312,Torin2,0.1,$k_{\phi}$,0.009796146602296649,18992.95174210938
MGH312,Torin2,1.0,$k_{S}$,0.001794142161281464,47477.91645635979
MGH312,Torin2,1.0,$k_{G2}$,0.016800053480428144,47477.91645635979
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.014553496816653315,47477.91645635979
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,47477.91645635979
MGH312,Torin2,1.0,$k_{S}$,0.0023800933989996734,77682.24094125009
MGH312,Torin2,1.0,$k_{G2}$,0.015218438521697956,77682.24094125009
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.015350132699629667,77682.24094125009
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,77682.24094125009
MGH312,Torin2,1.0,$k_{S}$,0.00015857490828416923,41446.20762746276
MGH312,Torin2,1.0,$k_{G2}$,0.013971934143454321,41446.20762746276
