cell_line,agent,concentration,parameter,rate,obj_func
MGH312,YKL-5-124,0.003162,$k_{S}$,0.019523593093879178,9.655168953638253e-11
MGH312,YKL-5-124,0.003162,$k_{G2}$,0.08463711228324061,9.655168953638253e-11
MGH312,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.04062714414626491,9.655168953638253e-11
MGH312,YKL-5-124,0.003162,$k_{\phi}$,0.02839856084875658,9.655168953638253e-11
MGH312,YKL-5-124,0.003162,$k_{S}$,0.046155734655028584,3.440976776602133e-10
MGH312,YKL-5-124,0.003162,$k_{G2}$,0.026371829004597103,3.440976776602133e-10
MGH312,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.17197687302305706,3.440976776602133e-10
MGH312,YKL-5-124,0.003162,$k_{\phi}$,0.019843760908327925,3.440976776602133e-10
MGH312,YKL-5-124,0.003162,$k_{S}$,0.0221206204516894,3.33716882677578e-10
MGH312,YKL-5-124,0.003162,$k_{G2}$,0.06022131931683354,3.33716882677578e-10
MGH312,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.034862670328964694,3.33716882677578e-10
MGH312,YKL-5-124,0.003162,$k_{\phi}$,0.08026619367046449,3.33716882677578e-10
MGH312,YKL-5-124,0.001,$k_{S}$,0.02413233190667458,3.979089390681168e-11
MGH312,YKL-5-124,0.001,$k_{G2}$,0.07282491134306682,3.979089390681168e-11
MGH312,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.05096761472458959,3.979089390681168e-11
MGH312,YKL-5-124,0.001,$k_{\phi}$,0.041455365102415855,3.979089390681168e-11
MGH312,YKL-5-124,0.001,$k_{S}$,0.022636429021388623,1.0334462906615742e-10
MGH312,YKL-5-124,0.001,$k_{G2}$,0.053782905199568055,1.0334462906615742e-10
MGH312,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.037618399060412366,1.0334462906615742e-10
MGH312,YKL-5-124,0.001,$k_{\phi}$,0.05860040882084957,1.0334462906615742e-10
MGH312,YKL-5-124,0.001,$k_{S}$,0.02324265691209102,2.479193373904961e-10
MGH312,YKL-5-124,0.001,$k_{G2}$,0.0731669301282831,2.479193373904961e-10
MGH312,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.04607784539224008,2.479193373904961e-10
