cell_line,agent,concentration,parameter,rate,obj_func
MGH358,AZD2014,0.01,$k_{S}$,0.0014022157699779797,18200.262000282328
MGH358,AZD2014,0.01,$k_{G2}$,0.014031503035155874,18200.262000282328
MGH358,AZD2014,0.01,$k_{M}$$k_{G1}$,1e-07,18200.262000282328
MGH358,AZD2014,0.01,$k_{\phi}$,0.010715194565013329,18200.262000282328
MGH358,AZD2014,0.01,$k_{S}$,0.0011462186953186358,12452.447327134063
MGH358,AZD2014,0.01,$k_{G2}$,0.009792969519549988,12452.447327134063
MGH358,AZD2014,0.01,$k_{M}$$k_{G1}$,1e-07,12452.447327134063
MGH358,AZD2014,0.01,$k_{\phi}$,0.01057622545782501,12452.447327134063
MGH358,AZD2014,0.01,$k_{S}$,0.0007785801627048151,3623.6085535603424
MGH358,AZD2014,0.01,$k_{G2}$,0.026506561023014883,3623.6085535603424
MGH358,AZD2014,0.01,$k_{M}$$k_{G1}$,1e-07,3623.6085535603424
MGH358,AZD2014,0.01,$k_{\phi}$,0.013743679392947775,3623.6085535603424
MGH358,AZD2014,0.031623,$k_{S}$,0.0017586903082390658,19829.275598445278
MGH358,AZD2014,0.031623,$k_{G2}$,0.009030207509246359,19829.275598445278
MGH358,AZD2014,0.031623,$k_{M}$$k_{G1}$,1e-07,19829.275598445278
MGH358,AZD2014,0.031623,$k_{\phi}$,0.0075576488733561376,19829.275598445278
MGH358,AZD2014,0.031623,$k_{S}$,0.00034270136201806656,5535.317797117221
MGH358,AZD2014,0.031623,$k_{G2}$,0.002488641154007622,5535.317797117221
MGH358,AZD2014,0.031623,$k_{M}$$k_{G1}$,1e-07,5535.317797117221
MGH358,AZD2014,0.031623,$k_{\phi}$,0.009372392275781965,5535.317797117221
MGH358,AZD2014,1.0,$k_{S}$,0.0017430354258828227,35872.16245940774
MGH358,AZD2014,1.0,$k_{G2}$,0.014505659144683313,35872.16245940774
MGH358,AZD2014,1.0,$k_{M}$$k_{G1}$,1e-07,35872.16245940774
MGH358,AZD2014,1.0,$k_{\phi}$,0.003903361119317639,35872.16245940774
MGH358,AZD2014,1.0,$k_{S}$,0.003151439279448653,52621.67322028836
MGH358,AZD2014,1.0,$k_{G2}$,0.020610206549005673,52621.67322028836
MGH358,AZD2014,1.0,$k_{M}$$k_{G1}$,1e-07,52621.67322028836
MGH358,AZD2014,1.0,$k_{\phi}$,1e-07,52621.67322028836
MGH358,AZD2014,10.0,$k_{S}$,0.0034571584600270504,75748.6453758268
MGH358,AZD2014,10.0,$k_{G2}$,0.011985030027919756,75748.6453758268
MGH358,AZD2014,10.0,$k_{M}$$k_{G1}$,1e-07,75748.6453758268
MGH358,AZD2014,10.0,$k_{\phi}$,1e-07,75748.6453758268
MGH358,AZD2014,10.0,$k_{S}$,0.0023222626981380264,56064.85174231156
MGH358,AZD2014,10.0,$k_{G2}$,0.012151499962050467,56064.85174231156
MGH358,AZD2014,10.0,$k_{M}$$k_{G1}$,1e-07,56064.85174231156
MGH358,AZD2014,10.0,$k_{\phi}$,0.0024196998392776686,56064.85174231156
