cell_line,agent,concentration,parameter,rate,obj_func
MGH358,Flavopiridol,0.001,$k_{S}$,0.002671674526474609,1.302179635756907e-10
MGH358,Flavopiridol,0.001,$k_{G2}$,0.03725772334640602,1.302179635756907e-10
MGH358,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.014473540319972339,1.302179635756907e-10
MGH358,Flavopiridol,0.001,$k_{\phi}$,0.8526508412408866,1.302179635756907e-10
MGH358,Flavopiridol,0.001,$k_{S}$,0.0016251188813029955,1624.7123981701006
MGH358,Flavopiridol,0.001,$k_{G2}$,0.01419559587709941,1624.7123981701006
MGH358,Flavopiridol,0.001,$k_{M}$$k_{G1}$,1e-07,1624.7123981701006
MGH358,Flavopiridol,0.001,$k_{\phi}$,0.027659070099208247,1624.7123981701006
MGH358,Flavopiridol,0.000316,$k_{S}$,0.005675779010617172,1.0564224952707385e-10
MGH358,Flavopiridol,0.000316,$k_{G2}$,0.075981150089373,1.0564224952707385e-10
MGH358,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.03884686815069175,1.0564224952707385e-10
MGH358,Flavopiridol,0.000316,$k_{\phi}$,0.3372802946414266,1.0564224952707385e-10
MGH358,Flavopiridol,0.000316,$k_{S}$,0.00449250984929322,9.369794041069044e-11
MGH358,Flavopiridol,0.000316,$k_{G2}$,0.07412805465822594,9.369794041069044e-11
MGH358,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.0310415582343735,9.369794041069044e-11
MGH358,Flavopiridol,0.000316,$k_{\phi}$,0.29108064071144324,9.369794041069044e-11
MGH358,Flavopiridol,0.000316,$k_{S}$,0.004266823971467712,1.3135507201179668e-10
MGH358,Flavopiridol,0.000316,$k_{G2}$,0.08614728341808058,1.3135507201179668e-10
MGH358,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.0275836722310752,1.3135507201179668e-10
MGH358,Flavopiridol,0.000316,$k_{\phi}$,0.3431783487945391,1.3135507201179668e-10
MGH358,Flavopiridol,0.01,$k_{S}$,0.0029893446639457396,1.5560492068213902e-10
MGH358,Flavopiridol,0.01,$k_{G2}$,0.04331957876139604,1.5560492068213902e-10
MGH358,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.01712730651046757,1.5560492068213902e-10
MGH358,Flavopiridol,0.01,$k_{\phi}$,0.5076865119153211,1.5560492068213902e-10
MGH358,Flavopiridol,0.01,$k_{S}$,0.0012406166156538174,1721.78449899437
MGH358,Flavopiridol,0.01,$k_{G2}$,0.003938285480420245,1721.78449899437
MGH358,Flavopiridol,0.01,$k_{M}$$k_{G1}$,1e-07,1721.78449899437
MGH358,Flavopiridol,0.01,$k_{\phi}$,0.02436454104122653,1721.78449899437
MGH358,Flavopiridol,0.1,$k_{S}$,0.0015474507255397794,4.2586454146896265e-11
MGH358,Flavopiridol,0.1,$k_{G2}$,0.020701353455636895,4.2586454146896265e-11
MGH358,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.004922021559543225,4.2586454146896265e-11
MGH358,Flavopiridol,0.1,$k_{\phi}$,0.06182868641397759,4.2586454146896265e-11
MGH358,Flavopiridol,0.1,$k_{S}$,0.004280755131140358,7.42955271816484e-11
MGH358,Flavopiridol,0.1,$k_{G2}$,0.09621545522106519,7.42955271816484e-11
MGH358,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.03708454326743764,7.42955271816484e-11
MGH358,Flavopiridol,0.1,$k_{\phi}$,0.1903983738127877,7.42955271816484e-11
MGH358,Flavopiridol,0.031623,$k_{S}$,0.004344281421048319,1.3348454811053235e-10
MGH358,Flavopiridol,0.031623,$k_{G2}$,0.06955915013726892,1.3348454811053235e-10
MGH358,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.032339518437488154,1.3348454811053235e-10
MGH358,Flavopiridol,0.031623,$k_{\phi}$,0.3763781440998953,1.3348454811053235e-10
MGH358,Flavopiridol,0.031623,$k_{S}$,0.0028573535025875293,2.72033598338151e-10
MGH358,Flavopiridol,0.031623,$k_{G2}$,0.049784397326534176,2.72033598338151e-10
MGH358,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.01687048691295452,2.72033598338151e-10
MGH358,Flavopiridol,0.031623,$k_{\phi}$,3.1155143549673916,2.72033598338151e-10
MGH358,Flavopiridol,1.0,$k_{S}$,0.005302961745340801,95026.16345649445
MGH358,Flavopiridol,1.0,$k_{G2}$,0.01637676757195466,95026.16345649445
MGH358,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.003189374325941501,95026.16345649445
MGH358,Flavopiridol,1.0,$k_{\phi}$,1e-07,95026.16345649445
MGH358,Flavopiridol,1.0,$k_{S}$,0.0029458473735651507,54299.64745251976
MGH358,Flavopiridol,1.0,$k_{G2}$,0.015034138398448875,54299.64745251976
MGH358,Flavopiridol,1.0,$k_{M}$$k_{G1}$,1e-07,54299.64745251976
MGH358,Flavopiridol,1.0,$k_{\phi}$,1e-07,54299.64745251976
MGH358,Flavopiridol,1.0,$k_{S}$,0.003891917493387365,61227.587425968726
MGH358,Flavopiridol,1.0,$k_{G2}$,0.016362553571404682,61227.587425968726
MGH358,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.002415458024985517,61227.587425968726
MGH358,Flavopiridol,1.0,$k_{\phi}$,1e-07,61227.587425968726
MGH358,Flavopiridol,0.003162,$k_{S}$,0.0035809594508636132,9.327778660896164e-11
MGH358,Flavopiridol,0.003162,$k_{G2}$,0.05172093331078336,9.327778660896164e-11
MGH358,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.015436277449821786,9.327778660896164e-11
MGH358,Flavopiridol,0.003162,$k_{\phi}$,0.1069877409747393,9.327778660896164e-11
MGH358,Flavopiridol,0.003162,$k_{S}$,0.002057438094102374,5410.850801451099
MGH358,Flavopiridol,0.003162,$k_{G2}$,0.015216769355150145,5410.850801451099
MGH358,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,1e-07,5410.850801451099
MGH358,Flavopiridol,0.003162,$k_{\phi}$,0.018139506998364602,5410.850801451099
MGH358,Flavopiridol,0.003162,$k_{S}$,0.004320564465279656,1.502778663168541e-10
MGH358,Flavopiridol,0.003162,$k_{G2}$,0.06963204375036587,1.502778663168541e-10
MGH358,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.02815202355545648,1.502778663168541e-10
MGH358,Flavopiridol,0.003162,$k_{\phi}$,0.35860665828883914,1.502778663168541e-10
MGH358,Flavopiridol,0.316228,$k_{S}$,0.0011780229324880038,6.101704150462244e-11
MGH358,Flavopiridol,0.316228,$k_{G2}$,0.07308785042695778,6.101704150462244e-11
MGH358,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.009358032108436705,6.101704150462244e-11
MGH358,Flavopiridol,0.316228,$k_{\phi}$,0.044651034801843466,6.101704150462244e-11
MGH358,Flavopiridol,0.316228,$k_{S}$,0.0025565421496235377,1.0245179758530211e-10
MGH358,Flavopiridol,0.316228,$k_{G2}$,0.07579544242146947,1.0245179758530211e-10
MGH358,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.021506274634772428,1.0245179758530211e-10
MGH358,Flavopiridol,0.316228,$k_{\phi}$,0.05978800779554255,1.0245179758530211e-10
MGH358,Flavopiridol,0.0001,$k_{S}$,0.004940898739023803,1.1553465190070758e-10
MGH358,Flavopiridol,0.0001,$k_{G2}$,0.09007482360051196,1.1553465190070758e-10
MGH358,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.03539402706434938,1.1553465190070758e-10
MGH358,Flavopiridol,0.0001,$k_{\phi}$,0.28251516260349746,1.1553465190070758e-10
MGH358,Flavopiridol,0.0001,$k_{S}$,0.004695437204143178,1.413565942822204e-10
MGH358,Flavopiridol,0.0001,$k_{G2}$,0.06356806198061785,1.413565942822204e-10
MGH358,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.026703077316374436,1.413565942822204e-10
MGH358,Flavopiridol,0.0001,$k_{\phi}$,0.25224463478989667,1.413565942822204e-10
MGH358,Flavopiridol,0.0001,$k_{S}$,0.004620548165701779,2.870309884072929e-11
MGH358,Flavopiridol,0.0001,$k_{G2}$,0.07461136495443182,2.870309884072929e-11
MGH358,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.026089492700026248,2.870309884072929e-11
MGH358,Flavopiridol,0.0001,$k_{\phi}$,0.2183776139874308,2.870309884072929e-11
