cell_line,agent,concentration,parameter,rate,obj_func
MGH358,MFH-2-90,10.0,$k_{S}$,0.0071025011201293,149154.45466425043
MGH358,MFH-2-90,10.0,$k_{G2}$,0.015520469792625372,149154.45466425043
MGH358,MFH-2-90,10.0,$k_{M}$$k_{G1}$,1e-07,149154.45466425043
MGH358,MFH-2-90,10.0,$k_{\phi}$,1e-07,149154.45466425043
MGH358,MFH-2-90,10.0,$k_{S}$,0.00768964796341603,161028.50615159055
MGH358,MFH-2-90,10.0,$k_{G2}$,0.017070514601495917,161028.50615159055
MGH358,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.002875892293198286,161028.50615159055
MGH358,MFH-2-90,10.0,$k_{\phi}$,1e-07,161028.50615159055
MGH358,MFH-2-90,0.003162,$k_{S}$,0.007902802358776613,158525.87733442316
MGH358,MFH-2-90,0.003162,$k_{G2}$,0.016819904197868524,158525.87733442316
MGH358,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.004145163360359,158525.87733442316
MGH358,MFH-2-90,0.003162,$k_{\phi}$,1e-07,158525.87733442316
MGH358,MFH-2-90,0.003162,$k_{S}$,0.00931195725880901,140884.07005620134
MGH358,MFH-2-90,0.003162,$k_{G2}$,0.018126826093054462,140884.07005620134
MGH358,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.009136246277685193,140884.07005620134
MGH358,MFH-2-90,0.003162,$k_{\phi}$,1e-07,140884.07005620134
MGH358,MFH-2-90,3.162278,$k_{S}$,0.00979062203205897,213127.5394459809
MGH358,MFH-2-90,3.162278,$k_{G2}$,0.013604768873573309,213127.5394459809
MGH358,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.0022086989311364716,213127.5394459809
MGH358,MFH-2-90,3.162278,$k_{\phi}$,1e-07,213127.5394459809
MGH358,MFH-2-90,3.162278,$k_{S}$,0.010027360185698156,199319.5117008246
MGH358,MFH-2-90,3.162278,$k_{G2}$,0.015242032537700177,199319.5117008246
MGH358,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.003617886810408069,199319.5117008246
MGH358,MFH-2-90,3.162278,$k_{\phi}$,1e-07,199319.5117008246
MGH358,MFH-2-90,0.316228,$k_{S}$,0.008823779494489523,186359.7539218946
MGH358,MFH-2-90,0.316228,$k_{G2}$,0.014756049291827233,186359.7539218946
MGH358,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.002563765956059601,186359.7539218946
MGH358,MFH-2-90,0.316228,$k_{\phi}$,1e-07,186359.7539218946
MGH358,MFH-2-90,0.316228,$k_{S}$,0.009224213427486206,189461.5042539913
MGH358,MFH-2-90,0.316228,$k_{G2}$,0.015192797278317424,189461.5042539913
MGH358,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.0026009467384964157,189461.5042539913
MGH358,MFH-2-90,0.316228,$k_{\phi}$,1e-07,189461.5042539913
MGH358,MFH-2-90,0.001,$k_{S}$,0.00212692713062045,3023.386013407147
MGH358,MFH-2-90,0.001,$k_{G2}$,0.009319058353367502,3023.386013407147
MGH358,MFH-2-90,0.001,$k_{M}$$k_{G1}$,1e-07,3023.386013407147
MGH358,MFH-2-90,0.001,$k_{\phi}$,0.020455773278284604,3023.386013407147
MGH358,MFH-2-90,0.001,$k_{S}$,0.0013966950655336062,11039.080426545808
MGH358,MFH-2-90,0.001,$k_{G2}$,0.005371817384273346,11039.080426545808
MGH358,MFH-2-90,0.001,$k_{M}$$k_{G1}$,1e-07,11039.080426545808
MGH358,MFH-2-90,0.001,$k_{\phi}$,0.015443219836276178,11039.080426545808
MGH358,MFH-2-90,0.001,$k_{S}$,0.00218520588900148,8.971581275765657e-11
MGH358,MFH-2-90,0.001,$k_{G2}$,0.03217447133134186,8.971581275765657e-11
MGH358,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.0103816200345917,8.971581275765657e-11
MGH358,MFH-2-90,0.001,$k_{\phi}$,0.054459805314146445,8.971581275765657e-11
MGH358,MFH-2-90,0.1,$k_{S}$,0.008879276962782302,209427.46556432734
MGH358,MFH-2-90,0.1,$k_{G2}$,0.015181097987127103,209427.46556432734
MGH358,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.0018117963020602215,209427.46556432734
MGH358,MFH-2-90,0.1,$k_{\phi}$,1e-07,209427.46556432734
MGH358,MFH-2-90,0.1,$k_{S}$,0.008840697922465144,203736.167571029
MGH358,MFH-2-90,0.1,$k_{G2}$,0.014523413471345977,203736.167571029
MGH358,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.00048424775901631463,203736.167571029
MGH358,MFH-2-90,0.1,$k_{\phi}$,1e-07,203736.167571029
MGH358,MFH-2-90,0.01,$k_{S}$,0.010805687219379667,163912.66243534425
MGH358,MFH-2-90,0.01,$k_{G2}$,0.01245115055764949,163912.66243534425
MGH358,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.005614003382653338,163912.66243534425
MGH358,MFH-2-90,0.01,$k_{\phi}$,1e-07,163912.66243534425
MGH358,MFH-2-90,0.01,$k_{S}$,0.00835860120895735,195346.33213875492
MGH358,MFH-2-90,0.01,$k_{G2}$,0.015037164301252034,195346.33213875492
MGH358,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.0038456005715256326,195346.33213875492
MGH358,MFH-2-90,0.01,$k_{\phi}$,1e-07,195346.33213875492
MGH358,MFH-2-90,0.031623,$k_{S}$,0.008786883122017438,214368.0899871114
MGH358,MFH-2-90,0.031623,$k_{G2}$,0.014172447174319397,214368.0899871114
MGH358,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.002079011943428579,214368.0899871114
MGH358,MFH-2-90,0.031623,$k_{\phi}$,1e-07,214368.0899871114
MGH358,MFH-2-90,0.031623,$k_{S}$,0.009253251822833123,195346.3198991664
MGH358,MFH-2-90,0.031623,$k_{G2}$,0.01648435337411228,195346.3198991664
MGH358,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.003315594193971566,195346.3198991664
MGH358,MFH-2-90,0.031623,$k_{\phi}$,1e-07,195346.3198991664
MGH358,MFH-2-90,1.0,$k_{S}$,0.00862953414186551,219785.42522725172
MGH358,MFH-2-90,1.0,$k_{G2}$,0.013180295498363786,219785.42522725172
MGH358,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.0016684929743666073,219785.42522725172
MGH358,MFH-2-90,1.0,$k_{\phi}$,1e-07,219785.42522725172
MGH358,MFH-2-90,1.0,$k_{S}$,0.011885954271690783,232545.05967478018
MGH358,MFH-2-90,1.0,$k_{G2}$,0.014582592829659916,232545.05967478018
MGH358,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.004743032787975283,232545.05967478018
MGH358,MFH-2-90,1.0,$k_{\phi}$,1e-07,232545.05967478018
