cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,AZD1775,0.003162,$k_{S}$,0.023061494809679766,2.9502852276471284e-10
SKBR3,AZD1775,0.003162,$k_{G2}$,0.0500228946839817,2.9502852276471284e-10
SKBR3,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.06824829699388446,2.9502852276471284e-10
SKBR3,AZD1775,0.003162,$k_{\phi}$,0.45051400545348463,2.9502852276471284e-10
SKBR3,AZD1775,0.003162,$k_{S}$,0.02198976575449192,0.0006255850084846206
SKBR3,AZD1775,0.003162,$k_{G2}$,0.042466440166129715,0.0006255850084846206
SKBR3,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.0705947634266206,0.0006255850084846206
SKBR3,AZD1775,0.003162,$k_{\phi}$,0.6041180641874334,0.0006255850084846206
SKBR3,AZD1775,0.003162,$k_{S}$,0.02642358270215151,3.0619010796063793e-10
SKBR3,AZD1775,0.003162,$k_{G2}$,0.054569363604155714,3.0619010796063793e-10
SKBR3,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.08728657016364677,3.0619010796063793e-10
SKBR3,AZD1775,0.003162,$k_{\phi}$,0.5909901236432201,3.0619010796063793e-10
SKBR3,AZD1775,10.0,$k_{S}$,0.004238139325497751,60885.071434804944
SKBR3,AZD1775,10.0,$k_{G2}$,0.019600076484995493,60885.071434804944
SKBR3,AZD1775,10.0,$k_{M}$$k_{G1}$,0.014707061331038962,60885.071434804944
SKBR3,AZD1775,10.0,$k_{\phi}$,1e-07,60885.071434804944
SKBR3,AZD1775,10.0,$k_{S}$,0.004920682342872616,140029.2532051717
SKBR3,AZD1775,10.0,$k_{G2}$,0.0152393402497441,140029.2532051717
SKBR3,AZD1775,10.0,$k_{M}$$k_{G1}$,0.01094328687554009,140029.2532051717
SKBR3,AZD1775,10.0,$k_{\phi}$,1e-07,140029.2532051717
SKBR3,AZD1775,10.0,$k_{S}$,0.0028768168310757737,77812.14119961974
