cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.016724399348825483,227.77266646619393
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.03527885396861125,227.77266646619393
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0015420809200671086,227.77266646619393
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,227.77266646619393
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.020340018682841948,5.5128128943740946e-11
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.04531394531267503,5.5128128943740946e-11
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.00335502921680826,5.5128128943740946e-11
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,0.01027593734920259,5.5128128943740946e-11
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.015443365587436652,2497.4845966649254
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.025180585225779498,2497.4845966649254
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0028097686052255114,2497.4845966649254
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,2497.4845966649254
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.0163027479060843,1950.1988241286492
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.025899617764055166,1950.1988241286492
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.002616477699989524,1950.1988241286492
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,1950.1988241286492
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.014081900940301024,10556.751711660896
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.030337584403180472,10556.751711660896
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0030372880940733545,10556.751711660896
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,10556.751711660896
SKBR3,CDK1_2iIII,0.1,$k_{S}$,0.012787872032936173,7430.289114713507
SKBR3,CDK1_2iIII,0.1,$k_{G2}$,0.029911270807429592,7430.289114713507
SKBR3,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.002348184800820947,7430.289114713507
SKBR3,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,7430.289114713507
