cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,LY2606368,0.01,$k_{S}$,0.0004263503128208613,36936.52563630281
SKBR3,LY2606368,0.01,$k_{G2}$,0.013677480967615967,36936.52563630281
SKBR3,LY2606368,0.01,$k_{M}$$k_{G1}$,0.0062757116035468625,36936.52563630281
SKBR3,LY2606368,0.01,$k_{\phi}$,1e-07,36936.52563630281
SKBR3,LY2606368,0.01,$k_{S}$,0.0018420924841173623,81089.42188023363
SKBR3,LY2606368,0.01,$k_{G2}$,0.013245246669492429,81089.42188023363
SKBR3,LY2606368,0.01,$k_{M}$$k_{G1}$,0.008101440796859859,81089.42188023363
SKBR3,LY2606368,0.01,$k_{\phi}$,1e-07,81089.42188023363
SKBR3,LY2606368,0.01,$k_{S}$,1e-07,52184.963676870924
SKBR3,LY2606368,0.01,$k_{G2}$,0.01109135716850246,52184.963676870924
SKBR3,LY2606368,0.01,$k_{M}$$k_{G1}$,0.008420546446175962,52184.963676870924
SKBR3,LY2606368,0.01,$k_{\phi}$,1e-07,52184.963676870924
SKBR3,LY2606368,0.000316,$k_{S}$,0.031984433826479704,5.965269774756014e-10
SKBR3,LY2606368,0.000316,$k_{G2}$,0.045549969501777074,5.965269774756014e-10
SKBR3,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.0607801208436258,5.965269774756014e-10
SKBR3,LY2606368,0.000316,$k_{\phi}$,0.3754538366415201,5.965269774756014e-10
SKBR3,LY2606368,0.000316,$k_{S}$,0.036344173809521506,6.838846425549764e-10
SKBR3,LY2606368,0.000316,$k_{G2}$,0.05296266155740581,6.838846425549764e-10
SKBR3,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.0944219283884951,6.838846425549764e-10
SKBR3,LY2606368,0.000316,$k_{\phi}$,0.5737033206958446,6.838846425549764e-10
SKBR3,LY2606368,0.000316,$k_{S}$,0.03101353776514424,1.3935888010214786e-10
SKBR3,LY2606368,0.000316,$k_{G2}$,0.05576623769940292,1.3935888010214786e-10
SKBR3,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.08277815809226713,1.3935888010214786e-10
SKBR3,LY2606368,0.000316,$k_{\phi}$,0.5054231846588815,1.3935888010214786e-10
SKBR3,LY2606368,0.001,$k_{S}$,1e-07,51190.33803447541
SKBR3,LY2606368,0.001,$k_{G2}$,0.010814515518481326,51190.33803447541
SKBR3,LY2606368,0.001,$k_{M}$$k_{G1}$,0.008403680910728748,51190.33803447541
SKBR3,LY2606368,0.001,$k_{\phi}$,1e-07,51190.33803447541
SKBR3,LY2606368,0.001,$k_{S}$,0.001134655701296822,85738.80960789071
SKBR3,LY2606368,0.001,$k_{G2}$,0.011568833071353984,85738.80960789071
SKBR3,LY2606368,0.001,$k_{M}$$k_{G1}$,0.009611369548549784,85738.80960789071
SKBR3,LY2606368,0.001,$k_{\phi}$,1e-07,85738.80960789071
SKBR3,LY2606368,0.001,$k_{S}$,0.00153687753839142,69089.36820302875
SKBR3,LY2606368,0.001,$k_{G2}$,0.013001847343890418,69089.36820302875
SKBR3,LY2606368,0.001,$k_{M}$$k_{G1}$,0.008240963820140236,69089.36820302875
SKBR3,LY2606368,0.001,$k_{\phi}$,1e-07,69089.36820302875
SKBR3,LY2606368,1e-05,$k_{S}$,0.036377328292109004,5.357363545767366e-10
SKBR3,LY2606368,1e-05,$k_{G2}$,0.06600293015934659,5.357363545767366e-10
SKBR3,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.09039317308742259,5.357363545767366e-10
SKBR3,LY2606368,1e-05,$k_{\phi}$,0.5710732818170948,5.357363545767366e-10
SKBR3,LY2606368,1e-05,$k_{S}$,0.03456700414142854,5.641351496897622e-10
SKBR3,LY2606368,1e-05,$k_{G2}$,0.053935567112540765,5.641351496897622e-10
SKBR3,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.0874486594212674,5.641351496897622e-10
SKBR3,LY2606368,1e-05,$k_{\phi}$,0.4224094486980062,5.641351496897622e-10
SKBR3,LY2606368,1e-05,$k_{S}$,0.026600955762687083,3.12467070559849e-10
SKBR3,LY2606368,1e-05,$k_{G2}$,0.043740583601997854,3.12467070559849e-10
SKBR3,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.06012051532800763,3.12467070559849e-10
SKBR3,LY2606368,1e-05,$k_{\phi}$,0.31837078342569103,3.12467070559849e-10
SKBR3,LY2606368,0.0001,$k_{S}$,0.03588834717347032,8.394621984254949e-10
SKBR3,LY2606368,0.0001,$k_{G2}$,0.05977162018423945,8.394621984254949e-10
SKBR3,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.0821290609769605,8.394621984254949e-10
SKBR3,LY2606368,0.0001,$k_{\phi}$,0.5151020900721436,8.394621984254949e-10
SKBR3,LY2606368,0.0001,$k_{S}$,0.035006887983142804,5.919279697701865e-10
SKBR3,LY2606368,0.0001,$k_{G2}$,0.0662651744149145,5.919279697701865e-10
SKBR3,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.09154762380356564,5.919279697701865e-10
SKBR3,LY2606368,0.0001,$k_{\phi}$,0.6650417809998935,5.919279697701865e-10
SKBR3,LY2606368,0.0001,$k_{S}$,0.03942882177467838,8.888580134326497e-10
SKBR3,LY2606368,0.0001,$k_{G2}$,0.06091453593654288,8.888580134326497e-10
SKBR3,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.08747909106364292,8.888580134326497e-10
SKBR3,LY2606368,0.0001,$k_{\phi}$,0.513796049218951,8.888580134326497e-10
SKBR3,LY2606368,0.031623,$k_{S}$,0.002046716831275559,70744.86220412876
SKBR3,LY2606368,0.031623,$k_{G2}$,0.013509711789205367,70744.86220412876
SKBR3,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.008083957208098983,70744.86220412876
SKBR3,LY2606368,0.031623,$k_{\phi}$,1e-07,70744.86220412876
SKBR3,LY2606368,0.031623,$k_{S}$,0.0006053047609756629,79316.33260813382
SKBR3,LY2606368,0.031623,$k_{G2}$,0.010969358834811158,79316.33260813382
SKBR3,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.009256482397314733,79316.33260813382
SKBR3,LY2606368,0.031623,$k_{\phi}$,1e-07,79316.33260813382
SKBR3,LY2606368,0.031623,$k_{S}$,0.0012991131405976051,77562.83671968951
SKBR3,LY2606368,0.031623,$k_{G2}$,0.012297134724585568,77562.83671968951
SKBR3,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.008396041985469102,77562.83671968951
SKBR3,LY2606368,0.031623,$k_{\phi}$,1e-07,77562.83671968951
SKBR3,LY2606368,0.003162,$k_{S}$,0.0014426663826828448,56763.91624109297
SKBR3,LY2606368,0.003162,$k_{G2}$,0.016924234588771066,56763.91624109297
SKBR3,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.0055794373834769494,56763.91624109297
SKBR3,LY2606368,0.003162,$k_{\phi}$,1e-07,56763.91624109297
SKBR3,LY2606368,0.003162,$k_{S}$,0.005587149492809483,78813.45535786464
SKBR3,LY2606368,0.003162,$k_{G2}$,0.02067564562104396,78813.45535786464
SKBR3,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.019749267421300752,78813.45535786464
SKBR3,LY2606368,0.003162,$k_{\phi}$,1e-07,78813.45535786464
SKBR3,LY2606368,0.003162,$k_{S}$,0.0012458610491260615,62887.49789171717
SKBR3,LY2606368,0.003162,$k_{G2}$,0.014415312574863148,62887.49789171717
SKBR3,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.007581925798949768,62887.49789171717
SKBR3,LY2606368,0.003162,$k_{\phi}$,1e-07,62887.49789171717
SKBR3,LY2606368,3.2e-05,$k_{S}$,0.03548041374121552,6.706223365230089e-10
SKBR3,LY2606368,3.2e-05,$k_{G2}$,0.06172462128070716,6.706223365230089e-10
SKBR3,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.074316375446011,6.706223365230089e-10
SKBR3,LY2606368,3.2e-05,$k_{\phi}$,0.5562796826836431,6.706223365230089e-10
SKBR3,LY2606368,3.2e-05,$k_{S}$,0.029263214011077253,7.907143340223297e-10
SKBR3,LY2606368,3.2e-05,$k_{G2}$,0.05727243967727944,7.907143340223297e-10
SKBR3,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.0710052472231303,7.907143340223297e-10
SKBR3,LY2606368,3.2e-05,$k_{\phi}$,0.4679911072107332,7.907143340223297e-10
SKBR3,LY2606368,3.2e-05,$k_{S}$,0.03210449082225587,3.421564893445087e-06
SKBR3,LY2606368,3.2e-05,$k_{G2}$,0.05497768084967394,3.421564893445087e-06
SKBR3,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.08806259032402614,3.421564893445087e-06
SKBR3,LY2606368,3.2e-05,$k_{\phi}$,0.6189992082095072,3.421564893445087e-06
SKBR3,LY2606368,0.1,$k_{S}$,1e-07,22239.751874633155
SKBR3,LY2606368,0.1,$k_{G2}$,0.01353988562557921,22239.751874633155
SKBR3,LY2606368,0.1,$k_{M}$$k_{G1}$,0.007786395531403633,22239.751874633155
SKBR3,LY2606368,0.1,$k_{\phi}$,0.007191194299725886,22239.751874633155
SKBR3,LY2606368,0.1,$k_{S}$,1e-07,39863.57554552898
SKBR3,LY2606368,0.1,$k_{G2}$,0.012379219950802498,39863.57554552898
SKBR3,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0062101833171862636,39863.57554552898
SKBR3,LY2606368,0.1,$k_{\phi}$,1e-07,39863.57554552898
SKBR3,LY2606368,0.1,$k_{S}$,1e-07,38577.08375215609
SKBR3,LY2606368,0.1,$k_{G2}$,0.01219264096747722,38577.08375215609
SKBR3,LY2606368,0.1,$k_{M}$$k_{G1}$,0.006918035788991597,38577.08375215609
SKBR3,LY2606368,0.1,$k_{\phi}$,1e-07,38577.08375215609
