cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,R0-3306,0.001,$k_{S}$,0.039283412781704934,3.9285065579145087e-10
SKBR3,R0-3306,0.001,$k_{G2}$,0.07006200583270226,3.9285065579145087e-10
SKBR3,R0-3306,0.001,$k_{M}$$k_{G1}$,0.09636060896030224,3.9285065579145087e-10
SKBR3,R0-3306,0.001,$k_{\phi}$,0.5674699098669447,3.9285065579145087e-10
SKBR3,R0-3306,0.001,$k_{S}$,0.03631108629086301,3.7943481235466166e-10
SKBR3,R0-3306,0.001,$k_{G2}$,0.05933892114221504,3.7943481235466166e-10
SKBR3,R0-3306,0.001,$k_{M}$$k_{G1}$,0.09181549300972823,3.7943481235466166e-10
SKBR3,R0-3306,0.001,$k_{\phi}$,0.49184970176922205,3.7943481235466166e-10
SKBR3,R0-3306,0.001,$k_{S}$,0.034161087534009746,4.5976400864991313e-10
SKBR3,R0-3306,0.001,$k_{G2}$,0.057738106156454846,4.5976400864991313e-10
SKBR3,R0-3306,0.001,$k_{M}$$k_{G1}$,0.08149291696421951,4.5976400864991313e-10
SKBR3,R0-3306,0.001,$k_{\phi}$,0.45982005831622674,4.5976400864991313e-10
SKBR3,R0-3306,0.003162,$k_{S}$,0.03915180163359127,1.0070188782248566e-09
SKBR3,R0-3306,0.003162,$k_{G2}$,0.06301883759320678,1.0070188782248566e-09
SKBR3,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.08169176768887768,1.0070188782248566e-09
SKBR3,R0-3306,0.003162,$k_{\phi}$,0.5223631173692245,1.0070188782248566e-09
SKBR3,R0-3306,0.003162,$k_{S}$,0.031023652683432244,4.671582827412112e-10
SKBR3,R0-3306,0.003162,$k_{G2}$,0.0495749496570565,4.671582827412112e-10
SKBR3,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.06681884226503736,4.671582827412112e-10
SKBR3,R0-3306,0.003162,$k_{\phi}$,0.4419280439262512,4.671582827412112e-10
SKBR3,R0-3306,0.003162,$k_{S}$,0.03434180728201837,3.5114289557268533e-10
SKBR3,R0-3306,0.003162,$k_{G2}$,0.05642772188830477,3.5114289557268533e-10
SKBR3,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.09686006486564205,3.5114289557268533e-10
