cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,THZ1,0.003162,$k_{S}$,0.03100715302285803,2.0924431055844926e-10
SKBR3,THZ1,0.003162,$k_{G2}$,0.04607999794757859,2.0924431055844926e-10
SKBR3,THZ1,0.003162,$k_{M}$$k_{G1}$,0.07073633834729544,2.0924431055844926e-10
SKBR3,THZ1,0.003162,$k_{\phi}$,0.534706394248323,2.0924431055844926e-10
SKBR3,THZ1,0.003162,$k_{S}$,0.0316913169918054,5.547768368758019e-10
SKBR3,THZ1,0.003162,$k_{G2}$,0.04817756240123987,5.547768368758019e-10
SKBR3,THZ1,0.003162,$k_{M}$$k_{G1}$,0.0693662902953269,5.547768368758019e-10
SKBR3,THZ1,0.003162,$k_{\phi}$,0.5296847107217428,5.547768368758019e-10
SKBR3,THZ1,0.003162,$k_{S}$,0.029762474427841388,3.9215160628982774e-10
SKBR3,THZ1,0.003162,$k_{G2}$,0.04665116695337553,3.9215160628982774e-10
SKBR3,THZ1,0.003162,$k_{M}$$k_{G1}$,0.06848792204906898,3.9215160628982774e-10
SKBR3,THZ1,0.003162,$k_{\phi}$,0.5879441427550137,3.9215160628982774e-10
SKBR3,THZ1,0.01,$k_{S}$,0.030060948588008635,6.263351730875314e-10
SKBR3,THZ1,0.01,$k_{G2}$,0.04784535902427167,6.263351730875314e-10
SKBR3,THZ1,0.01,$k_{M}$$k_{G1}$,0.04603900500680925,6.263351730875314e-10
SKBR3,THZ1,0.01,$k_{\phi}$,0.4681862968921285,6.263351730875314e-10
SKBR3,THZ1,0.01,$k_{S}$,0.02985174620678194,5.410727155115937e-10
SKBR3,THZ1,0.01,$k_{G2}$,0.048331309345753255,5.410727155115937e-10
SKBR3,THZ1,0.01,$k_{M}$$k_{G1}$,0.056276338442310496,5.410727155115937e-10
SKBR3,THZ1,0.01,$k_{\phi}$,0.6810367349496179,5.410727155115937e-10
SKBR3,THZ1,0.01,$k_{S}$,0.028865379149095316,2.421565233216784e-10
SKBR3,THZ1,0.01,$k_{G2}$,0.04574807018208709,2.421565233216784e-10
SKBR3,THZ1,0.01,$k_{M}$$k_{G1}$,0.055202010511083595,2.421565233216784e-10
SKBR3,THZ1,0.01,$k_{\phi}$,0.5284018542596266,2.421565233216784e-10
SKBR3,THZ1,0.000316,$k_{S}$,0.04061685791417108,7.607838652548751e-10
SKBR3,THZ1,0.000316,$k_{G2}$,0.07210566348241691,7.607838652548751e-10
SKBR3,THZ1,0.000316,$k_{M}$$k_{G1}$,0.0874659654368487,7.607838652548751e-10
SKBR3,THZ1,0.000316,$k_{\phi}$,0.5970941921439483,7.607838652548751e-10
SKBR3,THZ1,0.000316,$k_{S}$,0.02680430716982201,3.7242035594012207e-10
SKBR3,THZ1,0.000316,$k_{G2}$,0.0504235244078803,3.7242035594012207e-10
SKBR3,THZ1,0.000316,$k_{M}$$k_{G1}$,0.06562833638607557,3.7242035594012207e-10
SKBR3,THZ1,0.000316,$k_{\phi}$,0.39666894139582815,3.7242035594012207e-10
SKBR3,THZ1,0.000316,$k_{S}$,0.038951907177699065,7.140326625810913e-10
