cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,senexinb,0.031623,$k_{S}$,0.03149215586637119,2.8564488869718193e-10
SKBR3,senexinb,0.031623,$k_{G2}$,0.049901910761655274,2.8564488869718193e-10
SKBR3,senexinb,0.031623,$k_{M}$$k_{G1}$,0.05893774595882284,2.8564488869718193e-10
SKBR3,senexinb,0.031623,$k_{\phi}$,0.3963415435498306,2.8564488869718193e-10
SKBR3,senexinb,0.031623,$k_{S}$,0.032800105883649316,7.194781402478876e-10
SKBR3,senexinb,0.031623,$k_{G2}$,0.04665000327389322,7.194781402478876e-10
SKBR3,senexinb,0.031623,$k_{M}$$k_{G1}$,0.06052797129517896,7.194781402478876e-10
SKBR3,senexinb,0.031623,$k_{\phi}$,0.4400819102102469,7.194781402478876e-10
SKBR3,senexinb,0.031623,$k_{S}$,0.024121278884711647,5.020073718178028e-10
SKBR3,senexinb,0.031623,$k_{G2}$,0.041559120522062815,5.020073718178028e-10
SKBR3,senexinb,0.031623,$k_{M}$$k_{G1}$,0.06129432876298844,5.020073718178028e-10
SKBR3,senexinb,0.031623,$k_{\phi}$,0.30097189921151696,5.020073718178028e-10
SKBR3,senexinb,0.001,$k_{S}$,0.03441630076198582,4.971417859440735e-10
SKBR3,senexinb,0.001,$k_{G2}$,0.05638632654256052,4.971417859440735e-10
SKBR3,senexinb,0.001,$k_{M}$$k_{G1}$,0.07969027536766222,4.971417859440735e-10
SKBR3,senexinb,0.001,$k_{\phi}$,0.4222659647395524,4.971417859440735e-10
SKBR3,senexinb,0.001,$k_{S}$,0.03348454680635477,4.1537594952871216e-10
SKBR3,senexinb,0.001,$k_{G2}$,0.054030829783355196,4.1537594952871216e-10
SKBR3,senexinb,0.001,$k_{M}$$k_{G1}$,0.07680741876579472,4.1537594952871216e-10
SKBR3,senexinb,0.001,$k_{\phi}$,0.41635253022239077,4.1537594952871216e-10
SKBR3,senexinb,0.001,$k_{S}$,0.023034063586463923,3.5798597667282103e-10
SKBR3,senexinb,0.001,$k_{G2}$,0.03749215836182286,3.5798597667282103e-10
SKBR3,senexinb,0.001,$k_{M}$$k_{G1}$,0.052296708465126296,3.5798597667282103e-10
SKBR3,senexinb,0.001,$k_{\phi}$,0.5204786946524416,3.5798597667282103e-10
SKBR3,senexinb,0.01,$k_{S}$,0.030019853486359247,4.613482398243523e-10
SKBR3,senexinb,0.01,$k_{G2}$,0.04785171577642525,4.613482398243523e-10
SKBR3,senexinb,0.01,$k_{M}$$k_{G1}$,0.05751507989609608,4.613482398243523e-10
SKBR3,senexinb,0.01,$k_{\phi}$,0.3977351105608243,4.613482398243523e-10
SKBR3,senexinb,0.01,$k_{S}$,0.024356319020522987,3.0512874020453357e-10
SKBR3,senexinb,0.01,$k_{G2}$,0.04135533238154006,3.0512874020453357e-10
SKBR3,senexinb,0.01,$k_{M}$$k_{G1}$,0.04949442702564736,3.0512874020453357e-10
SKBR3,senexinb,0.01,$k_{\phi}$,0.3163900239933124,3.0512874020453357e-10
SKBR3,senexinb,0.01,$k_{S}$,0.035280138727528144,4.4728656920837035e-10
SKBR3,senexinb,0.01,$k_{G2}$,0.054625584846892526,4.4728656920837035e-10
SKBR3,senexinb,0.01,$k_{M}$$k_{G1}$,0.07744450496276489,4.4728656920837035e-10
SKBR3,senexinb,0.01,$k_{\phi}$,0.4252952902449772,4.4728656920837035e-10
SKBR3,senexinb,0.1,$k_{S}$,0.0318088019616365,4.256312151810885e-10
SKBR3,senexinb,0.1,$k_{G2}$,0.06431418137411488,4.256312151810885e-10
SKBR3,senexinb,0.1,$k_{M}$$k_{G1}$,0.08660645085692094,4.256312151810885e-10
SKBR3,senexinb,0.1,$k_{\phi}$,0.451362525291371,4.256312151810885e-10
SKBR3,senexinb,0.1,$k_{S}$,0.03469596423491847,1.9160360205874268e-10
SKBR3,senexinb,0.1,$k_{G2}$,0.05046016740604404,1.9160360205874268e-10
SKBR3,senexinb,0.1,$k_{M}$$k_{G1}$,0.08245472806597856,1.9160360205874268e-10
SKBR3,senexinb,0.1,$k_{\phi}$,0.47226834301354387,1.9160360205874268e-10
SKBR3,senexinb,0.1,$k_{S}$,0.02397028999337166,4.2507706664841964e-10
SKBR3,senexinb,0.1,$k_{G2}$,0.042136131913209966,4.2507706664841964e-10
SKBR3,senexinb,0.1,$k_{M}$$k_{G1}$,0.04766968544864531,4.2507706664841964e-10
SKBR3,senexinb,0.1,$k_{\phi}$,0.2760937078671584,4.2507706664841964e-10
SKBR3,senexinb,1.0,$k_{S}$,0.03803568434750449,4.909506144555122e-10
SKBR3,senexinb,1.0,$k_{G2}$,0.05881844214381916,4.909506144555122e-10
SKBR3,senexinb,1.0,$k_{M}$$k_{G1}$,0.07721175872100448,4.909506144555122e-10
