cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,Flavopiridol,0.003162,$k_{S}$,0.04787734942548033,1.1811482745846283e-10
SUM1315,Flavopiridol,0.003162,$k_{G2}$,0.02478346966447083,1.1811482745846283e-10
SUM1315,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.22731694176427872,1.1811482745846283e-10
SUM1315,Flavopiridol,0.003162,$k_{\phi}$,1.0106667448572464,1.1811482745846283e-10
SUM1315,Flavopiridol,0.003162,$k_{S}$,0.04202535042334551,3.1877428377327646e-10
SUM1315,Flavopiridol,0.003162,$k_{G2}$,0.05481702102876755,3.1877428377327646e-10
SUM1315,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.08843869663449722,3.1877428377327646e-10
SUM1315,Flavopiridol,0.003162,$k_{\phi}$,9.713599191185626,3.1877428377327646e-10
SUM1315,Flavopiridol,0.003162,$k_{S}$,0.035948157359713254,5.3805732454814853e-11
SUM1315,Flavopiridol,0.003162,$k_{G2}$,0.04187418010263675,5.3805732454814853e-11
SUM1315,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.08798335458076237,5.3805732454814853e-11
SUM1315,Flavopiridol,0.003162,$k_{\phi}$,2.3484787551133812,5.3805732454814853e-11
SUM1315,Flavopiridol,1.0,$k_{S}$,0.0027093265175704246,32041.623608621587
SUM1315,Flavopiridol,1.0,$k_{G2}$,0.015021768417548159,32041.623608621587
SUM1315,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.01066911788666265,32041.623608621587
SUM1315,Flavopiridol,1.0,$k_{\phi}$,1e-07,32041.623608621587
SUM1315,Flavopiridol,1.0,$k_{S}$,0.005152732547031185,55179.64117087603
SUM1315,Flavopiridol,1.0,$k_{G2}$,0.015832042711591145,55179.64117087603
SUM1315,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.011818418482373399,55179.64117087603
SUM1315,Flavopiridol,1.0,$k_{\phi}$,1e-07,55179.64117087603
SUM1315,Flavopiridol,1.0,$k_{S}$,0.0044165248000172285,37197.05128800903
SUM1315,Flavopiridol,1.0,$k_{G2}$,0.016646001613117963,37197.05128800903
SUM1315,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.010539590189047505,37197.05128800903
SUM1315,Flavopiridol,1.0,$k_{\phi}$,1e-07,37197.05128800903
SUM1315,Flavopiridol,0.001,$k_{S}$,0.031160061286757783,1.9695771567329068e-10
SUM1315,Flavopiridol,0.001,$k_{G2}$,0.05227656307531856,1.9695771567329068e-10
SUM1315,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.0618046492856044,1.9695771567329068e-10
SUM1315,Flavopiridol,0.001,$k_{\phi}$,2.1104331922340864,1.9695771567329068e-10
SUM1315,Flavopiridol,0.001,$k_{S}$,0.043041603049247985,3.4076245377303157e-10
SUM1315,Flavopiridol,0.001,$k_{G2}$,0.06285628272567614,3.4076245377303157e-10
