cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,LY3023414,0.316228,$k_{S}$,0.006114858680103755,6.782833875340313e-11
SUM1315,LY3023414,0.316228,$k_{G2}$,0.03388670244755273,6.782833875340313e-11
SUM1315,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.026170703281159967,6.782833875340313e-11
SUM1315,LY3023414,0.316228,$k_{\phi}$,2.958915985113908,6.782833875340313e-11
SUM1315,LY3023414,0.316228,$k_{S}$,0.008227975624228308,6.25001187656758e-11
SUM1315,LY3023414,0.316228,$k_{G2}$,0.03429738468734689,6.25001187656758e-11
SUM1315,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.03859617036334155,6.25001187656758e-11
SUM1315,LY3023414,0.316228,$k_{\phi}$,1.2857984408026415,6.25001187656758e-11
SUM1315,LY3023414,0.316228,$k_{S}$,0.01496771525908143,1.049971261565487e-10
SUM1315,LY3023414,0.316228,$k_{G2}$,0.05763855836264777,1.049971261565487e-10
SUM1315,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.060596182100379946,1.049971261565487e-10
SUM1315,LY3023414,0.316228,$k_{\phi}$,7.26398845303357,1.049971261565487e-10
SUM1315,LY3023414,0.01,$k_{S}$,0.02797238258199198,1.2853704224153414e-10
SUM1315,LY3023414,0.01,$k_{G2}$,0.046934579619792714,1.2853704224153414e-10
SUM1315,LY3023414,0.01,$k_{M}$$k_{G1}$,0.07017324389415576,1.2853704224153414e-10
SUM1315,LY3023414,0.01,$k_{\phi}$,2.708241967562004,1.2853704224153414e-10
SUM1315,LY3023414,0.01,$k_{S}$,0.031428173460800936,2.6938069135938565e-10
SUM1315,LY3023414,0.01,$k_{G2}$,0.07278613244703953,2.6938069135938565e-10
SUM1315,LY3023414,0.01,$k_{M}$$k_{G1}$,0.10129543678387891,2.6938069135938565e-10
SUM1315,LY3023414,0.01,$k_{\phi}$,5.252966565403705,2.6938069135938565e-10
SUM1315,LY3023414,0.01,$k_{S}$,0.024697935925443094,1.2285331481161484e-10
SUM1315,LY3023414,0.01,$k_{G2}$,0.06095114467178413,1.2285331481161484e-10
SUM1315,LY3023414,0.01,$k_{M}$$k_{G1}$,0.07381785272453102,1.2285331481161484e-10
SUM1315,LY3023414,0.01,$k_{\phi}$,0.8061593908090485,1.2285331481161484e-10
SUM1315,LY3023414,0.003162,$k_{S}$,0.015207666874552722,1.2570743745521385e-07
SUM1315,LY3023414,0.003162,$k_{G2}$,0.05101722554214957,1.2570743745521385e-07
SUM1315,LY3023414,0.003162,$k_{M}$$k_{G1}$,0.052733318355837375,1.2570743745521385e-07
SUM1315,LY3023414,0.003162,$k_{\phi}$,1.017741281179754,1.2570743745521385e-07
SUM1315,LY3023414,0.003162,$k_{S}$,0.02434186600543961,1.5937355572197287e-11
SUM1315,LY3023414,0.003162,$k_{G2}$,0.048784257409263905,1.5937355572197287e-11
SUM1315,LY3023414,0.003162,$k_{M}$$k_{G1}$,0.06432336930905132,1.5937355572197287e-11
SUM1315,LY3023414,0.003162,$k_{\phi}$,2.46633814688646,1.5937355572197287e-11
SUM1315,LY3023414,0.003162,$k_{S}$,0.024053664622751988,1.4028900409321318e-10
