cell_line,agent,concentration,parameter,rate,obj_func
SUM149,MFH-2-90,0.0001,$k_{S}$,0.12453273506696087,4.538119185966791e-10
SUM149,MFH-2-90,0.0001,$k_{G2}$,0.06299287397596848,4.538119185966791e-10
SUM149,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.15163152035134358,4.538119185966791e-10
SUM149,MFH-2-90,0.0001,$k_{\phi}$,1.4957756950967753,4.538119185966791e-10
SUM149,MFH-2-90,0.0001,$k_{S}$,0.1176151493617714,2.747264191673104e-09
SUM149,MFH-2-90,0.0001,$k_{G2}$,0.06200979037699097,2.747264191673104e-09
SUM149,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.1643965252687214,2.747264191673104e-09
SUM149,MFH-2-90,0.0001,$k_{\phi}$,0.8763407426428546,2.747264191673104e-09
SUM149,MFH-2-90,0.0001,$k_{S}$,0.11744629104315595,2.314191679407961e-09
SUM149,MFH-2-90,0.0001,$k_{G2}$,0.06022341409395752,2.314191679407961e-09
SUM149,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.13759618377702282,2.314191679407961e-09
SUM149,MFH-2-90,0.0001,$k_{\phi}$,1.0698593590349246,2.314191679407961e-09
SUM149,MFH-2-90,0.003162,$k_{S}$,1e-07,29155.039870887285
SUM149,MFH-2-90,0.003162,$k_{G2}$,0.011181956604106482,29155.039870887285
SUM149,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.011469443434349276,29155.039870887285
SUM149,MFH-2-90,0.003162,$k_{\phi}$,1e-07,29155.039870887285
SUM149,MFH-2-90,0.003162,$k_{S}$,0.0006759397793237152,23992.243518603733
SUM149,MFH-2-90,0.003162,$k_{G2}$,0.011724287468399042,23992.243518603733
SUM149,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.007198328339834487,23992.243518603733
SUM149,MFH-2-90,0.003162,$k_{\phi}$,1e-07,23992.243518603733
SUM149,MFH-2-90,0.003162,$k_{S}$,0.0010383353293403118,30319.341647442903
SUM149,MFH-2-90,0.003162,$k_{G2}$,0.009809730911386642,30319.341647442903
SUM149,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.009366788408929,30319.341647442903
SUM149,MFH-2-90,0.003162,$k_{\phi}$,1e-07,30319.341647442903
SUM149,MFH-2-90,1e-05,$k_{S}$,0.11327862161160761,3.1016513296380103e-09
SUM149,MFH-2-90,1e-05,$k_{G2}$,0.0726655279949038,3.1016513296380103e-09
SUM149,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.13864410419108802,3.1016513296380103e-09
SUM149,MFH-2-90,1e-05,$k_{\phi}$,0.9889937726419595,3.1016513296380103e-09
SUM149,MFH-2-90,1e-05,$k_{S}$,0.10841913589007043,1.710573609715343e-09
SUM149,MFH-2-90,1e-05,$k_{G2}$,0.05749805319830083,1.710573609715343e-09
SUM149,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.14475444892678863,1.710573609715343e-09
SUM149,MFH-2-90,1e-05,$k_{\phi}$,0.8776360792850462,1.710573609715343e-09
SUM149,MFH-2-90,1e-05,$k_{S}$,0.09757585037572153,8.192236635165315e-10
SUM149,MFH-2-90,1e-05,$k_{G2}$,0.048305182036586826,8.192236635165315e-10
SUM149,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.12134969999266483,8.192236635165315e-10
SUM149,MFH-2-90,1e-05,$k_{\phi}$,0.735870744393967,8.192236635165315e-10
SUM149,MFH-2-90,0.000316,$k_{S}$,0.11504778905478269,1.5226186490857258e-09
SUM149,MFH-2-90,0.000316,$k_{G2}$,0.06396302079968759,1.5226186490857258e-09
SUM149,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.15496418197554732,1.5226186490857258e-09
SUM149,MFH-2-90,0.000316,$k_{\phi}$,1.0089612076551784,1.5226186490857258e-09
SUM149,MFH-2-90,0.000316,$k_{S}$,0.12132712709007576,1.900961674608252e-09
SUM149,MFH-2-90,0.000316,$k_{G2}$,0.059793012271959836,1.900961674608252e-09
SUM149,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.15138592322248562,1.900961674608252e-09
SUM149,MFH-2-90,0.000316,$k_{\phi}$,1.0246967245524234,1.900961674608252e-09
SUM149,MFH-2-90,0.000316,$k_{S}$,0.09352239069567973,1.3862874226474452e-09
SUM149,MFH-2-90,0.000316,$k_{G2}$,0.05528056154922328,1.3862874226474452e-09
SUM149,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.1314493548610024,1.3862874226474452e-09
SUM149,MFH-2-90,0.000316,$k_{\phi}$,0.9576125367287806,1.3862874226474452e-09
SUM149,MFH-2-90,3.2e-05,$k_{S}$,0.10294461073125573,1.2293040431621652e-09
SUM149,MFH-2-90,3.2e-05,$k_{G2}$,0.06398891977953977,1.2293040431621652e-09
SUM149,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.161563704336967,1.2293040431621652e-09
SUM149,MFH-2-90,3.2e-05,$k_{\phi}$,1.0091370950590146,1.2293040431621652e-09
SUM149,MFH-2-90,3.2e-05,$k_{S}$,0.1175024669758815,1.8189907124557005e-09
SUM149,MFH-2-90,3.2e-05,$k_{G2}$,0.061792979448732153,1.8189907124557005e-09
SUM149,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.15010419378274842,1.8189907124557005e-09
SUM149,MFH-2-90,3.2e-05,$k_{\phi}$,1.061176617343964,1.8189907124557005e-09
SUM149,MFH-2-90,3.2e-05,$k_{S}$,0.12223269917888147,1.5688734490447977e-09
SUM149,MFH-2-90,3.2e-05,$k_{G2}$,0.06000904113872351,1.5688734490447977e-09
SUM149,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.14547862410482018,1.5688734490447977e-09
SUM149,MFH-2-90,3.2e-05,$k_{\phi}$,0.8958654566328401,1.5688734490447977e-09
SUM149,MFH-2-90,0.001,$k_{S}$,1e-07,24646.68360605378
SUM149,MFH-2-90,0.001,$k_{G2}$,0.012254362468142179,24646.68360605378
SUM149,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.015310047007908922,24646.68360605378
SUM149,MFH-2-90,0.001,$k_{\phi}$,0.006438289611802108,24646.68360605378
SUM149,MFH-2-90,0.001,$k_{S}$,0.0014514732281366881,51076.59349436365
SUM149,MFH-2-90,0.001,$k_{G2}$,0.013047118063707269,51076.59349436365
SUM149,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.01081266722353588,51076.59349436365
SUM149,MFH-2-90,0.001,$k_{\phi}$,1e-07,51076.59349436365
SUM149,MFH-2-90,0.001,$k_{S}$,1e-07,46504.599490937224
SUM149,MFH-2-90,0.001,$k_{G2}$,0.010908150159298724,46504.599490937224
SUM149,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.0133338978767462,46504.599490937224
SUM149,MFH-2-90,0.001,$k_{\phi}$,1e-07,46504.599490937224
SUM149,MFH-2-90,0.1,$k_{S}$,1e-07,30210.79176906617
SUM149,MFH-2-90,0.1,$k_{G2}$,0.007860109118355397,30210.79176906617
SUM149,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.011647164327349158,30210.79176906617
SUM149,MFH-2-90,0.1,$k_{\phi}$,1e-07,30210.79176906617
SUM149,MFH-2-90,0.1,$k_{S}$,1e-07,29021.472302792463
SUM149,MFH-2-90,0.1,$k_{G2}$,0.011551163649591334,29021.472302792463
SUM149,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.011611028284307538,29021.472302792463
SUM149,MFH-2-90,0.1,$k_{\phi}$,1e-07,29021.472302792463
SUM149,MFH-2-90,0.1,$k_{S}$,1e-07,38753.450402864495
SUM149,MFH-2-90,0.1,$k_{G2}$,0.011593382874135211,38753.450402864495
SUM149,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.011926159749164987,38753.450402864495
SUM149,MFH-2-90,0.1,$k_{\phi}$,1e-07,38753.450402864495
SUM149,MFH-2-90,0.01,$k_{S}$,1e-07,45765.294475654075
SUM149,MFH-2-90,0.01,$k_{G2}$,0.011797048178754804,45765.294475654075
SUM149,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.011372932278107185,45765.294475654075
SUM149,MFH-2-90,0.01,$k_{\phi}$,1e-07,45765.294475654075
SUM149,MFH-2-90,0.01,$k_{S}$,1e-07,33227.541175936334
SUM149,MFH-2-90,0.01,$k_{G2}$,0.012162082561465413,33227.541175936334
SUM149,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.011135047309744142,33227.541175936334
SUM149,MFH-2-90,0.01,$k_{\phi}$,1e-07,33227.541175936334
SUM149,MFH-2-90,0.01,$k_{S}$,1e-07,23192.173431174022
SUM149,MFH-2-90,0.01,$k_{G2}$,0.012268272783042308,23192.173431174022
SUM149,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.01089419571676665,23192.173431174022
SUM149,MFH-2-90,0.01,$k_{\phi}$,0.0001784847936413653,23192.173431174022
SUM149,MFH-2-90,0.031623,$k_{S}$,1e-07,38218.31806307029
SUM149,MFH-2-90,0.031623,$k_{G2}$,0.011100636617907571,38218.31806307029
SUM149,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.012713284289858191,38218.31806307029
SUM149,MFH-2-90,0.031623,$k_{\phi}$,1e-07,38218.31806307029
SUM149,MFH-2-90,0.031623,$k_{S}$,0.000569480321433613,48089.46684383937
SUM149,MFH-2-90,0.031623,$k_{G2}$,0.009121725906326004,48089.46684383937
SUM149,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.011959420247690752,48089.46684383937
SUM149,MFH-2-90,0.031623,$k_{\phi}$,1e-07,48089.46684383937
SUM149,MFH-2-90,0.031623,$k_{S}$,1e-07,21903.863952977747
SUM149,MFH-2-90,0.031623,$k_{G2}$,0.011778124323530694,21903.863952977747
SUM149,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.012765812737261064,21903.863952977747
SUM149,MFH-2-90,0.031623,$k_{\phi}$,0.0037666983702948674,21903.863952977747
