cell_line,agent,concentration,parameter,rate,obj_func
SUM149,SY-1365,0.003162,$k_{S}$,1e-07,1237.0797111575077
SUM149,SY-1365,0.003162,$k_{G2}$,0.011181061795764962,1237.0797111575077
SUM149,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.005292908708077828,1237.0797111575077
SUM149,SY-1365,0.003162,$k_{\phi}$,0.023062430873233605,1237.0797111575077
SUM149,SY-1365,0.003162,$k_{S}$,1e-07,3258.0855661819633
SUM149,SY-1365,0.003162,$k_{G2}$,0.006986760473891078,3258.0855661819633
SUM149,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.005019378651909997,3258.0855661819633
SUM149,SY-1365,0.003162,$k_{\phi}$,0.009689736675128438,3258.0855661819633
SUM149,SY-1365,0.003162,$k_{S}$,1e-07,17005.127602147273
SUM149,SY-1365,0.003162,$k_{G2}$,0.011554098147466354,17005.127602147273
SUM149,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.006849647807152439,17005.127602147273
SUM149,SY-1365,0.003162,$k_{\phi}$,1e-07,17005.127602147273
SUM149,SY-1365,0.01,$k_{S}$,1e-07,24353.02561266903
SUM149,SY-1365,0.01,$k_{G2}$,0.0142407971958227,24353.02561266903
SUM149,SY-1365,0.01,$k_{M}$$k_{G1}$,0.008016733054728085,24353.02561266903
SUM149,SY-1365,0.01,$k_{\phi}$,1e-07,24353.02561266903
SUM149,SY-1365,0.01,$k_{S}$,1e-07,46803.90091876569
SUM149,SY-1365,0.01,$k_{G2}$,0.012828374675240728,46803.90091876569
SUM149,SY-1365,0.01,$k_{M}$$k_{G1}$,0.009607178960882312,46803.90091876569
SUM149,SY-1365,0.01,$k_{\phi}$,1e-07,46803.90091876569
SUM149,SY-1365,0.01,$k_{S}$,1e-07,43316.607236452575
SUM149,SY-1365,0.01,$k_{G2}$,0.013003464850672393,43316.607236452575
SUM149,SY-1365,0.01,$k_{M}$$k_{G1}$,0.009505954885805697,43316.607236452575
SUM149,SY-1365,0.01,$k_{\phi}$,1e-07,43316.607236452575
SUM149,SY-1365,0.0001,$k_{S}$,0.11959491779215156,1.7248992423558886e-09
SUM149,SY-1365,0.0001,$k_{G2}$,0.06858962382926853,1.7248992423558886e-09
SUM149,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.1593311350782373,1.7248992423558886e-09
SUM149,SY-1365,0.0001,$k_{\phi}$,1.3440483407253165,1.7248992423558886e-09
SUM149,SY-1365,0.0001,$k_{S}$,0.11800052775914514,1.7824786718919726e-05
SUM149,SY-1365,0.0001,$k_{G2}$,0.0600916874902935,1.7824786718919726e-05
SUM149,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.13527390829664337,1.7824786718919726e-05
