cell_line,agent,concentration,parameter,rate,obj_func
SUM149,THZ1,0.000316,$k_{S}$,0.10787419973135574,1.2943067338557812e-09
SUM149,THZ1,0.000316,$k_{G2}$,0.059485049741915756,1.2943067338557812e-09
SUM149,THZ1,0.000316,$k_{M}$$k_{G1}$,0.15546343461966303,1.2943067338557812e-09
SUM149,THZ1,0.000316,$k_{\phi}$,0.978428243152539,1.2943067338557812e-09
SUM149,THZ1,0.000316,$k_{S}$,0.1014546952139499,2.867006940670392e-09
SUM149,THZ1,0.000316,$k_{G2}$,0.06050201061984729,2.867006940670392e-09
SUM149,THZ1,0.000316,$k_{M}$$k_{G1}$,0.1390862063657805,2.867006940670392e-09
SUM149,THZ1,0.000316,$k_{\phi}$,27.23773979277713,2.867006940670392e-09
SUM149,THZ1,0.000316,$k_{S}$,0.1093614097601553,1.1280548894039789e-09
SUM149,THZ1,0.000316,$k_{G2}$,0.05772375552236153,1.1280548894039789e-09
SUM149,THZ1,0.000316,$k_{M}$$k_{G1}$,0.13637072423436122,1.1280548894039789e-09
SUM149,THZ1,0.000316,$k_{\phi}$,1.0889896590285375,1.1280548894039789e-09
SUM149,THZ1,0.001,$k_{S}$,0.11816532008985192,2.887506510134077e-09
SUM149,THZ1,0.001,$k_{G2}$,0.061876599722082544,2.887506510134077e-09
SUM149,THZ1,0.001,$k_{M}$$k_{G1}$,0.15346448298634807,2.887506510134077e-09
SUM149,THZ1,0.001,$k_{\phi}$,1.4571362014089806,2.887506510134077e-09
SUM149,THZ1,0.001,$k_{S}$,0.12476005942515955,1.838466643229837e-09
SUM149,THZ1,0.001,$k_{G2}$,0.06393853391877072,1.838466643229837e-09
SUM149,THZ1,0.001,$k_{M}$$k_{G1}$,0.15093636616799466,1.838466643229837e-09
SUM149,THZ1,0.001,$k_{\phi}$,0.8436501702709877,1.838466643229837e-09
SUM149,THZ1,0.001,$k_{S}$,0.11649830048210408,3.540377215567335e-09
SUM149,THZ1,0.001,$k_{G2}$,0.05868870567953932,3.540377215567335e-09
SUM149,THZ1,0.001,$k_{M}$$k_{G1}$,0.13675201754917324,3.540377215567335e-09
SUM149,THZ1,0.001,$k_{\phi}$,1.2183145461097649,3.540377215567335e-09
SUM149,THZ1,1.0,$k_{S}$,1e-07,18304.233401436093
SUM149,THZ1,1.0,$k_{G2}$,0.009755687903893149,18304.233401436093
SUM149,THZ1,1.0,$k_{M}$$k_{G1}$,0.00837886463240961,18304.233401436093
SUM149,THZ1,1.0,$k_{\phi}$,1e-07,18304.233401436093
SUM149,THZ1,1.0,$k_{S}$,1e-07,33821.86587880058
SUM149,THZ1,1.0,$k_{G2}$,0.013192697794461793,33821.86587880058
SUM149,THZ1,1.0,$k_{M}$$k_{G1}$,0.009254237032566984,33821.86587880058
SUM149,THZ1,1.0,$k_{\phi}$,1e-07,33821.86587880058
SUM149,THZ1,1.0,$k_{S}$,0.0004598983536524249,57965.0753701883
SUM149,THZ1,1.0,$k_{G2}$,0.011904175132679199,57965.0753701883
SUM149,THZ1,1.0,$k_{M}$$k_{G1}$,0.011714045828055552,57965.0753701883
SUM149,THZ1,1.0,$k_{\phi}$,1e-07,57965.0753701883
SUM149,THZ1,0.003162,$k_{S}$,0.11913077336433246,8.790164132106368e-10
SUM149,THZ1,0.003162,$k_{G2}$,0.06306146329206694,8.790164132106368e-10
SUM149,THZ1,0.003162,$k_{M}$$k_{G1}$,0.1401576599829554,8.790164132106368e-10
SUM149,THZ1,0.003162,$k_{\phi}$,1.4161512457734047,8.790164132106368e-10
SUM149,THZ1,0.003162,$k_{S}$,0.1095637397791159,1.6433559393491115e-09
SUM149,THZ1,0.003162,$k_{G2}$,0.05485695936963586,1.6433559393491115e-09
SUM149,THZ1,0.003162,$k_{M}$$k_{G1}$,0.14506475669058042,1.6433559393491115e-09
SUM149,THZ1,0.003162,$k_{\phi}$,1.0989392750555251,1.6433559393491115e-09
SUM149,THZ1,0.003162,$k_{S}$,0.10793790200938644,1.0117140113735879e-09
SUM149,THZ1,0.003162,$k_{G2}$,0.05400220744394793,1.0117140113735879e-09
SUM149,THZ1,0.003162,$k_{M}$$k_{G1}$,0.14377012703636236,1.0117140113735879e-09
SUM149,THZ1,0.003162,$k_{\phi}$,1.0869585466841587,1.0117140113735879e-09
SUM149,THZ1,0.0001,$k_{S}$,0.10385042889678385,5.942597924249485e-10
