cell_line,agent,concentration,parameter,rate,obj_func
SUM159,AZD1775,0.1,$k_{S}$,0.10989248755803153,3.378241087231024e-10
SUM159,AZD1775,0.1,$k_{G2}$,0.08562031427651048,3.378241087231024e-10
SUM159,AZD1775,0.1,$k_{M}$$k_{G1}$,0.21148179282494078,3.378241087231024e-10
SUM159,AZD1775,0.1,$k_{\phi}$,2.3467592564688977,3.378241087231024e-10
SUM159,AZD1775,0.1,$k_{S}$,0.10916995417905274,0.0362066842623444
SUM159,AZD1775,0.1,$k_{G2}$,0.08901651338921288,0.0362066842623444
SUM159,AZD1775,0.1,$k_{M}$$k_{G1}$,0.1826138237603796,0.0362066842623444
SUM159,AZD1775,0.1,$k_{\phi}$,100.0,0.0362066842623444
SUM159,AZD1775,0.1,$k_{S}$,0.10692071462466005,4.6375184441550825e-09
SUM159,AZD1775,0.1,$k_{G2}$,0.08767588558487965,4.6375184441550825e-09
SUM159,AZD1775,0.1,$k_{M}$$k_{G1}$,0.2154060301973477,4.6375184441550825e-09
SUM159,AZD1775,0.1,$k_{\phi}$,5.2466873380198695,4.6375184441550825e-09
SUM159,AZD1775,0.001,$k_{S}$,0.13381535837468614,1.6257992179738995e-08
SUM159,AZD1775,0.001,$k_{G2}$,0.08578855572914144,1.6257992179738995e-08
SUM159,AZD1775,0.001,$k_{M}$$k_{G1}$,0.2329746669453584,1.6257992179738995e-08
SUM159,AZD1775,0.001,$k_{\phi}$,3.938593994047691,1.6257992179738995e-08
SUM159,AZD1775,0.001,$k_{S}$,0.1436431163127724,3.302688103986618e-09
SUM159,AZD1775,0.001,$k_{G2}$,0.08955694644643185,3.302688103986618e-09
SUM159,AZD1775,0.001,$k_{M}$$k_{G1}$,0.1728986288367068,3.302688103986618e-09
SUM159,AZD1775,0.001,$k_{\phi}$,4.19845711044615,3.302688103986618e-09
SUM159,AZD1775,0.001,$k_{S}$,0.15776415800618376,1.1155527515756746e-08
SUM159,AZD1775,0.001,$k_{G2}$,0.08048041115971573,1.1155527515756746e-08
SUM159,AZD1775,0.001,$k_{M}$$k_{G1}$,0.19077510081510204,1.1155527515756746e-08
SUM159,AZD1775,0.001,$k_{\phi}$,3.9788785480336766,1.1155527515756746e-08
SUM159,AZD1775,0.003162,$k_{S}$,0.12734945641868697,9.224362039751362e-09
SUM159,AZD1775,0.003162,$k_{G2}$,0.08374347737610509,9.224362039751362e-09
SUM159,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.2097504051014355,9.224362039751362e-09
SUM159,AZD1775,0.003162,$k_{\phi}$,4.064542547774548,9.224362039751362e-09
SUM159,AZD1775,0.003162,$k_{S}$,0.1394915109491537,9.234036823729403e-09
SUM159,AZD1775,0.003162,$k_{G2}$,0.09200867280050912,9.234036823729403e-09
SUM159,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.16922204612992997,9.234036823729403e-09
SUM159,AZD1775,0.003162,$k_{\phi}$,3.6124685422615523,9.234036823729403e-09
SUM159,AZD1775,0.003162,$k_{S}$,0.13830661725088803,8.607093249946567e-09
SUM159,AZD1775,0.003162,$k_{G2}$,0.08843130797528123,8.607093249946567e-09
SUM159,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.1816421674560565,8.607093249946567e-09
SUM159,AZD1775,0.003162,$k_{\phi}$,3.973918864808154,8.607093249946567e-09
SUM159,AZD1775,3.162278,$k_{S}$,0.0783507448746176,1.0343082514843801e-09
SUM159,AZD1775,3.162278,$k_{G2}$,0.09812491241730865,1.0343082514843801e-09
SUM159,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.09888822636655524,1.0343082514843801e-09
SUM159,AZD1775,3.162278,$k_{\phi}$,2.0369945158685363,1.0343082514843801e-09
SUM159,AZD1775,3.162278,$k_{S}$,0.08866462402624604,4.0051783348351443e-10
SUM159,AZD1775,3.162278,$k_{G2}$,0.08665016177291097,4.0051783348351443e-10
SUM159,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.12026222581110309,4.0051783348351443e-10
SUM159,AZD1775,3.162278,$k_{\phi}$,2.9760669610676915,4.0051783348351443e-10
SUM159,AZD1775,3.162278,$k_{S}$,0.07270489275954402,4.628163945298312e-10
SUM159,AZD1775,3.162278,$k_{G2}$,0.09036953270699137,4.628163945298312e-10
SUM159,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.1032755229476004,4.628163945298312e-10
SUM159,AZD1775,3.162278,$k_{\phi}$,4.883108833859619,4.628163945298312e-10
SUM159,AZD1775,0.031623,$k_{S}$,0.11496288183078356,5.335423999511896e-09
SUM159,AZD1775,0.031623,$k_{G2}$,0.0760832374050123,5.335423999511896e-09
SUM159,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.20136607755325467,5.335423999511896e-09
SUM159,AZD1775,0.031623,$k_{\phi}$,2.4905752022991607,5.335423999511896e-09
SUM159,AZD1775,0.031623,$k_{S}$,0.11137770626906904,4.483259141955599e-09
SUM159,AZD1775,0.031623,$k_{G2}$,0.08976835254604942,4.483259141955599e-09
SUM159,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.17881785261133942,4.483259141955599e-09
SUM159,AZD1775,0.031623,$k_{\phi}$,10.73120863772125,4.483259141955599e-09
SUM159,AZD1775,0.031623,$k_{S}$,0.1098757262422338,6.0247102045984174e-09
SUM159,AZD1775,0.031623,$k_{G2}$,0.08785335000084882,6.0247102045984174e-09
SUM159,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.17132247325325295,6.0247102045984174e-09
SUM159,AZD1775,0.031623,$k_{\phi}$,9.193235733078735,6.0247102045984174e-09
SUM159,AZD1775,0.01,$k_{S}$,0.1313190237047147,9.452622867403652e-09
SUM159,AZD1775,0.01,$k_{G2}$,0.08271477281981653,9.452622867403652e-09
SUM159,AZD1775,0.01,$k_{M}$$k_{G1}$,0.19198862703968372,9.452622867403652e-09
SUM159,AZD1775,0.01,$k_{\phi}$,9.403420153500372,9.452622867403652e-09
SUM159,AZD1775,0.01,$k_{S}$,0.14874299996198762,4.174041329732393e-09
SUM159,AZD1775,0.01,$k_{G2}$,0.0931932534721984,4.174041329732393e-09
SUM159,AZD1775,0.01,$k_{M}$$k_{G1}$,0.17523512365469446,4.174041329732393e-09
SUM159,AZD1775,0.01,$k_{\phi}$,4.572650233804739,4.174041329732393e-09
SUM159,AZD1775,0.01,$k_{S}$,0.1285729721785528,1.242403159725337e-08
SUM159,AZD1775,0.01,$k_{G2}$,0.0919968030650289,1.242403159725337e-08
SUM159,AZD1775,0.01,$k_{M}$$k_{G1}$,0.21899110744194916,1.242403159725337e-08
SUM159,AZD1775,0.01,$k_{\phi}$,4.217137800146432,1.242403159725337e-08
SUM159,AZD1775,1.0,$k_{S}$,0.06962729952236697,8.754061495713454e-10
SUM159,AZD1775,1.0,$k_{G2}$,0.08246199516754724,8.754061495713454e-10
SUM159,AZD1775,1.0,$k_{M}$$k_{G1}$,0.13007484150719703,8.754061495713454e-10
SUM159,AZD1775,1.0,$k_{\phi}$,8.32364811854883,8.754061495713454e-10
SUM159,AZD1775,1.0,$k_{S}$,0.09662350954375835,2.106436946066974e-09
SUM159,AZD1775,1.0,$k_{G2}$,0.09038254496179841,2.106436946066974e-09
SUM159,AZD1775,1.0,$k_{M}$$k_{G1}$,0.1281077188603347,2.106436946066974e-09
SUM159,AZD1775,1.0,$k_{\phi}$,3.771957576851986,2.106436946066974e-09
SUM159,AZD1775,1.0,$k_{S}$,0.08341342388161707,2.0462757398205276e-09
SUM159,AZD1775,1.0,$k_{G2}$,0.0809146129911274,2.0462757398205276e-09
SUM159,AZD1775,1.0,$k_{M}$$k_{G1}$,0.15559799174890973,2.0462757398205276e-09
SUM159,AZD1775,1.0,$k_{\phi}$,11.229518671429831,2.0462757398205276e-09
SUM159,AZD1775,0.316228,$k_{S}$,0.10196557221180107,1.537044141002586e-09
SUM159,AZD1775,0.316228,$k_{G2}$,0.08476598709195787,1.537044141002586e-09
SUM159,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.1708848320280408,1.537044141002586e-09
SUM159,AZD1775,0.316228,$k_{\phi}$,3.9020726192535293,1.537044141002586e-09
SUM159,AZD1775,0.316228,$k_{S}$,0.08880749651432698,3.782623485376584e-09
SUM159,AZD1775,0.316228,$k_{G2}$,0.09182563639028792,3.782623485376584e-09
SUM159,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.15895960418736074,3.782623485376584e-09
SUM159,AZD1775,0.316228,$k_{\phi}$,3.8383513795856734,3.782623485376584e-09
SUM159,AZD1775,0.316228,$k_{S}$,0.09378671227751446,3.0124560856791723e-09
SUM159,AZD1775,0.316228,$k_{G2}$,0.09233088724481424,3.0124560856791723e-09
SUM159,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.17432635974370173,3.0124560856791723e-09
SUM159,AZD1775,0.316228,$k_{\phi}$,2.951499168218844,3.0124560856791723e-09
SUM159,AZD1775,10.0,$k_{S}$,1e-07,766.3511638594825
SUM159,AZD1775,10.0,$k_{G2}$,8.811400329519252e-05,766.3511638594825
SUM159,AZD1775,10.0,$k_{M}$$k_{G1}$,0.010417724264886935,766.3511638594825
SUM159,AZD1775,10.0,$k_{\phi}$,0.01849895185136313,766.3511638594825
SUM159,AZD1775,10.0,$k_{S}$,0.0017732366553040097,1417.2898866350617
SUM159,AZD1775,10.0,$k_{G2}$,1e-07,1417.2898866350617
SUM159,AZD1775,10.0,$k_{M}$$k_{G1}$,0.007640199400085712,1417.2898866350617
SUM159,AZD1775,10.0,$k_{\phi}$,0.0039298223705338895,1417.2898866350617
SUM159,AZD1775,10.0,$k_{S}$,0.0043278837267478575,3015.751798965876
SUM159,AZD1775,10.0,$k_{G2}$,0.004339819656678754,3015.751798965876
SUM159,AZD1775,10.0,$k_{M}$$k_{G1}$,0.0037082349498066404,3015.751798965876
SUM159,AZD1775,10.0,$k_{\phi}$,1e-07,3015.751798965876
