cell_line,agent,concentration,parameter,rate,obj_func
SUM159,BMS-265246,10.0,$k_{S}$,0.04905749104693719,1.342849800611475e-10
SUM159,BMS-265246,10.0,$k_{G2}$,0.06670404217990986,1.342849800611475e-10
SUM159,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.05286330107329914,1.342849800611475e-10
SUM159,BMS-265246,10.0,$k_{\phi}$,1.0507408661366446,1.342849800611475e-10
SUM159,BMS-265246,10.0,$k_{S}$,0.051134049930451175,5.793570689294364e-11
SUM159,BMS-265246,10.0,$k_{G2}$,0.03408301748066158,5.793570689294364e-11
SUM159,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.052855528717976746,5.793570689294364e-11
SUM159,BMS-265246,10.0,$k_{\phi}$,1.1220246094873831,5.793570689294364e-11
SUM159,BMS-265246,10.0,$k_{S}$,0.047147949926584075,1.2635729678474827e-10
SUM159,BMS-265246,10.0,$k_{G2}$,0.052158118570799585,1.2635729678474827e-10
SUM159,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0487049641788606,1.2635729678474827e-10
SUM159,BMS-265246,10.0,$k_{\phi}$,2.933933062878916,1.2635729678474827e-10
SUM159,BMS-265246,0.003162,$k_{S}$,0.12266292632288463,5.180748385438523e-09
SUM159,BMS-265246,0.003162,$k_{G2}$,0.07059738787178631,5.180748385438523e-09
SUM159,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.19500215333950133,5.180748385438523e-09
SUM159,BMS-265246,0.003162,$k_{\phi}$,3.333604038662049,5.180748385438523e-09
SUM159,BMS-265246,0.003162,$k_{S}$,0.1341792273455031,2.913266818388636e-09
SUM159,BMS-265246,0.003162,$k_{G2}$,0.06408358899658995,2.913266818388636e-09
SUM159,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.1617816462199971,2.913266818388636e-09
SUM159,BMS-265246,0.003162,$k_{\phi}$,7.326729589283062,2.913266818388636e-09
SUM159,BMS-265246,0.003162,$k_{S}$,0.12152154478766686,2.1538388977260794e-09
SUM159,BMS-265246,0.003162,$k_{G2}$,0.07503100740794272,2.1538388977260794e-09
SUM159,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.17391795391013548,2.1538388977260794e-09
SUM159,BMS-265246,0.003162,$k_{\phi}$,7.5300054688705,2.1538388977260794e-09
SUM159,BMS-265246,0.001,$k_{S}$,0.1385749002191725,1.1244804169385444e-09
SUM159,BMS-265246,0.001,$k_{G2}$,0.07484347916832977,1.1244804169385444e-09
SUM159,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.19072000733053177,1.1244804169385444e-09
SUM159,BMS-265246,0.001,$k_{\phi}$,8.333922214989071,1.1244804169385444e-09
SUM159,BMS-265246,0.001,$k_{S}$,0.14266158903001783,3.303731200379175e-09
