cell_line,agent,concentration,parameter,rate,obj_func
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.15865881878077234,3.81899898545167e-09
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.06939672705152249,3.81899898545167e-09
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.15611204487798122,3.81899898545167e-09
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,3.7838333678538376,3.81899898545167e-09
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.1455449134715904,2.048746904286158e-09
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.06567713063190667,2.048746904286158e-09
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.1604265034682824,2.048746904286158e-09
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,1.966452878936719,2.048746904286158e-09
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.147615845868811,1.7078778124553393e-09
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.07301563970807448,1.7078778124553393e-09
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.12634122798305597,1.7078778124553393e-09
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,2.44823973494899,1.7078778124553393e-09
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.16530805864243822,5.096195197883075e-10
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.07020668448935521,5.096195197883075e-10
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.14486670347573163,5.096195197883075e-10
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,3.4273493991475337,5.096195197883075e-10
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.16851873144340693,4.2915925891600665e-10
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.07134937925800053,4.2915925891600665e-10
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.14836243872081517,4.2915925891600665e-10
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,5.491188103881706,4.2915925891600665e-10
SUM159,CDK1_2iIII,0.1,$k_{S}$,0.14574713472572373,2.934195473720896e-09
SUM159,CDK1_2iIII,0.1,$k_{G2}$,0.06666009452856492,2.934195473720896e-09
SUM159,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.15257299208430833,2.934195473720896e-09
SUM159,CDK1_2iIII,0.1,$k_{\phi}$,5.034177526169704,2.934195473720896e-09
