cell_line,agent,concentration,parameter,rate,obj_func
SUM159,E17,0.031623,$k_{S}$,0.00624954302877292,3.9180892851816105e-11
SUM159,E17,0.031623,$k_{G2}$,0.021316170634024172,3.9180892851816105e-11
SUM159,E17,0.031623,$k_{M}$$k_{G1}$,0.003992216558800678,3.9180892851816105e-11
SUM159,E17,0.031623,$k_{\phi}$,0.20408817434314122,3.9180892851816105e-11
SUM159,E17,0.031623,$k_{S}$,0.002534280865181975,154.51818262889432
SUM159,E17,0.031623,$k_{G2}$,0.009489283919906147,154.51818262889432
SUM159,E17,0.031623,$k_{M}$$k_{G1}$,0.00032377575858358033,154.51818262889432
SUM159,E17,0.031623,$k_{\phi}$,1e-07,154.51818262889432
SUM159,E17,0.031623,$k_{S}$,1e-07,245.1079682538715
SUM159,E17,0.031623,$k_{G2}$,0.012778003027428318,245.1079682538715
SUM159,E17,0.031623,$k_{M}$$k_{G1}$,0.001251834140381321,245.1079682538715
SUM159,E17,0.031623,$k_{\phi}$,0.0064760257113721095,245.1079682538715
SUM159,E17,0.001,$k_{S}$,0.1760042196669149,1.9264343834803323e-06
SUM159,E17,0.001,$k_{G2}$,0.0881629912330812,1.9264343834803323e-06
SUM159,E17,0.001,$k_{M}$$k_{G1}$,0.15821542265607036,1.9264343834803323e-06
SUM159,E17,0.001,$k_{\phi}$,3.6696374527959237,1.9264343834803323e-06
SUM159,E17,0.001,$k_{S}$,0.166246398456603,3.814596584420324e-05
SUM159,E17,0.001,$k_{G2}$,0.07809458062612994,3.814596584420324e-05
SUM159,E17,0.001,$k_{M}$$k_{G1}$,0.18268680823037386,3.814596584420324e-05
SUM159,E17,0.001,$k_{\phi}$,3.7411140067579547,3.814596584420324e-05
SUM159,E17,0.001,$k_{S}$,0.16337054113172186,4.3624410788628235e-09
SUM159,E17,0.001,$k_{G2}$,0.08392773065765922,4.3624410788628235e-09
SUM159,E17,0.001,$k_{M}$$k_{G1}$,0.16884843152858026,4.3624410788628235e-09
SUM159,E17,0.001,$k_{\phi}$,9.021776424088834,4.3624410788628235e-09
SUM159,E17,0.316228,$k_{S}$,0.0010054339713645478,270.7819346048325
SUM159,E17,0.316228,$k_{G2}$,0.01262629452255708,270.7819346048325
SUM159,E17,0.316228,$k_{M}$$k_{G1}$,0.00010093946692158057,270.7819346048325
SUM159,E17,0.316228,$k_{\phi}$,1e-07,270.7819346048325
SUM159,E17,0.316228,$k_{S}$,0.005801760649503153,2966.8324142597344
SUM159,E17,0.316228,$k_{G2}$,0.017110752676489198,2966.8324142597344
SUM159,E17,0.316228,$k_{M}$$k_{G1}$,0.0018044621424117837,2966.8324142597344
SUM159,E17,0.316228,$k_{\phi}$,1e-07,2966.8324142597344
SUM159,E17,0.316228,$k_{S}$,1e-07,3233.684002183294
SUM159,E17,0.316228,$k_{G2}$,0.004450066755568074,3233.684002183294
SUM159,E17,0.316228,$k_{M}$$k_{G1}$,0.00512823379110248,3233.684002183294
SUM159,E17,0.316228,$k_{\phi}$,0.007360496098169196,3233.684002183294
SUM159,E17,0.000316,$k_{S}$,0.17134261693370328,8.04957878033944e-09
SUM159,E17,0.000316,$k_{G2}$,0.09126184930135772,8.04957878033944e-09
SUM159,E17,0.000316,$k_{M}$$k_{G1}$,0.19381071779790449,8.04957878033944e-09
SUM159,E17,0.000316,$k_{\phi}$,5.590454187845083,8.04957878033944e-09
SUM159,E17,0.000316,$k_{S}$,0.16958489569927906,4.5320347505404905e-09
SUM159,E17,0.000316,$k_{G2}$,0.08109876119239376,4.5320347505404905e-09
SUM159,E17,0.000316,$k_{M}$$k_{G1}$,0.19391819936793406,4.5320347505404905e-09
SUM159,E17,0.000316,$k_{\phi}$,5.062852542224405,4.5320347505404905e-09
SUM159,E17,0.000316,$k_{S}$,0.15358637933038505,8.047863471858492e-09
SUM159,E17,0.000316,$k_{G2}$,0.0807337617605936,8.047863471858492e-09
SUM159,E17,0.000316,$k_{M}$$k_{G1}$,0.17172660142531285,8.047863471858492e-09
SUM159,E17,0.000316,$k_{\phi}$,3.0396954009822585,8.047863471858492e-09
SUM159,E17,0.0001,$k_{S}$,0.16785919740172775,1.73986043260279e-06
SUM159,E17,0.0001,$k_{G2}$,0.07597347239109448,1.73986043260279e-06
SUM159,E17,0.0001,$k_{M}$$k_{G1}$,0.23574418428526653,1.73986043260279e-06
SUM159,E17,0.0001,$k_{\phi}$,3.9457118101772943,1.73986043260279e-06
SUM159,E17,0.0001,$k_{S}$,0.18368388941960428,1.9860565186651745e-08
SUM159,E17,0.0001,$k_{G2}$,0.07963133818790243,1.9860565186651745e-08
SUM159,E17,0.0001,$k_{M}$$k_{G1}$,0.1844566705249332,1.9860565186651745e-08
SUM159,E17,0.0001,$k_{\phi}$,4.209035571626757,1.9860565186651745e-08
SUM159,E17,0.0001,$k_{S}$,0.15617980860677183,1.398532485493417e-08
SUM159,E17,0.0001,$k_{G2}$,0.08988292962568793,1.398532485493417e-08
SUM159,E17,0.0001,$k_{M}$$k_{G1}$,0.18858747029316955,1.398532485493417e-08
SUM159,E17,0.0001,$k_{\phi}$,5.246289853439979,1.398532485493417e-08
SUM159,E17,0.003162,$k_{S}$,0.16194978663926676,7.316062523526716e-09
SUM159,E17,0.003162,$k_{G2}$,0.07946229707374053,7.316062523526716e-09
SUM159,E17,0.003162,$k_{M}$$k_{G1}$,0.18315841596281657,7.316062523526716e-09
SUM159,E17,0.003162,$k_{\phi}$,4.06522854451914,7.316062523526716e-09
SUM159,E17,0.003162,$k_{S}$,0.16038110616876736,1.6670910341002653e-09
SUM159,E17,0.003162,$k_{G2}$,0.08704492256225103,1.6670910341002653e-09
SUM159,E17,0.003162,$k_{M}$$k_{G1}$,0.18485164881188715,1.6670910341002653e-09
SUM159,E17,0.003162,$k_{\phi}$,3.5607336409445423,1.6670910341002653e-09
SUM159,E17,0.003162,$k_{S}$,0.1515179856563742,5.019311266097358e-09
SUM159,E17,0.003162,$k_{G2}$,0.08824765711916085,5.019311266097358e-09
SUM159,E17,0.003162,$k_{M}$$k_{G1}$,0.16051245613908494,5.019311266097358e-09
SUM159,E17,0.003162,$k_{\phi}$,3.2470165812548646,5.019311266097358e-09
SUM159,E17,0.01,$k_{S}$,0.07270648779049149,3.3610189840877147e-10
SUM159,E17,0.01,$k_{G2}$,0.06301384530512501,3.3610189840877147e-10
SUM159,E17,0.01,$k_{M}$$k_{G1}$,0.06866388602889165,3.3610189840877147e-10
SUM159,E17,0.01,$k_{\phi}$,2.6451767438674394,3.3610189840877147e-10
SUM159,E17,0.01,$k_{S}$,0.10606248037018774,9.997599049424409e-11
SUM159,E17,0.01,$k_{G2}$,0.05320969661764139,9.997599049424409e-11
SUM159,E17,0.01,$k_{M}$$k_{G1}$,0.06707038370929364,9.997599049424409e-11
SUM159,E17,0.01,$k_{\phi}$,0.7094619385793652,9.997599049424409e-11
SUM159,E17,0.01,$k_{S}$,0.08495822958557661,5.692624075734247e-11
SUM159,E17,0.01,$k_{G2}$,0.06249906478966162,5.692624075734247e-11
SUM159,E17,0.01,$k_{M}$$k_{G1}$,0.059021501490063154,5.692624075734247e-11
SUM159,E17,0.01,$k_{\phi}$,1.3846327533910259,5.692624075734247e-11
SUM159,E17,0.1,$k_{S}$,1e-07,226.4156369448851
SUM159,E17,0.1,$k_{G2}$,0.018748362886306155,226.4156369448851
SUM159,E17,0.1,$k_{M}$$k_{G1}$,0.0007003673644664135,226.4156369448851
SUM159,E17,0.1,$k_{\phi}$,0.011862899171623883,226.4156369448851
SUM159,E17,0.1,$k_{S}$,0.002879970076829566,476.2007851323409
SUM159,E17,0.1,$k_{G2}$,0.007103714141941903,476.2007851323409
SUM159,E17,0.1,$k_{M}$$k_{G1}$,0.0007716642482984912,476.2007851323409
SUM159,E17,0.1,$k_{\phi}$,1e-07,476.2007851323409
SUM159,E17,0.1,$k_{S}$,7.829596942019598e-05,739.2192700223292
SUM159,E17,0.1,$k_{G2}$,0.02430774611230913,739.2192700223292
SUM159,E17,0.1,$k_{M}$$k_{G1}$,0.0005783461558012977,739.2192700223292
SUM159,E17,0.1,$k_{\phi}$,1e-07,739.2192700223292
SUM159,E17,1.0,$k_{S}$,0.0008965613566682958,946.5651955685199
SUM159,E17,1.0,$k_{G2}$,0.015618728477888382,946.5651955685199
SUM159,E17,1.0,$k_{M}$$k_{G1}$,0.0006623134103292127,946.5651955685199
SUM159,E17,1.0,$k_{\phi}$,1e-07,946.5651955685199
SUM159,E17,1.0,$k_{S}$,0.0013025422645322263,1030.9198163676128
SUM159,E17,1.0,$k_{G2}$,0.00892592881530759,1030.9198163676128
SUM159,E17,1.0,$k_{M}$$k_{G1}$,0.0007197585930621546,1030.9198163676128
SUM159,E17,1.0,$k_{\phi}$,1e-07,1030.9198163676128
SUM159,E17,1.0,$k_{S}$,0.002656014333470919,10196.734849908542
SUM159,E17,1.0,$k_{G2}$,0.010781069382695498,10196.734849908542
SUM159,E17,1.0,$k_{M}$$k_{G1}$,0.004032822779761205,10196.734849908542
SUM159,E17,1.0,$k_{\phi}$,1e-07,10196.734849908542
