cell_line,agent,concentration,parameter,rate,obj_func
SUM159,R0-3306,10.0,$k_{S}$,0.005968531301302135,1.5654199446205178e-11
SUM159,R0-3306,10.0,$k_{G2}$,0.0020212440778358104,1.5654199446205178e-11
SUM159,R0-3306,10.0,$k_{M}$$k_{G1}$,0.0089127114091049,1.5654199446205178e-11
SUM159,R0-3306,10.0,$k_{\phi}$,0.11025128152807433,1.5654199446205178e-11
SUM159,R0-3306,10.0,$k_{S}$,0.06787796592539587,7.939597275431213e-12
SUM159,R0-3306,10.0,$k_{G2}$,0.0759628407570429,7.939597275431213e-12
SUM159,R0-3306,10.0,$k_{M}$$k_{G1}$,0.03737236405493664,7.939597275431213e-12
SUM159,R0-3306,10.0,$k_{\phi}$,0.4633155106342446,7.939597275431213e-12
SUM159,R0-3306,10.0,$k_{S}$,0.0248126275092512,2.7022254629004516e-11
SUM159,R0-3306,10.0,$k_{G2}$,0.04820082211730916,2.7022254629004516e-11
SUM159,R0-3306,10.0,$k_{M}$$k_{G1}$,0.03040331805781402,2.7022254629004516e-11
SUM159,R0-3306,10.0,$k_{\phi}$,0.251864343695573,2.7022254629004516e-11
SUM159,R0-3306,0.031623,$k_{S}$,0.17140596209647294,1.6128886466621095e-08
SUM159,R0-3306,0.031623,$k_{G2}$,0.08333048206772967,1.6128886466621095e-08
SUM159,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.1990871712978105,1.6128886466621095e-08
SUM159,R0-3306,0.031623,$k_{\phi}$,5.022515433021269,1.6128886466621095e-08
SUM159,R0-3306,0.031623,$k_{S}$,0.16291949618014004,8.066190735157251e-09
SUM159,R0-3306,0.031623,$k_{G2}$,0.08233208711580783,8.066190735157251e-09
SUM159,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.21213669279548458,8.066190735157251e-09
SUM159,R0-3306,0.031623,$k_{\phi}$,4.117764252032352,8.066190735157251e-09
SUM159,R0-3306,0.031623,$k_{S}$,0.15853453411115187,1.4237967884521561e-08
SUM159,R0-3306,0.031623,$k_{G2}$,0.0856096529168374,1.4237967884521561e-08
SUM159,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.21878910589798653,1.4237967884521561e-08
SUM159,R0-3306,0.031623,$k_{\phi}$,4.35672995178431,1.4237967884521561e-08
SUM159,R0-3306,0.01,$k_{S}$,0.15820892582159624,5.898615785965137e-09
SUM159,R0-3306,0.01,$k_{G2}$,0.07969137196863353,5.898615785965137e-09
SUM159,R0-3306,0.01,$k_{M}$$k_{G1}$,0.18171921376131367,5.898615785965137e-09
SUM159,R0-3306,0.01,$k_{\phi}$,2.910399959236584,5.898615785965137e-09
SUM159,R0-3306,0.01,$k_{S}$,0.14889697507000646,8.049202494689753e-09
SUM159,R0-3306,0.01,$k_{G2}$,0.09657734567020546,8.049202494689753e-09
SUM159,R0-3306,0.01,$k_{M}$$k_{G1}$,0.16148787591579047,8.049202494689753e-09
SUM159,R0-3306,0.01,$k_{\phi}$,9.908115323440086,8.049202494689753e-09
SUM159,R0-3306,0.01,$k_{S}$,0.14338757624410564,1.0611465174815417e-08
SUM159,R0-3306,0.01,$k_{G2}$,0.09104960620899342,1.0611465174815417e-08
SUM159,R0-3306,0.01,$k_{M}$$k_{G1}$,0.18733159297557972,1.0611465174815417e-08
SUM159,R0-3306,0.01,$k_{\phi}$,10.969041505684304,1.0611465174815417e-08
SUM159,R0-3306,0.003162,$k_{S}$,0.1633983393262384,0.49165278882463354
SUM159,R0-3306,0.003162,$k_{G2}$,0.08852654340490641,0.49165278882463354
SUM159,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.17726681321482715,0.49165278882463354
SUM159,R0-3306,0.003162,$k_{\phi}$,100.0,0.49165278882463354
SUM159,R0-3306,0.003162,$k_{S}$,0.13237999559803626,4.417169511867934e-09
SUM159,R0-3306,0.003162,$k_{G2}$,0.0892032288947732,4.417169511867934e-09
SUM159,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.21419301725955633,4.417169511867934e-09
SUM159,R0-3306,0.003162,$k_{\phi}$,5.2643736966706225,4.417169511867934e-09
SUM159,R0-3306,0.003162,$k_{S}$,0.16199525801544357,1.0395366220483233e-08
SUM159,R0-3306,0.003162,$k_{G2}$,0.08378389459280308,1.0395366220483233e-08
SUM159,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.18289282047292665,1.0395366220483233e-08
SUM159,R0-3306,0.003162,$k_{\phi}$,5.052436289169801,1.0395366220483233e-08
