cell_line,agent,concentration,parameter,rate,obj_func
SUM159,Torin2,0.1,$k_{S}$,0.019927284474329413,5.3442825236305985e-11
SUM159,Torin2,0.1,$k_{G2}$,0.130250109989793,5.3442825236305985e-11
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.05081849316019857,5.3442825236305985e-11
SUM159,Torin2,0.1,$k_{\phi}$,3.1572182663870563,5.3442825236305985e-11
SUM159,Torin2,0.1,$k_{S}$,0.016239778207028533,5.759917883264659e-11
SUM159,Torin2,0.1,$k_{G2}$,0.1236984023402938,5.759917883264659e-11
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.04037115823516917,5.759917883264659e-11
SUM159,Torin2,0.1,$k_{\phi}$,7.258435192902705,5.759917883264659e-11
SUM159,Torin2,0.1,$k_{S}$,0.012220381182860477,3.727180435166838e-07
SUM159,Torin2,0.1,$k_{G2}$,0.10025160823801287,3.727180435166838e-07
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.03774155156531216,3.727180435166838e-07
SUM159,Torin2,0.1,$k_{\phi}$,1.83022378669644,3.727180435166838e-07
SUM159,Torin2,0.1,$k_{S}$,0.010471694088276008,6.265333229262683e-08
SUM159,Torin2,0.1,$k_{G2}$,0.060596473002341826,6.265333229262683e-08
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.046389108122235644,6.265333229262683e-08
SUM159,Torin2,0.1,$k_{\phi}$,0.6642407215947013,6.265333229262683e-08
SUM159,Torin2,0.1,$k_{S}$,0.013673451894171183,5.531835506826567e-07
SUM159,Torin2,0.1,$k_{G2}$,0.09577651242440152,5.531835506826567e-07
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.03652433879266055,5.531835506826567e-07
SUM159,Torin2,0.1,$k_{\phi}$,2.0138696497954376,5.531835506826567e-07
SUM159,Torin2,0.1,$k_{S}$,0.010993985148317667,5.509319908049987e-11
SUM159,Torin2,0.1,$k_{G2}$,0.0660886040832621,5.509319908049987e-11
SUM159,Torin2,0.1,$k_{M}$$k_{G1}$,0.03098857020152645,5.509319908049987e-11
SUM159,Torin2,0.1,$k_{\phi}$,4.396041733433027,5.509319908049987e-11
