cell_line,agent,concentration,parameter,rate,obj_func
T47D,AZD5363,10.0,$k_{S}$,8.203303508700827e-05,333.20325059754
T47D,AZD5363,10.0,$k_{G2}$,0.02422235587680437,333.20325059754
T47D,AZD5363,10.0,$k_{M}$$k_{G1}$,0.017825015675642715,333.20325059754
T47D,AZD5363,10.0,$k_{\phi}$,0.06582703476158085,333.20325059754
T47D,AZD5363,10.0,$k_{S}$,0.0027914204396380484,1105.8687925607085
T47D,AZD5363,10.0,$k_{G2}$,0.11976833337017229,1105.8687925607085
T47D,AZD5363,10.0,$k_{M}$$k_{G1}$,0.028234585169391806,1105.8687925607085
T47D,AZD5363,10.0,$k_{\phi}$,0.20126660746137084,1105.8687925607085
T47D,AZD5363,10.0,$k_{S}$,1e-07,743.5430330006034
T47D,AZD5363,10.0,$k_{G2}$,0.019099197730860964,743.5430330006034
T47D,AZD5363,10.0,$k_{M}$$k_{G1}$,0.0030456594375006508,743.5430330006034
T47D,AZD5363,10.0,$k_{\phi}$,0.017467859181081163,743.5430330006034
T47D,AZD5363,0.01,$k_{S}$,0.010933873067261112,1.7769540182627996e-10
T47D,AZD5363,0.01,$k_{G2}$,0.03618953731186785,1.7769540182627996e-10
T47D,AZD5363,0.01,$k_{M}$$k_{G1}$,0.027764587684729482,1.7769540182627996e-10
T47D,AZD5363,0.01,$k_{\phi}$,0.062166221231606186,1.7769540182627996e-10
T47D,AZD5363,0.01,$k_{S}$,0.012112410206878154,2730.6136029039553
T47D,AZD5363,0.01,$k_{G2}$,0.05238435171944424,2730.6136029039553
T47D,AZD5363,0.01,$k_{M}$$k_{G1}$,0.039989379346229745,2730.6136029039553
T47D,AZD5363,0.01,$k_{\phi}$,0.3585006720010883,2730.6136029039553
T47D,AZD5363,0.01,$k_{S}$,0.010512195508828703,855.810575566764
T47D,AZD5363,0.01,$k_{G2}$,0.04419311587818042,855.810575566764
T47D,AZD5363,0.01,$k_{M}$$k_{G1}$,0.020288807366890767,855.810575566764
T47D,AZD5363,0.01,$k_{\phi}$,0.08278738798235226,855.810575566764
T47D,AZD5363,0.001,$k_{S}$,0.022498567509996435,3630.902065944877
T47D,AZD5363,0.001,$k_{G2}$,0.07202759954652489,3630.902065944877
T47D,AZD5363,0.001,$k_{M}$$k_{G1}$,0.06912239704600093,3630.902065944877
T47D,AZD5363,0.001,$k_{\phi}$,0.4086663986118078,3630.902065944877
T47D,AZD5363,0.001,$k_{S}$,0.020333389868313345,4258.402088415352
T47D,AZD5363,0.001,$k_{G2}$,0.0648471784611274,4258.402088415352
T47D,AZD5363,0.001,$k_{M}$$k_{G1}$,0.06355717179396514,4258.402088415352
