cell_line,agent,concentration,parameter,rate,obj_func
T47D,BMS-265246,3.162278,$k_{S}$,0.002562658856673239,499.3345084823187
T47D,BMS-265246,3.162278,$k_{G2}$,0.01689546993273341,499.3345084823187
T47D,BMS-265246,3.162278,$k_{M}$$k_{G1}$,1e-07,499.3345084823187
T47D,BMS-265246,3.162278,$k_{\phi}$,1e-07,499.3345084823187
T47D,BMS-265246,3.162278,$k_{S}$,0.015486642795446289,2730.4201696470354
T47D,BMS-265246,3.162278,$k_{G2}$,0.025699371263036903,2730.4201696470354
T47D,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.002300583176844364,2730.4201696470354
T47D,BMS-265246,3.162278,$k_{\phi}$,0.025890956603748044,2730.4201696470354
T47D,BMS-265246,3.162278,$k_{S}$,0.004403614622355319,17790.079531893887
T47D,BMS-265246,3.162278,$k_{G2}$,0.010653941729211192,17790.079531893887
T47D,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.002891226158930149,17790.079531893887
T47D,BMS-265246,3.162278,$k_{\phi}$,1e-07,17790.079531893887
T47D,BMS-265246,0.316228,$k_{S}$,0.010121072225229268,5.161682567804314e-11
T47D,BMS-265246,0.316228,$k_{G2}$,0.04220711784454289,5.161682567804314e-11
T47D,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.015033715097902894,5.161682567804314e-11
T47D,BMS-265246,0.316228,$k_{\phi}$,0.06722862246413727,5.161682567804314e-11
T47D,BMS-265246,0.316228,$k_{S}$,0.012261988252422555,2047.9263076284694
T47D,BMS-265246,0.316228,$k_{G2}$,0.05177732897990638,2047.9263076284694
T47D,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.009547489610969262,2047.9263076284694
T47D,BMS-265246,0.316228,$k_{\phi}$,0.1040430502041661,2047.9263076284694
T47D,BMS-265246,0.316228,$k_{S}$,0.0030129707310536484,1992.2826771543687
T47D,BMS-265246,0.316228,$k_{G2}$,0.014187137142636076,1992.2826771543687
T47D,BMS-265246,0.316228,$k_{M}$$k_{G1}$,1e-07,1992.2826771543687
T47D,BMS-265246,0.316228,$k_{\phi}$,0.00506469159437721,1992.2826771543687
T47D,BMS-265246,10.0,$k_{S}$,0.011000936941066113,48855.75569036118
T47D,BMS-265246,10.0,$k_{G2}$,0.0191304841223117,48855.75569036118
T47D,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.005893438652699021,48855.75569036118
T47D,BMS-265246,10.0,$k_{\phi}$,1e-07,48855.75569036118
T47D,BMS-265246,10.0,$k_{S}$,0.017460603632728274,1242.8093835332293
T47D,BMS-265246,10.0,$k_{G2}$,0.048583265973313104,1242.8093835332293
T47D,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.002603314243040766,1242.8093835332293
T47D,BMS-265246,10.0,$k_{\phi}$,0.033009692533358614,1242.8093835332293
T47D,BMS-265246,10.0,$k_{S}$,0.004736062872943913,16387.297542210876
T47D,BMS-265246,10.0,$k_{G2}$,0.016238187114334005,16387.297542210876
T47D,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0015982829565359406,16387.297542210876
T47D,BMS-265246,10.0,$k_{\phi}$,1e-07,16387.297542210876
T47D,BMS-265246,0.1,$k_{S}$,0.004818194198690285,84044.51388499806
T47D,BMS-265246,0.1,$k_{G2}$,0.012948711029866278,84044.51388499806
T47D,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.010290804551871762,84044.51388499806
T47D,BMS-265246,0.1,$k_{\phi}$,1e-07,84044.51388499806
T47D,BMS-265246,0.1,$k_{S}$,0.01786957277513948,410.271628496299
T47D,BMS-265246,0.1,$k_{G2}$,0.07934090182885019,410.271628496299
T47D,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.02553455501027541,410.271628496299
T47D,BMS-265246,0.1,$k_{\phi}$,0.20869901341067829,410.271628496299
T47D,BMS-265246,0.1,$k_{S}$,0.0016850425430396153,14071.038821907974
T47D,BMS-265246,0.1,$k_{G2}$,0.005061839644258176,14071.038821907974
T47D,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.0022720950656053927,14071.038821907974
T47D,BMS-265246,0.1,$k_{\phi}$,1e-07,14071.038821907974
T47D,BMS-265246,1.0,$k_{S}$,0.019556286638990956,16272.999051250208
T47D,BMS-265246,1.0,$k_{G2}$,0.01623455340561491,16272.999051250208
T47D,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.0004772491275091095,16272.999051250208
T47D,BMS-265246,1.0,$k_{\phi}$,1e-07,16272.999051250208
T47D,BMS-265246,1.0,$k_{S}$,0.010649190784422929,2425.900007444599
T47D,BMS-265246,1.0,$k_{G2}$,0.04541794245949042,2425.900007444599
T47D,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.001985525752172154,2425.900007444599
T47D,BMS-265246,1.0,$k_{\phi}$,0.026532460799197116,2425.900007444599
T47D,BMS-265246,1.0,$k_{S}$,0.0025542841932821164,5428.399095523925
T47D,BMS-265246,1.0,$k_{G2}$,0.015798265384150145,5428.399095523925
T47D,BMS-265246,1.0,$k_{M}$$k_{G1}$,1e-07,5428.399095523925
T47D,BMS-265246,1.0,$k_{\phi}$,1e-07,5428.399095523925
T47D,BMS-265246,0.001,$k_{S}$,0.0019376197293622028,13.142481637425512
T47D,BMS-265246,0.001,$k_{G2}$,0.0020578260675686304,13.142481637425512
T47D,BMS-265246,0.001,$k_{M}$$k_{G1}$,1e-07,13.142481637425512
T47D,BMS-265246,0.001,$k_{\phi}$,0.008193673095041517,13.142481637425512
T47D,BMS-265246,0.001,$k_{S}$,0.023915778018189105,4001.3986935440207
T47D,BMS-265246,0.001,$k_{G2}$,0.06810901943913066,4001.3986935440207
T47D,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.04865560547031839,4001.3986935440207
T47D,BMS-265246,0.001,$k_{\phi}$,0.7919266070021245,4001.3986935440207
T47D,BMS-265246,0.001,$k_{S}$,0.023474190735955303,46319.462374173694
T47D,BMS-265246,0.001,$k_{G2}$,0.013935008029648472,46319.462374173694
T47D,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.002221893334066372,46319.462374173694
T47D,BMS-265246,0.001,$k_{\phi}$,1e-07,46319.462374173694
T47D,BMS-265246,0.003162,$k_{S}$,0.1434418761161226,1785.350597601457
T47D,BMS-265246,0.003162,$k_{G2}$,0.031949379631234426,1785.350597601457
T47D,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.003790381379518494,1785.350597601457
T47D,BMS-265246,0.003162,$k_{\phi}$,0.01650460569595698,1785.350597601457
T47D,BMS-265246,0.003162,$k_{S}$,0.012112334376873205,4128.712726675944
T47D,BMS-265246,0.003162,$k_{G2}$,0.041814939796638535,4128.712726675944
T47D,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.045260797528976195,4128.712726675944
T47D,BMS-265246,0.003162,$k_{\phi}$,0.17995960496407704,4128.712726675944
T47D,BMS-265246,0.003162,$k_{S}$,0.021515387947467993,2426.1340214732936
T47D,BMS-265246,0.003162,$k_{G2}$,0.07056567271381033,2426.1340214732936
T47D,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.03754001999425165,2426.1340214732936
T47D,BMS-265246,0.003162,$k_{\phi}$,0.2638165107412398,2426.1340214732936
T47D,BMS-265246,0.031623,$k_{S}$,0.017065690548190703,1958.5072147406158
T47D,BMS-265246,0.031623,$k_{G2}$,0.0686307259095653,1958.5072147406158
T47D,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.022730802205673157,1958.5072147406158
T47D,BMS-265246,0.031623,$k_{\phi}$,0.2813212321408424,1958.5072147406158
T47D,BMS-265246,0.031623,$k_{S}$,0.013520810314153428,1173.3964575658124
T47D,BMS-265246,0.031623,$k_{G2}$,0.05405637094077622,1173.3964575658124
T47D,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.031084023456814706,1173.3964575658124
T47D,BMS-265246,0.031623,$k_{\phi}$,0.1446127837610917,1173.3964575658124
T47D,BMS-265246,0.031623,$k_{S}$,0.014662384309431089,2525.52926328272
T47D,BMS-265246,0.031623,$k_{G2}$,0.049137401428085606,2525.52926328272
T47D,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.019321229734854416,2525.52926328272
T47D,BMS-265246,0.031623,$k_{\phi}$,0.2572202374214737,2525.52926328272
T47D,BMS-265246,0.01,$k_{S}$,0.022886646154090636,3511.267902310945
T47D,BMS-265246,0.01,$k_{G2}$,0.07860932315176479,3511.267902310945
T47D,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.032395912247488785,3511.267902310945
T47D,BMS-265246,0.01,$k_{\phi}$,0.5516168932364515,3511.267902310945
T47D,BMS-265246,0.01,$k_{S}$,0.020480479270846143,2426.1230101029364
T47D,BMS-265246,0.01,$k_{G2}$,0.06528036996272545,2426.1230101029364
T47D,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.034597154433206594,2426.1230101029364
T47D,BMS-265246,0.01,$k_{\phi}$,0.3674985314934929,2426.1230101029364
T47D,BMS-265246,0.01,$k_{S}$,0.028465304502917635,24956.475403779747
T47D,BMS-265246,0.01,$k_{G2}$,0.022116206000751648,24956.475403779747
T47D,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.00027414763552983517,24956.475403779747
T47D,BMS-265246,0.01,$k_{\phi}$,1e-07,24956.475403779747
