cell_line,agent,concentration,parameter,rate,obj_func
T47D,BSJ-03-124,0.01,$k_{S}$,0.004198159402312975,689.2346832704434
T47D,BSJ-03-124,0.01,$k_{G2}$,0.006078694226219118,689.2346832704434
T47D,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.008856465702720352,689.2346832704434
T47D,BSJ-03-124,0.01,$k_{\phi}$,0.010594539421122259,689.2346832704434
T47D,BSJ-03-124,0.01,$k_{S}$,0.008225592021370893,232.6921211780667
T47D,BSJ-03-124,0.01,$k_{G2}$,0.024248797753053088,232.6921211780667
T47D,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.018863335697358208,232.6921211780667
T47D,BSJ-03-124,0.01,$k_{\phi}$,0.24468449308771364,232.6921211780667
T47D,BSJ-03-124,0.01,$k_{S}$,0.011954007772187402,3875.6761728366805
T47D,BSJ-03-124,0.01,$k_{G2}$,0.034099562456610666,3875.6761728366805
T47D,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.03927259227569261,3875.6761728366805
T47D,BSJ-03-124,0.01,$k_{\phi}$,0.25603129411190484,3875.6761728366805
T47D,BSJ-03-124,0.001,$k_{S}$,0.016845765535688347,232.72946043521372
T47D,BSJ-03-124,0.001,$k_{G2}$,0.061046962724246805,232.72946043521372
T47D,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.04500206645253341,232.72946043521372
T47D,BSJ-03-124,0.001,$k_{\phi}$,0.1622374422832544,232.72946043521372
T47D,BSJ-03-124,0.001,$k_{S}$,0.013028710742487175,4258.212371060919
T47D,BSJ-03-124,0.001,$k_{G2}$,0.047176649072946615,4258.212371060919
T47D,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.041225048981407775,4258.212371060919
T47D,BSJ-03-124,0.001,$k_{\phi}$,0.13311697683857893,4258.212371060919
T47D,BSJ-03-124,0.001,$k_{S}$,0.018508496409196603,2836.1759133003497
T47D,BSJ-03-124,0.001,$k_{G2}$,0.0593334338127201,2836.1759133003497
T47D,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.05314944379764224,2836.1759133003497
T47D,BSJ-03-124,0.001,$k_{\phi}$,0.17803781699410465,2836.1759133003497
T47D,BSJ-03-124,0.1,$k_{S}$,1e-07,47.27982599625128
T47D,BSJ-03-124,0.1,$k_{G2}$,0.0032699488674536067,47.27982599625128
T47D,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.004317776470701765,47.27982599625128
T47D,BSJ-03-124,0.1,$k_{\phi}$,0.010311959119497805,47.27982599625128
T47D,BSJ-03-124,0.1,$k_{S}$,0.006440778331803355,1173.3749205922693
T47D,BSJ-03-124,0.1,$k_{G2}$,0.03650193542247122,1173.3749205922693
T47D,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.043032961945480806,1173.3749205922693
T47D,BSJ-03-124,0.1,$k_{\phi}$,0.10877760005206588,1173.3749205922693
T47D,BSJ-03-124,0.1,$k_{S}$,0.0026553208787096724,1406.2735523301972
T47D,BSJ-03-124,0.1,$k_{G2}$,0.008363785720434454,1406.2735523301972
T47D,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,1e-07,1406.2735523301972
T47D,BSJ-03-124,0.1,$k_{\phi}$,0.003775665676642673,1406.2735523301972
T47D,BSJ-03-124,0.003162,$k_{S}$,0.015418263162645773,2836.138006633455
T47D,BSJ-03-124,0.003162,$k_{G2}$,0.051229230595363585,2836.138006633455
T47D,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.03868440791632784,2836.138006633455
T47D,BSJ-03-124,0.003162,$k_{\phi}$,0.37056802070654243,2836.138006633455
T47D,BSJ-03-124,0.003162,$k_{S}$,0.01850446094576403,1314.4738141822813
T47D,BSJ-03-124,0.003162,$k_{G2}$,0.04765562208989511,1314.4738141822813
T47D,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.04462075838112691,1314.4738141822813
T47D,BSJ-03-124,0.003162,$k_{\phi}$,0.40400668085938773,1314.4738141822813
T47D,BSJ-03-124,0.003162,$k_{S}$,0.01156005506290076,1105.86426038084
T47D,BSJ-03-124,0.003162,$k_{G2}$,0.03941833544391044,1105.86426038084
T47D,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.048830914856410425,1105.86426038084
T47D,BSJ-03-124,0.003162,$k_{\phi}$,0.059528231254978387,1105.86426038084
T47D,BSJ-03-124,1.0,$k_{S}$,0.0023942681080395193,9.361536137635063e-11
T47D,BSJ-03-124,1.0,$k_{G2}$,0.04516887435652955,9.361536137635063e-11
T47D,BSJ-03-124,1.0,$k_{M}$$k_{G1}$,0.0044092824061903665,9.361536137635063e-11
T47D,BSJ-03-124,1.0,$k_{\phi}$,0.03216540224151844,9.361536137635063e-11
T47D,BSJ-03-124,1.0,$k_{S}$,0.0019220744077777022,2328.4816318679923
T47D,BSJ-03-124,1.0,$k_{G2}$,0.03525436090423014,2328.4816318679923
T47D,BSJ-03-124,1.0,$k_{M}$$k_{G1}$,0.02993638686593907,2328.4816318679923
T47D,BSJ-03-124,1.0,$k_{\phi}$,0.19390033092640035,2328.4816318679923
T47D,BSJ-03-124,1.0,$k_{S}$,0.001611597040790345,3164.544307214914
T47D,BSJ-03-124,1.0,$k_{G2}$,0.03433721723664582,3164.544307214914
T47D,BSJ-03-124,1.0,$k_{M}$$k_{G1}$,0.02649915904244251,3164.544307214914
T47D,BSJ-03-124,1.0,$k_{\phi}$,0.2047517005922024,3164.544307214914
T47D,BSJ-03-124,0.031623,$k_{S}$,0.006895185021669115,4.1953161701136866e-10
T47D,BSJ-03-124,0.031623,$k_{G2}$,0.027361336275837173,4.1953161701136866e-10
T47D,BSJ-03-124,0.031623,$k_{M}$$k_{G1}$,0.00676128534059,4.1953161701136866e-10
T47D,BSJ-03-124,0.031623,$k_{\phi}$,0.17126255134515503,4.1953161701136866e-10
T47D,BSJ-03-124,0.031623,$k_{S}$,0.0068691145276478455,2525.505217929159
T47D,BSJ-03-124,0.031623,$k_{G2}$,0.024858028032657915,2525.505217929159
T47D,BSJ-03-124,0.031623,$k_{M}$$k_{G1}$,0.02902855568532414,2525.505217929159
T47D,BSJ-03-124,0.031623,$k_{\phi}$,0.20209174709816025,2525.505217929159
T47D,BSJ-03-124,0.031623,$k_{S}$,0.0013091619801399949,471.52677074895684
T47D,BSJ-03-124,0.031623,$k_{G2}$,1e-07,471.52677074895684
T47D,BSJ-03-124,0.031623,$k_{M}$$k_{G1}$,0.002163468553558143,471.52677074895684
T47D,BSJ-03-124,0.031623,$k_{\phi}$,0.02136476277498252,471.52677074895684
T47D,BSJ-03-124,10.0,$k_{S}$,1e-07,440.0434183339428
T47D,BSJ-03-124,10.0,$k_{G2}$,0.035574571866202144,440.0434183339428
T47D,BSJ-03-124,10.0,$k_{M}$$k_{G1}$,0.015558452831091458,440.0434183339428
T47D,BSJ-03-124,10.0,$k_{\phi}$,0.011405393857007763,440.0434183339428
T47D,BSJ-03-124,10.0,$k_{S}$,0.011957119677945228,131948.6971976566
T47D,BSJ-03-124,10.0,$k_{G2}$,0.030028925225203958,131948.6971976566
T47D,BSJ-03-124,10.0,$k_{M}$$k_{G1}$,0.010857205608675266,131948.6971976566
T47D,BSJ-03-124,10.0,$k_{\phi}$,1e-07,131948.6971976566
T47D,BSJ-03-124,10.0,$k_{S}$,0.0022382305142049134,2943.5276766332827
T47D,BSJ-03-124,10.0,$k_{G2}$,1.4259400567890528,2943.5276766332827
T47D,BSJ-03-124,10.0,$k_{M}$$k_{G1}$,0.028008185623204652,2943.5276766332827
T47D,BSJ-03-124,10.0,$k_{\phi}$,0.054694901560513334,2943.5276766332827
T47D,BSJ-03-124,3.162278,$k_{S}$,1e-07,1205.2691211689976
T47D,BSJ-03-124,3.162278,$k_{G2}$,0.028929273748496444,1205.2691211689976
T47D,BSJ-03-124,3.162278,$k_{M}$$k_{G1}$,0.016084976144084297,1205.2691211689976
T47D,BSJ-03-124,3.162278,$k_{\phi}$,0.07345301317427204,1205.2691211689976
T47D,BSJ-03-124,3.162278,$k_{S}$,0.0005915057750806677,1620.394810344704
T47D,BSJ-03-124,3.162278,$k_{G2}$,0.05852069842238884,1620.394810344704
T47D,BSJ-03-124,3.162278,$k_{M}$$k_{G1}$,0.01923144443019931,1620.394810344704
T47D,BSJ-03-124,3.162278,$k_{\phi}$,0.12867197045923393,1620.394810344704
T47D,BSJ-03-124,3.162278,$k_{S}$,0.0021885560351812532,2525.3882324977235
T47D,BSJ-03-124,3.162278,$k_{G2}$,0.16996198760907952,2525.3882324977235
T47D,BSJ-03-124,3.162278,$k_{M}$$k_{G1}$,0.00022388911793212526,2525.3882324977235
T47D,BSJ-03-124,3.162278,$k_{\phi}$,0.011270761474791396,2525.3882324977235
T47D,BSJ-03-124,0.316228,$k_{S}$,0.002279901811186208,2139.462404694664
T47D,BSJ-03-124,0.316228,$k_{G2}$,0.025759051384544356,2139.462404694664
T47D,BSJ-03-124,0.316228,$k_{M}$$k_{G1}$,0.024585030553946743,2139.462404694664
T47D,BSJ-03-124,0.316228,$k_{\phi}$,0.9432943733099256,2139.462404694664
T47D,BSJ-03-124,0.316228,$k_{S}$,0.0037794615700337767,2525.5016978931376
T47D,BSJ-03-124,0.316228,$k_{G2}$,0.03401255048073864,2525.5016978931376
T47D,BSJ-03-124,0.316228,$k_{M}$$k_{G1}$,0.032396662105586484,2525.5016978931376
T47D,BSJ-03-124,0.316228,$k_{\phi}$,0.13518798070647636,2525.5016978931376
T47D,BSJ-03-124,0.316228,$k_{S}$,0.0018783582880655912,3432.5700615069263
T47D,BSJ-03-124,0.316228,$k_{G2}$,0.017307640055409405,3432.5700615069263
T47D,BSJ-03-124,0.316228,$k_{M}$$k_{G1}$,1e-07,3432.5700615069263
T47D,BSJ-03-124,0.316228,$k_{\phi}$,1e-07,3432.5700615069263
