cell_line,agent,concentration,parameter,rate,obj_func
T47D,CDK1_2iIII,0.1,$k_{S}$,0.0024256885293231518,11543.59364727187
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.0186348340012685,11543.59364727187
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.005353531880974689,11543.59364727187
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,11543.59364727187
T47D,CDK1_2iIII,0.1,$k_{S}$,0.005078822685711507,43477.043382206066
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.01997549044867909,43477.043382206066
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.013028603235189586,43477.043382206066
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,43477.043382206066
T47D,CDK1_2iIII,0.1,$k_{S}$,0.020824218170139026,3009.3753096802866
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.04574549407540029,3009.3753096802866
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.00152307335647841,3009.3753096802866
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,3009.3753096802866
T47D,CDK1_2iIII,0.1,$k_{S}$,0.013408930437016771,54548.13814758361
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.02492975220719943,54548.13814758361
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.006997376210673412,54548.13814758361
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,54548.13814758361
T47D,CDK1_2iIII,0.1,$k_{S}$,0.0098789262354158,23426.460273271437
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.028420187915891862,23426.460273271437
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.011452520548445496,23426.460273271437
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,23426.460273271437
T47D,CDK1_2iIII,0.1,$k_{S}$,0.017589656283189932,182881.2736379598
T47D,CDK1_2iIII,0.1,$k_{G2}$,0.020871821053224375,182881.2736379598
T47D,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.012758849286276103,182881.2736379598
T47D,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,182881.2736379598
