cell_line,agent,concentration,parameter,rate,obj_func
T47D,Flavopiridol,0.003162,$k_{S}$,0.0229171390594219,798.4601433945041
T47D,Flavopiridol,0.003162,$k_{G2}$,0.06672816740700237,798.4601433945041
T47D,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.08973772223784318,798.4601433945041
T47D,Flavopiridol,0.003162,$k_{\phi}$,0.2566717167918937,798.4601433945041
T47D,Flavopiridol,0.003162,$k_{S}$,0.027590429963586606,2328.83524391752
T47D,Flavopiridol,0.003162,$k_{G2}$,0.07540722779958761,2328.83524391752
T47D,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.1031901303804679,2328.83524391752
T47D,Flavopiridol,0.003162,$k_{\phi}$,0.3221389205794357,2328.83524391752
T47D,Flavopiridol,0.003162,$k_{S}$,0.02987929755407887,2525.910654040242
T47D,Flavopiridol,0.003162,$k_{G2}$,0.08386003961844385,2525.910654040242
T47D,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.08866151968113221,2525.910654040242
T47D,Flavopiridol,0.003162,$k_{\phi}$,0.5242334871795825,2525.910654040242
T47D,Flavopiridol,1.0,$k_{S}$,0.0003052142712793367,14714.842264099745
T47D,Flavopiridol,1.0,$k_{G2}$,0.016566290176604655,14714.842264099745
T47D,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.005987383985214784,14714.842264099745
T47D,Flavopiridol,1.0,$k_{\phi}$,1e-07,14714.842264099745
T47D,Flavopiridol,1.0,$k_{S}$,0.0022021664786202643,17791.12545431439
T47D,Flavopiridol,1.0,$k_{G2}$,0.0332964317822565,17791.12545431439
T47D,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.0006822472229794733,17791.12545431439
T47D,Flavopiridol,1.0,$k_{\phi}$,1e-07,17791.12545431439
T47D,Flavopiridol,1.0,$k_{S}$,0.002093798019467595,28765.468052729368
T47D,Flavopiridol,1.0,$k_{G2}$,0.024621615609789392,28765.468052729368
T47D,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.007437928202446715,28765.468052729368
T47D,Flavopiridol,1.0,$k_{\phi}$,1e-07,28765.468052729368
T47D,Flavopiridol,0.001,$k_{S}$,0.027963779135668276,2943.911656253646
T47D,Flavopiridol,0.001,$k_{G2}$,0.07144507791938162,2943.911656253646
T47D,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.07489709435086547,2943.911656253646
T47D,Flavopiridol,0.001,$k_{\phi}$,0.9548966819239726,2943.911656253646
T47D,Flavopiridol,0.001,$k_{S}$,0.024324894499259366,2139.7536769787494
T47D,Flavopiridol,0.001,$k_{G2}$,0.06937400284892219,2139.7536769787494
T47D,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.0834369659988805,2139.7536769787494
T47D,Flavopiridol,0.001,$k_{\phi}$,0.52640022539409,2139.7536769787494
T47D,Flavopiridol,0.001,$k_{S}$,0.023336893963254904,85.68631193300556
T47D,Flavopiridol,0.001,$k_{G2}$,0.05912711275675701,85.68631193300556
T47D,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.05696310816882033,85.68631193300556
T47D,Flavopiridol,0.001,$k_{\phi}$,0.9654138616172822,85.68631193300556
T47D,Flavopiridol,0.0001,$k_{S}$,0.02685481063008574,540.8789681938389
T47D,Flavopiridol,0.0001,$k_{G2}$,0.06886962430566021,540.8789681938389
T47D,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.058233094210966035,540.8789681938389
T47D,Flavopiridol,0.0001,$k_{\phi}$,0.3105797603275352,540.8789681938389
T47D,Flavopiridol,0.0001,$k_{S}$,0.017337767946840492,1620.501666820572
T47D,Flavopiridol,0.0001,$k_{G2}$,0.04888127575205146,1620.501666820572
T47D,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.046726421677961476,1620.501666820572
T47D,Flavopiridol,0.0001,$k_{\phi}$,0.1944909631092365,1620.501666820572
T47D,Flavopiridol,0.0001,$k_{S}$,0.027475135858640184,3876.051538753577
T47D,Flavopiridol,0.0001,$k_{G2}$,0.07690800807124577,3876.051538753577
T47D,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.08972333574462348,3876.051538753577
T47D,Flavopiridol,0.0001,$k_{\phi}$,0.4135667630771504,3876.051538753577
T47D,Flavopiridol,0.01,$k_{S}$,0.02199419043116073,105.1968800656975
T47D,Flavopiridol,0.01,$k_{G2}$,0.05763780506671274,105.1968800656975
T47D,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.07093294591403482,105.1968800656975
T47D,Flavopiridol,0.01,$k_{\phi}$,0.3049868025028005,105.1968800656975
T47D,Flavopiridol,0.01,$k_{S}$,0.02470992661419726,3164.8934302719995
T47D,Flavopiridol,0.01,$k_{G2}$,0.0664526273074967,3164.8934302719995
T47D,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.08548563598551799,3164.8934302719995
T47D,Flavopiridol,0.01,$k_{\phi}$,0.4273169331822401,3164.8934302719995
T47D,Flavopiridol,0.01,$k_{S}$,0.021219829665819943,1620.5582081443856
T47D,Flavopiridol,0.01,$k_{G2}$,0.04868320654381104,1620.5582081443856
T47D,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.07721974430908662,1620.5582081443856
T47D,Flavopiridol,0.01,$k_{\phi}$,0.19143064743902943,1620.5582081443856
T47D,Flavopiridol,0.1,$k_{S}$,0.01849694797603656,4389.84539562112
T47D,Flavopiridol,0.1,$k_{G2}$,0.06452771314729416,4389.84539562112
T47D,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.05667476113627047,4389.84539562112
T47D,Flavopiridol,0.1,$k_{\phi}$,0.1802297435482299,4389.84539562112
T47D,Flavopiridol,0.1,$k_{S}$,0.011939168056845206,2139.4962847257016
T47D,Flavopiridol,0.1,$k_{G2}$,0.030653379464306612,2139.4962847257016
T47D,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.04811674797377914,2139.4962847257016
T47D,Flavopiridol,0.1,$k_{\phi}$,0.09747433441737535,2139.4962847257016
T47D,Flavopiridol,0.1,$k_{S}$,0.013675747833914923,2943.6267094407813
T47D,Flavopiridol,0.1,$k_{G2}$,0.04094589387750379,2943.6267094407813
T47D,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.08203312138284796,2943.6267094407813
T47D,Flavopiridol,0.1,$k_{\phi}$,0.09217278040321289,2943.6267094407813
T47D,Flavopiridol,0.000316,$k_{S}$,0.020370058782914927,1243.046738988119
T47D,Flavopiridol,0.000316,$k_{G2}$,0.053513828015712354,1243.046738988119
T47D,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.1101658809420027,1243.046738988119
T47D,Flavopiridol,0.000316,$k_{\phi}$,0.31161029037615523,1243.046738988119
T47D,Flavopiridol,0.000316,$k_{S}$,0.028993910211757384,3394.010432332882
T47D,Flavopiridol,0.000316,$k_{G2}$,0.07799145799428732,3394.010432332882
T47D,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.08482064505760503,3394.010432332882
T47D,Flavopiridol,0.000316,$k_{\phi}$,0.5407716612157545,3394.010432332882
T47D,Flavopiridol,0.000316,$k_{S}$,0.02762030389008922,2943.961197163232
T47D,Flavopiridol,0.000316,$k_{G2}$,0.07465229741513428,2943.961197163232
T47D,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.08745811382550635,2943.961197163232
T47D,Flavopiridol,0.000316,$k_{\phi}$,1.420019110568713,2943.961197163232
T47D,Flavopiridol,0.316228,$k_{S}$,0.0016755686625551899,446.4320896859878
T47D,Flavopiridol,0.316228,$k_{G2}$,0.015735805943676885,446.4320896859878
T47D,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.009476067792364911,446.4320896859878
T47D,Flavopiridol,0.316228,$k_{\phi}$,1e-07,446.4320896859878
T47D,Flavopiridol,0.316228,$k_{S}$,0.007996098394583076,3278.0115401218072
T47D,Flavopiridol,0.316228,$k_{G2}$,0.035149073146250764,3278.0115401218072
T47D,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.031804445951967866,3278.0115401218072
