cell_line,agent,concentration,parameter,rate,obj_func
T47D,LY2606368,0.01,$k_{S}$,0.010062537790591254,742.8040643471753
T47D,LY2606368,0.01,$k_{G2}$,0.02203365924963465,742.8040643471753
T47D,LY2606368,0.01,$k_{M}$$k_{G1}$,0.047489650036554955,742.8040643471753
T47D,LY2606368,0.01,$k_{\phi}$,0.08352052356416306,742.8040643471753
T47D,LY2606368,0.01,$k_{S}$,0.012708630347458488,1541.011529424057
T47D,LY2606368,0.01,$k_{G2}$,0.04649728123881999,1541.011529424057
T47D,LY2606368,0.01,$k_{M}$$k_{G1}$,0.09818088217968755,1541.011529424057
T47D,LY2606368,0.01,$k_{\phi}$,0.17269387803045946,1541.011529424057
T47D,LY2606368,0.01,$k_{S}$,0.01796825580652906,855.9332570323271
T47D,LY2606368,0.01,$k_{G2}$,0.06027804591718544,855.9332570323271
T47D,LY2606368,0.01,$k_{M}$$k_{G1}$,0.08922726444726303,855.9332570323271
T47D,LY2606368,0.01,$k_{\phi}$,0.192119341065511,855.9332570323271
T47D,LY2606368,3.162278,$k_{S}$,0.0035525146618786718,3933.767138039012
T47D,LY2606368,3.162278,$k_{G2}$,0.009480873798786354,3933.767138039012
T47D,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.00574743155214329,3933.767138039012
T47D,LY2606368,3.162278,$k_{\phi}$,1e-07,3933.767138039012
T47D,LY2606368,3.162278,$k_{S}$,0.01924435927337956,3393.717321118269
T47D,LY2606368,3.162278,$k_{G2}$,0.0765083505469601,3393.717321118269
T47D,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.0286663219159942,3393.717321118269
T47D,LY2606368,3.162278,$k_{\phi}$,0.7167178813393146,3393.717321118269
T47D,LY2606368,3.162278,$k_{S}$,0.018083939474140012,2233.038435877915
T47D,LY2606368,3.162278,$k_{G2}$,0.05574103184743366,2233.038435877915
T47D,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.023599719360516944,2233.038435877915
T47D,LY2606368,3.162278,$k_{\phi}$,0.346394194778184,2233.038435877915
T47D,LY2606368,0.001,$k_{S}$,0.010433221805051969,798.3208747161623
T47D,LY2606368,0.001,$k_{G2}$,0.024628342359144306,798.3208747161623
T47D,LY2606368,0.001,$k_{M}$$k_{G1}$,0.07249920217120297,798.3208747161623
T47D,LY2606368,0.001,$k_{\phi}$,0.06919744975750552,798.3208747161623
T47D,LY2606368,0.001,$k_{S}$,0.0074543584552702975,495.25925246260454
T47D,LY2606368,0.001,$k_{G2}$,0.018760853431097166,495.25925246260454
T47D,LY2606368,0.001,$k_{M}$$k_{G1}$,0.08160085098390976,495.25925246260454
T47D,LY2606368,0.001,$k_{\phi}$,0.0682795748374853,495.25925246260454
T47D,LY2606368,0.001,$k_{S}$,0.001981410723599942,10801.264490167752
T47D,LY2606368,0.001,$k_{G2}$,1e-07,10801.264490167752
T47D,LY2606368,0.001,$k_{M}$$k_{G1}$,0.0014395192593637102,10801.264490167752
T47D,LY2606368,0.001,$k_{\phi}$,1e-07,10801.264490167752
T47D,LY2606368,1.0,$k_{S}$,0.003150709904783329,27120.984982389284
T47D,LY2606368,1.0,$k_{G2}$,0.011317723988209943,27120.984982389284
T47D,LY2606368,1.0,$k_{M}$$k_{G1}$,0.009693812593673709,27120.984982389284
T47D,LY2606368,1.0,$k_{\phi}$,1e-07,27120.984982389284
T47D,LY2606368,1.0,$k_{S}$,0.0016910116588146169,6531.54214695579
T47D,LY2606368,1.0,$k_{G2}$,0.0008222241228067841,6531.54214695579
T47D,LY2606368,1.0,$k_{M}$$k_{G1}$,0.002371750701773695,6531.54214695579
T47D,LY2606368,1.0,$k_{\phi}$,1e-07,6531.54214695579
T47D,LY2606368,1.0,$k_{S}$,0.006646838716369684,71579.63266340911
T47D,LY2606368,1.0,$k_{G2}$,0.016208315128091063,71579.63266340911
T47D,LY2606368,1.0,$k_{M}$$k_{G1}$,0.015166439849178396,71579.63266340911
T47D,LY2606368,1.0,$k_{\phi}$,1e-07,71579.63266340911
T47D,LY2606368,10.0,$k_{S}$,0.007042359729601476,124581.78393035331
T47D,LY2606368,10.0,$k_{G2}$,0.01574282509824678,124581.78393035331
T47D,LY2606368,10.0,$k_{M}$$k_{G1}$,0.011463926976417325,124581.78393035331
T47D,LY2606368,10.0,$k_{\phi}$,1e-07,124581.78393035331
T47D,LY2606368,10.0,$k_{S}$,0.014429122134163624,2836.1182647680525
T47D,LY2606368,10.0,$k_{G2}$,0.08121022427124294,2836.1182647680525
T47D,LY2606368,10.0,$k_{M}$$k_{G1}$,0.025576531364947343,2836.1182647680525
T47D,LY2606368,10.0,$k_{\phi}$,0.4605267512693051,2836.1182647680525
T47D,LY2606368,0.031623,$k_{S}$,0.009765404816736264,495.27005827765663
T47D,LY2606368,0.031623,$k_{G2}$,0.031171305059071897,495.27005827765663
T47D,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.04922233893792692,495.27005827765663
T47D,LY2606368,0.031623,$k_{\phi}$,0.10280313965279217,495.27005827765663
T47D,LY2606368,0.031623,$k_{S}$,0.02417282804347814,3164.842444650817
T47D,LY2606368,0.031623,$k_{G2}$,0.07952227985747527,3164.842444650817
T47D,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.05768859018979863,3164.842444650817
T47D,LY2606368,0.031623,$k_{\phi}$,0.4224223722857125,3164.842444650817
T47D,LY2606368,0.031623,$k_{S}$,0.026619445325596874,21680.523097348138
T47D,LY2606368,0.031623,$k_{G2}$,0.017652897205170884,21680.523097348138
T47D,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.0008389878368086792,21680.523097348138
T47D,LY2606368,0.031623,$k_{\phi}$,1e-07,21680.523097348138
T47D,LY2606368,0.003162,$k_{S}$,0.025871081264435034,2233.45093775857
T47D,LY2606368,0.003162,$k_{G2}$,0.11240045969050823,2233.45093775857
T47D,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.11064700585552907,2233.45093775857
T47D,LY2606368,0.003162,$k_{\phi}$,1.211553082904283,2233.45093775857
T47D,LY2606368,0.003162,$k_{S}$,0.024423302380949037,2730.936472480798
T47D,LY2606368,0.003162,$k_{G2}$,0.09079806787649716,2730.936472480798
T47D,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.10719383947098576,2730.936472480798
T47D,LY2606368,0.003162,$k_{\phi}$,0.5025789708547843,2730.936472480798
T47D,LY2606368,0.003162,$k_{S}$,0.00173843538826589,1637.7937584802708
T47D,LY2606368,0.003162,$k_{G2}$,1e-07,1637.7937584802708
T47D,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.005897466075455907,1637.7937584802708
T47D,LY2606368,0.003162,$k_{\phi}$,0.027825242299126644,1637.7937584802708
T47D,LY2606368,0.316228,$k_{S}$,0.026379060592523935,3164.9084194073416
T47D,LY2606368,0.316228,$k_{G2}$,0.11028840993222745,3164.9084194073416
T47D,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.05258010321088547,3164.9084194073416
T47D,LY2606368,0.316228,$k_{\phi}$,0.7499264122302849,3164.9084194073416
T47D,LY2606368,0.316228,$k_{S}$,0.022823915828511645,1958.6290835176821
T47D,LY2606368,0.316228,$k_{G2}$,0.09610783427935818,1958.6290835176821
T47D,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.04220374435532687,1958.6290835176821
T47D,LY2606368,0.316228,$k_{\phi}$,0.33371380261862565,1958.6290835176821
T47D,LY2606368,0.316228,$k_{S}$,0.018264855560938657,32199.60416821359
T47D,LY2606368,0.316228,$k_{G2}$,0.012813523525885528,32199.60416821359
T47D,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.0026518560424019927,32199.60416821359
T47D,LY2606368,0.316228,$k_{\phi}$,1e-07,32199.60416821359
T47D,LY2606368,0.1,$k_{S}$,0.02321835837793958,2328.7736636497475
T47D,LY2606368,0.1,$k_{G2}$,0.09556594265090447,2328.7736636497475
T47D,LY2606368,0.1,$k_{M}$$k_{G1}$,0.06443451655057612,2328.7736636497475
T47D,LY2606368,0.1,$k_{\phi}$,0.5193989344484878,2328.7736636497475
T47D,LY2606368,0.1,$k_{S}$,0.008200788111876637,1040.3514478468776
T47D,LY2606368,0.1,$k_{G2}$,0.0226770579672875,1040.3514478468776
T47D,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0650539533412303,1040.3514478468776
T47D,LY2606368,0.1,$k_{\phi}$,0.07555851735806403,1040.3514478468776
T47D,LY2606368,0.1,$k_{S}$,0.02714675851472449,28765.434556517423
T47D,LY2606368,0.1,$k_{G2}$,0.017066881090130288,28765.434556517423
T47D,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0010074093384474564,28765.434556517423
T47D,LY2606368,0.1,$k_{\phi}$,1e-07,28765.434556517423
