cell_line,agent,concentration,parameter,rate,obj_func
T47D,MFH-2-90,0.01,$k_{S}$,0.011203689347210473,179834.09693977056
T47D,MFH-2-90,0.01,$k_{G2}$,0.0218078453552644,179834.09693977056
T47D,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.017182971373819373,179834.09693977056
T47D,MFH-2-90,0.01,$k_{\phi}$,1e-07,179834.09693977056
T47D,MFH-2-90,0.01,$k_{S}$,0.0019071241005553933,19645.35644796904
T47D,MFH-2-90,0.01,$k_{G2}$,0.029450240565676977,19645.35644796904
T47D,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.0003593248636045334,19645.35644796904
T47D,MFH-2-90,0.01,$k_{\phi}$,1e-07,19645.35644796904
T47D,MFH-2-90,0.01,$k_{S}$,0.006435019875350103,105777.31670828443
T47D,MFH-2-90,0.01,$k_{G2}$,0.023380517737462823,105777.31670828443
T47D,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.012345434901152056,105777.31670828443
T47D,MFH-2-90,0.01,$k_{\phi}$,1e-07,105777.31670828443
T47D,MFH-2-90,0.001,$k_{S}$,0.004711877737843606,19624.613295110263
T47D,MFH-2-90,0.001,$k_{G2}$,0.04666190071367001,19624.613295110263
T47D,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.011788815739173543,19624.613295110263
T47D,MFH-2-90,0.001,$k_{\phi}$,1e-07,19624.613295110263
T47D,MFH-2-90,0.001,$k_{S}$,0.004420046909006435,62775.106526953015
T47D,MFH-2-90,0.001,$k_{G2}$,0.02556941377579804,62775.106526953015
T47D,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.014195864660718255,62775.106526953015
T47D,MFH-2-90,0.001,$k_{\phi}$,1e-07,62775.106526953015
T47D,MFH-2-90,0.001,$k_{S}$,0.019621867882465033,118347.9855367975
T47D,MFH-2-90,0.001,$k_{G2}$,0.036689242672116665,118347.9855367975
T47D,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.01637490314282105,118347.9855367975
T47D,MFH-2-90,0.001,$k_{\phi}$,1e-07,118347.9855367975
T47D,MFH-2-90,0.1,$k_{S}$,0.012167605802070517,192961.4468158968
T47D,MFH-2-90,0.1,$k_{G2}$,0.02191769193472768,192961.4468158968
T47D,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.017072585630699213,192961.4468158968
T47D,MFH-2-90,0.1,$k_{\phi}$,1e-07,192961.4468158968
T47D,MFH-2-90,0.1,$k_{S}$,0.002131590151288311,18590.151198826614
T47D,MFH-2-90,0.1,$k_{G2}$,0.03242879375349569,18590.151198826614
T47D,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.002402945373848618,18590.151198826614
T47D,MFH-2-90,0.1,$k_{\phi}$,1e-07,18590.151198826614
T47D,MFH-2-90,0.1,$k_{S}$,0.006781689472643153,104327.84808960048
T47D,MFH-2-90,0.1,$k_{G2}$,0.02439299230755393,104327.84808960048
T47D,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.014935079147428296,104327.84808960048
T47D,MFH-2-90,0.1,$k_{\phi}$,1e-07,104327.84808960048
T47D,MFH-2-90,0.316228,$k_{S}$,0.007138120326162389,112874.06575194182
T47D,MFH-2-90,0.316228,$k_{G2}$,0.024195870749707676,112874.06575194182
T47D,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.010592000475484599,112874.06575194182
T47D,MFH-2-90,0.316228,$k_{\phi}$,1e-07,112874.06575194182
T47D,MFH-2-90,0.316228,$k_{S}$,0.002699854120880068,42549.527541979456
T47D,MFH-2-90,0.316228,$k_{G2}$,0.02307872935381834,42549.527541979456
T47D,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.007566377944077521,42549.527541979456
T47D,MFH-2-90,0.316228,$k_{\phi}$,1e-07,42549.527541979456
T47D,MFH-2-90,0.316228,$k_{S}$,0.0061495050868783764,102315.34577733607
T47D,MFH-2-90,0.316228,$k_{G2}$,0.0236884834679488,102315.34577733607
T47D,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.013114351997668252,102315.34577733607
T47D,MFH-2-90,0.316228,$k_{\phi}$,1e-07,102315.34577733607
T47D,MFH-2-90,3.162278,$k_{S}$,0.003704016626496638,31402.130906657167
T47D,MFH-2-90,3.162278,$k_{G2}$,0.03365952451670251,31402.130906657167
T47D,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.004968743667603722,31402.130906657167
T47D,MFH-2-90,3.162278,$k_{\phi}$,1e-07,31402.130906657167
T47D,MFH-2-90,3.162278,$k_{S}$,0.002567716109263252,13649.862794597055
T47D,MFH-2-90,3.162278,$k_{G2}$,0.038999402475645685,13649.862794597055
T47D,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.0048533690661094475,13649.862794597055
T47D,MFH-2-90,3.162278,$k_{\phi}$,1e-07,13649.862794597055
T47D,MFH-2-90,3.162278,$k_{S}$,0.006871554252250657,119272.74570362552
T47D,MFH-2-90,3.162278,$k_{G2}$,0.022610001106556064,119272.74570362552
T47D,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.012844271103389262,119272.74570362552
T47D,MFH-2-90,3.162278,$k_{\phi}$,1e-07,119272.74570362552
