cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,AZD1775,0.1,$k_{S}$,0.019967937992373744,1.40246378464821e-10
T47D_PR,AZD1775,0.1,$k_{G2}$,0.10663800328504373,1.40246378464821e-10
T47D_PR,AZD1775,0.1,$k_{M}$$k_{G1}$,0.09410995457422516,1.40246378464821e-10
T47D_PR,AZD1775,0.1,$k_{\phi}$,0.6030740664912384,1.40246378464821e-10
T47D_PR,AZD1775,0.1,$k_{S}$,0.018881730339245333,7.534363940038546e-11
T47D_PR,AZD1775,0.1,$k_{G2}$,0.08759620885474823,7.534363940038546e-11
T47D_PR,AZD1775,0.1,$k_{M}$$k_{G1}$,0.09654125304400842,7.534363940038546e-11
T47D_PR,AZD1775,0.1,$k_{\phi}$,0.42053288133954675,7.534363940038546e-11
T47D_PR,AZD1775,0.1,$k_{S}$,0.01874084016908636,36.622887630998214
T47D_PR,AZD1775,0.1,$k_{G2}$,0.1178697531434778,36.622887630998214
T47D_PR,AZD1775,0.1,$k_{M}$$k_{G1}$,0.12499472135285335,36.622887630998214
T47D_PR,AZD1775,0.1,$k_{\phi}$,0.32778344291166644,36.622887630998214
T47D_PR,AZD1775,0.001,$k_{S}$,0.020547101670515457,1.9836405768263143e-10
T47D_PR,AZD1775,0.001,$k_{G2}$,0.11123052574513871,1.9836405768263143e-10
T47D_PR,AZD1775,0.001,$k_{M}$$k_{G1}$,0.0864784467851947,1.9836405768263143e-10
T47D_PR,AZD1775,0.001,$k_{\phi}$,0.5324584666286333,1.9836405768263143e-10
T47D_PR,AZD1775,0.001,$k_{S}$,0.017320359117955944,2.1431149258460415e-10
T47D_PR,AZD1775,0.001,$k_{G2}$,0.07434629833008458,2.1431149258460415e-10
T47D_PR,AZD1775,0.001,$k_{M}$$k_{G1}$,0.0663804887066222,2.1431149258460415e-10
T47D_PR,AZD1775,0.001,$k_{\phi}$,0.8053202997053107,2.1431149258460415e-10
T47D_PR,AZD1775,0.001,$k_{S}$,0.021247699764059026,0.0026221176319563685
T47D_PR,AZD1775,0.001,$k_{G2}$,0.09633328393776798,0.0026221176319563685
T47D_PR,AZD1775,0.001,$k_{M}$$k_{G1}$,0.08284383566963228,0.0026221176319563685
T47D_PR,AZD1775,0.001,$k_{\phi}$,0.38798996582352757,0.0026221176319563685
T47D_PR,AZD1775,0.003162,$k_{S}$,0.021099453311657926,2.521649323321417e-10
T47D_PR,AZD1775,0.003162,$k_{G2}$,0.10744198981407053,2.521649323321417e-10
T47D_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.09822002097167894,2.521649323321417e-10
T47D_PR,AZD1775,0.003162,$k_{\phi}$,0.4349571665964181,2.521649323321417e-10
T47D_PR,AZD1775,0.003162,$k_{S}$,0.014579641829871778,1.2015935100209956e-10
T47D_PR,AZD1775,0.003162,$k_{G2}$,0.0738022128290365,1.2015935100209956e-10
T47D_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.1061967960648584,1.2015935100209956e-10
T47D_PR,AZD1775,0.003162,$k_{\phi}$,0.2670266756620507,1.2015935100209956e-10
T47D_PR,AZD1775,0.003162,$k_{S}$,0.021613406201756287,4.5968284520892604e-10
T47D_PR,AZD1775,0.003162,$k_{G2}$,0.1163383736374016,4.5968284520892604e-10
T47D_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.10478735899178575,4.5968284520892604e-10
T47D_PR,AZD1775,0.003162,$k_{\phi}$,0.68394762366811,4.5968284520892604e-10
T47D_PR,AZD1775,3.162278,$k_{S}$,0.014810023955067309,5.877166050735091e-11
T47D_PR,AZD1775,3.162278,$k_{G2}$,0.0855510493059619,5.877166050735091e-11
T47D_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.09348756564718987,5.877166050735091e-11
T47D_PR,AZD1775,3.162278,$k_{\phi}$,0.5819948887370212,5.877166050735091e-11
T47D_PR,AZD1775,3.162278,$k_{S}$,0.016496675690118975,7.262507058976026e-11
T47D_PR,AZD1775,3.162278,$k_{G2}$,0.08537125424107148,7.262507058976026e-11
T47D_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.06801935916771525,7.262507058976026e-11
T47D_PR,AZD1775,3.162278,$k_{\phi}$,0.3069012312596358,7.262507058976026e-11
T47D_PR,AZD1775,3.162278,$k_{S}$,0.01785576179357721,197.42013406110675
T47D_PR,AZD1775,3.162278,$k_{G2}$,0.09176194899333988,197.42013406110675
T47D_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.07814499920584116,197.42013406110675
T47D_PR,AZD1775,3.162278,$k_{\phi}$,0.3194399612939001,197.42013406110675
T47D_PR,AZD1775,0.031623,$k_{S}$,0.01876963223940092,1.3655665039378746e-10
T47D_PR,AZD1775,0.031623,$k_{G2}$,0.09794810296270778,1.3655665039378746e-10
T47D_PR,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.09223121646861737,1.3655665039378746e-10
T47D_PR,AZD1775,0.031623,$k_{\phi}$,0.3093551080694146,1.3655665039378746e-10
T47D_PR,AZD1775,0.031623,$k_{S}$,0.019600304304987718,8.705125206319e-11
T47D_PR,AZD1775,0.031623,$k_{G2}$,0.10449183553117967,8.705125206319e-11
T47D_PR,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.0936198105666455,8.705125206319e-11
T47D_PR,AZD1775,0.031623,$k_{\phi}$,0.2501844518619232,8.705125206319e-11
T47D_PR,AZD1775,0.031623,$k_{S}$,0.016828316028821854,257.6353750299569
T47D_PR,AZD1775,0.031623,$k_{G2}$,0.0868637958702304,257.6353750299569
T47D_PR,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.0826347645415005,257.6353750299569
T47D_PR,AZD1775,0.031623,$k_{\phi}$,4.700179027497614,257.6353750299569
T47D_PR,AZD1775,0.01,$k_{S}$,0.020116611730119326,64.81924008219976
T47D_PR,AZD1775,0.01,$k_{G2}$,0.08755022936426346,64.81924008219976
T47D_PR,AZD1775,0.01,$k_{M}$$k_{G1}$,0.08331597814510161,64.81924008219976
T47D_PR,AZD1775,0.01,$k_{\phi}$,0.44108200560669236,64.81924008219976
T47D_PR,AZD1775,0.01,$k_{S}$,0.01921220135624507,25.517676408644654
T47D_PR,AZD1775,0.01,$k_{G2}$,0.11667177869375127,25.517676408644654
T47D_PR,AZD1775,0.01,$k_{M}$$k_{G1}$,0.08549537260305158,25.517676408644654
T47D_PR,AZD1775,0.01,$k_{\phi}$,0.7340703580715067,25.517676408644654
T47D_PR,AZD1775,0.01,$k_{S}$,0.0168019750523673,6.683463404194438e-11
T47D_PR,AZD1775,0.01,$k_{G2}$,0.07729696115882008,6.683463404194438e-11
T47D_PR,AZD1775,0.01,$k_{M}$$k_{G1}$,0.0836973405249405,6.683463404194438e-11
T47D_PR,AZD1775,0.01,$k_{\phi}$,0.2059457633301493,6.683463404194438e-11
