cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,THZ531,0.316228,$k_{S}$,0.013231698817962715,2.13423803710951e-10
T47D_PR,THZ531,0.316228,$k_{G2}$,0.08523889894085344,2.13423803710951e-10
T47D_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.015609935622013276,2.13423803710951e-10
T47D_PR,THZ531,0.316228,$k_{\phi}$,0.025687839596725,2.13423803710951e-10
T47D_PR,THZ531,0.316228,$k_{S}$,0.00901685581365104,2502.301290475688
T47D_PR,THZ531,0.316228,$k_{G2}$,0.03297263802668012,2502.301290475688
T47D_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.011129810596674205,2502.301290475688
T47D_PR,THZ531,0.316228,$k_{\phi}$,1e-07,2502.301290475688
T47D_PR,THZ531,0.316228,$k_{S}$,0.012696965206834339,2.6545215285322305e-10
T47D_PR,THZ531,0.316228,$k_{G2}$,0.031202845248337586,2.6545215285322305e-10
T47D_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.011426004879003233,2.6545215285322305e-10
T47D_PR,THZ531,0.316228,$k_{\phi}$,0.046710774856907375,2.6545215285322305e-10
T47D_PR,THZ531,0.001,$k_{S}$,0.016509788425832984,1.610749367759922e-10
T47D_PR,THZ531,0.001,$k_{G2}$,0.08058272382409302,1.610749367759922e-10
T47D_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.059454641215441716,1.610749367759922e-10
T47D_PR,THZ531,0.001,$k_{\phi}$,0.23402978307316397,1.610749367759922e-10
T47D_PR,THZ531,0.001,$k_{S}$,0.018300184549341705,145.22636474602888
T47D_PR,THZ531,0.001,$k_{G2}$,0.10076329915120173,145.22636474602888
T47D_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.08430642139704517,145.22636474602888
T47D_PR,THZ531,0.001,$k_{\phi}$,0.4069359927926045,145.22636474602888
T47D_PR,THZ531,0.001,$k_{S}$,0.015882723787638126,443.1173766597859
T47D_PR,THZ531,0.001,$k_{G2}$,0.0866799355914153,443.1173766597859
T47D_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.07083543003575092,443.1173766597859
