cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,YKL-5-124,0.01,$k_{S}$,0.007011363700215512,1.2335790606750527e-10
T47D_PR,YKL-5-124,0.01,$k_{G2}$,0.0502355411574139,1.2335790606750527e-10
T47D_PR,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.023350562165735698,1.2335790606750527e-10
T47D_PR,YKL-5-124,0.01,$k_{\phi}$,0.09101496470828097,1.2335790606750527e-10
T47D_PR,YKL-5-124,0.01,$k_{S}$,0.0042999180533414404,1.0378180229995704e-10
T47D_PR,YKL-5-124,0.01,$k_{G2}$,0.0352868106959126,1.0378180229995704e-10
T47D_PR,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.01771888331170781,1.0378180229995704e-10
T47D_PR,YKL-5-124,0.01,$k_{\phi}$,0.2168451509408768,1.0378180229995704e-10
T47D_PR,YKL-5-124,0.01,$k_{S}$,0.005265450493301437,443.02106538373425
T47D_PR,YKL-5-124,0.01,$k_{G2}$,0.041272210797317785,443.02106538373425
T47D_PR,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.02067280266924862,443.02106538373425
T47D_PR,YKL-5-124,0.01,$k_{\phi}$,0.15176827972733467,443.02106538373425
T47D_PR,YKL-5-124,3.162278,$k_{S}$,0.0013465217326906153,2.005014388720305e-11
T47D_PR,YKL-5-124,3.162278,$k_{G2}$,0.23705607010870824,2.005014388720305e-11
T47D_PR,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.0008380353421797247,2.005014388720305e-11
T47D_PR,YKL-5-124,3.162278,$k_{\phi}$,0.01663960771379867,2.005014388720305e-11
T47D_PR,YKL-5-124,3.162278,$k_{S}$,0.0010264145815656709,401.89379908547716
T47D_PR,YKL-5-124,3.162278,$k_{G2}$,0.03027008917422541,401.89379908547716
T47D_PR,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.0015980146846890737,401.89379908547716
T47D_PR,YKL-5-124,3.162278,$k_{\phi}$,0.045884943934815944,401.89379908547716
T47D_PR,YKL-5-124,3.162278,$k_{S}$,0.001081871016313038,257.3454818392979
T47D_PR,YKL-5-124,3.162278,$k_{G2}$,0.0354587378821401,257.3454818392979
T47D_PR,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,1e-07,257.3454818392979
T47D_PR,YKL-5-124,3.162278,$k_{\phi}$,0.0004427980744607963,257.3454818392979
T47D_PR,YKL-5-124,0.316228,$k_{S}$,0.004852824512419891,1.420569882739564e-10
T47D_PR,YKL-5-124,0.316228,$k_{G2}$,0.08353346526431572,1.420569882739564e-10
T47D_PR,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.017738406858088918,1.420569882739564e-10
T47D_PR,YKL-5-124,0.316228,$k_{\phi}$,0.1519661588737606,1.420569882739564e-10
T47D_PR,YKL-5-124,0.316228,$k_{S}$,0.0009557340069256916,3.616509780567112e-11
T47D_PR,YKL-5-124,0.316228,$k_{G2}$,0.02764105802089414,3.616509780567112e-11
T47D_PR,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.0019769903525238613,3.616509780567112e-11
T47D_PR,YKL-5-124,0.316228,$k_{\phi}$,0.04377955968323076,3.616509780567112e-11
T47D_PR,YKL-5-124,0.316228,$k_{S}$,0.003187800023039871,1.2390135186062584e-10
T47D_PR,YKL-5-124,0.316228,$k_{G2}$,0.04224806918995321,1.2390135186062584e-10
T47D_PR,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.008756075365356737,1.2390135186062584e-10
T47D_PR,YKL-5-124,0.316228,$k_{\phi}$,0.08386250950924552,1.2390135186062584e-10
T47D_PR,YKL-5-124,0.031623,$k_{S}$,0.0048184038106786654,1.1622200878330621e-10
T47D_PR,YKL-5-124,0.031623,$k_{G2}$,0.052249277726459736,1.1622200878330621e-10
T47D_PR,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.017902801746588207,1.1622200878330621e-10
T47D_PR,YKL-5-124,0.031623,$k_{\phi}$,0.1110643809319763,1.1622200878330621e-10
T47D_PR,YKL-5-124,0.031623,$k_{S}$,1e-07,1288.844224968948
T47D_PR,YKL-5-124,0.031623,$k_{G2}$,0.006242634388423999,1288.844224968948
T47D_PR,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.0055975095460217205,1288.844224968948
T47D_PR,YKL-5-124,0.031623,$k_{\phi}$,0.029476609990077,1288.844224968948
T47D_PR,YKL-5-124,0.031623,$k_{S}$,0.003106030528230376,25.47984554593393
T47D_PR,YKL-5-124,0.031623,$k_{G2}$,0.04118415787103319,25.47984554593393
T47D_PR,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.013453884629583872,25.47984554593393
T47D_PR,YKL-5-124,0.031623,$k_{\phi}$,0.09803498025879423,25.47984554593393
T47D_PR,YKL-5-124,10.0,$k_{S}$,0.0003781803268551471,3968.003981866424
