cell_line,agent,concentration,parameter,rate,obj_func
T47D,SY-1365,1.0,$k_{S}$,0.005991521654356108,25239.906422639673
T47D,SY-1365,1.0,$k_{G2}$,0.047646122797193116,25239.906422639673
T47D,SY-1365,1.0,$k_{M}$$k_{G1}$,0.005276991548900462,25239.906422639673
T47D,SY-1365,1.0,$k_{\phi}$,1e-07,25239.906422639673
T47D,SY-1365,1.0,$k_{S}$,0.0037023346539403084,36678.87003936791
T47D,SY-1365,1.0,$k_{G2}$,0.03128048350369743,36678.87003936791
T47D,SY-1365,1.0,$k_{M}$$k_{G1}$,0.004251855393038613,36678.87003936791
T47D,SY-1365,1.0,$k_{\phi}$,1e-07,36678.87003936791
T47D,SY-1365,1.0,$k_{S}$,0.002582618159417102,36337.08137997619
T47D,SY-1365,1.0,$k_{G2}$,0.02437177486812932,36337.08137997619
T47D,SY-1365,1.0,$k_{M}$$k_{G1}$,0.006390089192602322,36337.08137997619
T47D,SY-1365,1.0,$k_{\phi}$,1e-07,36337.08137997619
T47D,SY-1365,0.031623,$k_{S}$,0.004050609937153447,44981.81820712801
T47D,SY-1365,0.031623,$k_{G2}$,0.027223233173887345,44981.81820712801
T47D,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.009954148901612959,44981.81820712801
T47D,SY-1365,0.031623,$k_{\phi}$,1e-07,44981.81820712801
T47D,SY-1365,0.031623,$k_{S}$,0.0013684811493203993,13286.33909451566
T47D,SY-1365,0.031623,$k_{G2}$,0.031636509014468614,13286.33909451566
T47D,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.0008340054915523142,13286.33909451566
T47D,SY-1365,0.031623,$k_{\phi}$,1e-07,13286.33909451566
T47D,SY-1365,0.031623,$k_{S}$,0.005075576248776604,16045.634725176646
T47D,SY-1365,0.031623,$k_{G2}$,0.05470424035515428,16045.634725176646
T47D,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.005875347503656369,16045.634725176646
T47D,SY-1365,0.031623,$k_{\phi}$,1e-07,16045.634725176646
T47D,SY-1365,3.162278,$k_{S}$,0.0023813948154976306,22612.219529916543
T47D,SY-1365,3.162278,$k_{G2}$,0.02918023385629934,22612.219529916543
T47D,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.00290146948297191,22612.219529916543
T47D,SY-1365,3.162278,$k_{\phi}$,1e-07,22612.219529916543
T47D,SY-1365,3.162278,$k_{S}$,0.002717169931839035,28462.84018159034
T47D,SY-1365,3.162278,$k_{G2}$,0.028414188288694825,28462.84018159034
T47D,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.001547545144253833,28462.84018159034
T47D,SY-1365,3.162278,$k_{\phi}$,1e-07,28462.84018159034
T47D,SY-1365,3.162278,$k_{S}$,0.014906306461325585,141875.63390956077
T47D,SY-1365,3.162278,$k_{G2}$,0.028501760165030934,141875.63390956077
T47D,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.010782389575745547,141875.63390956077
T47D,SY-1365,3.162278,$k_{\phi}$,1e-07,141875.63390956077
T47D,SY-1365,0.001,$k_{S}$,0.006721528443346017,4128.637417864565
T47D,SY-1365,0.001,$k_{G2}$,0.027150891906431503,4128.637417864565
T47D,SY-1365,0.001,$k_{M}$$k_{G1}$,0.025786766559735847,4128.637417864565
