cell_line,agent,concentration,parameter,rate,obj_func
HCC70,Torin2,0.1,$k_{S}$,0.0019330172837944935,4.89870418053892e-10
HCC70,Torin2,0.1,$k_{G2}$,0.0017017478051302873,4.89870418053892e-10
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.013228081950387887,4.89870418053892e-10
HCC70,Torin2,0.1,$k_{\phi}$,0.034427468084036426,4.89870418053892e-10
HCC70,Torin2,0.1,$k_{S}$,0.0028625365353442287,2.588954830069106e-10
HCC70,Torin2,0.1,$k_{G2}$,0.001999444142243776,2.588954830069106e-10
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.016460102957376776,2.588954830069106e-10
HCC70,Torin2,0.1,$k_{\phi}$,0.06927567853203473,2.588954830069106e-10
HCC70,Torin2,0.1,$k_{S}$,0.0033349988484153038,7.428962576886014e-10
HCC70,Torin2,0.1,$k_{G2}$,0.002416672817948372,7.428962576886014e-10
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.017249634676974664,7.428962576886014e-10
HCC70,Torin2,0.1,$k_{\phi}$,0.13729921082580362,7.428962576886014e-10
HCC70,Torin2,0.1,$k_{S}$,0.006627226668916606,1.227668289519756e-09
HCC70,Torin2,0.1,$k_{G2}$,0.004679299256944678,1.227668289519756e-09
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.02871842769036564,1.227668289519756e-09
HCC70,Torin2,0.1,$k_{\phi}$,5.57146709251851,1.227668289519756e-09
HCC70,Torin2,0.1,$k_{S}$,0.005800610108215874,3.3703460670449774e-10
HCC70,Torin2,0.1,$k_{G2}$,0.004655114353629244,3.3703460670449774e-10
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.03187155660072776,3.3703460670449774e-10
HCC70,Torin2,0.1,$k_{\phi}$,0.0752745837129892,3.3703460670449774e-10
HCC70,Torin2,0.1,$k_{S}$,0.007122167608022969,7.441206373090928e-10
HCC70,Torin2,0.1,$k_{G2}$,0.006213565494027976,7.441206373090928e-10
HCC70,Torin2,0.1,$k_{M}$$k_{G1}$,0.04608304776933748,7.441206373090928e-10
HCC70,Torin2,0.1,$k_{\phi}$,0.1111359670248373,7.441206373090928e-10
HCC1806,Torin2,0.1,$k_{S}$,0.07451503730522506,1.0100927176657425e-09
HCC1806,Torin2,0.1,$k_{G2}$,0.03018014677720975,1.0100927176657425e-09
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.15142994690049447,1.0100927176657425e-09
HCC1806,Torin2,0.1,$k_{\phi}$,0.39400426324324533,1.0100927176657425e-09
HCC1806,Torin2,0.1,$k_{S}$,0.07479732849866101,1.0923975245952912e-09
HCC1806,Torin2,0.1,$k_{G2}$,0.0340068300734843,1.0923975245952912e-09
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.1640559088581963,1.0923975245952912e-09
HCC1806,Torin2,0.1,$k_{\phi}$,0.4704257131219101,1.0923975245952912e-09
HCC1806,Torin2,0.1,$k_{S}$,0.08414098079358763,1.2039662092265557e-09
HCC1806,Torin2,0.1,$k_{G2}$,0.03002997790359617,1.2039662092265557e-09
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.14083540844263537,1.2039662092265557e-09
HCC1806,Torin2,0.1,$k_{\phi}$,0.4570389425278316,1.2039662092265557e-09
HCC1806,Torin2,0.1,$k_{S}$,0.07982713182288047,8.931524957575642e-10
HCC1806,Torin2,0.1,$k_{G2}$,0.02711520329455823,8.931524957575642e-10
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.1253963624200891,8.931524957575642e-10
HCC1806,Torin2,0.1,$k_{\phi}$,0.5057085441674367,8.931524957575642e-10
HCC1806,Torin2,0.1,$k_{S}$,0.08094611566820181,5.650901916417184e-10
HCC1806,Torin2,0.1,$k_{G2}$,0.03189952484825142,5.650901916417184e-10
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.13994088165308152,5.650901916417184e-10
HCC1806,Torin2,0.1,$k_{\phi}$,0.5536864938671048,5.650901916417184e-10
HCC1806,Torin2,0.1,$k_{S}$,0.08657960643364442,3.3143902404145674e-10
HCC1806,Torin2,0.1,$k_{G2}$,0.029941371263941058,3.3143902404145674e-10
HCC1806,Torin2,0.1,$k_{M}$$k_{G1}$,0.14210369813048493,3.3143902404145674e-10
HCC1806,Torin2,0.1,$k_{\phi}$,0.45651364279930134,3.3143902404145674e-10
MDAMB231,Torin2,0.1,$k_{S}$,0.01430776771922677,2.9156247166007427e-10
MDAMB231,Torin2,0.1,$k_{G2}$,0.04568545749310023,2.9156247166007427e-10
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.048901341640658125,2.9156247166007427e-10
MDAMB231,Torin2,0.1,$k_{\phi}$,0.8015174080699704,2.9156247166007427e-10
MDAMB231,Torin2,0.1,$k_{S}$,0.017010381907394387,4.874464828188627e-10
MDAMB231,Torin2,0.1,$k_{G2}$,0.05911446307369994,4.874464828188627e-10
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.06289660519517594,4.874464828188627e-10
MDAMB231,Torin2,0.1,$k_{\phi}$,10.998290358518872,4.874464828188627e-10
MDAMB231,Torin2,0.1,$k_{S}$,0.015995969266550943,5.566131584537934e-10
MDAMB231,Torin2,0.1,$k_{G2}$,0.05410140201630897,5.566131584537934e-10
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.0663138533553332,5.566131584537934e-10
MDAMB231,Torin2,0.1,$k_{\phi}$,1.671712439506485,5.566131584537934e-10
MDAMB231,Torin2,0.1,$k_{S}$,0.016760096957829786,4.797888494321401e-11
MDAMB231,Torin2,0.1,$k_{G2}$,0.06196298677987692,4.797888494321401e-11
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.08321077112862316,4.797888494321401e-11
MDAMB231,Torin2,0.1,$k_{\phi}$,0.06723005271214372,4.797888494321401e-11
MDAMB231,Torin2,0.1,$k_{S}$,0.014601327831425799,4.578635798025115e-10
MDAMB231,Torin2,0.1,$k_{G2}$,0.0544723352363996,4.578635798025115e-10
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.054293034863662215,4.578635798025115e-10
MDAMB231,Torin2,0.1,$k_{\phi}$,3.5325617617181466,4.578635798025115e-10
MDAMB231,Torin2,0.1,$k_{S}$,0.01570533411915548,4.828553473356079e-10
MDAMB231,Torin2,0.1,$k_{G2}$,0.05322778131194383,4.828553473356079e-10
MDAMB231,Torin2,0.1,$k_{M}$$k_{G1}$,0.054543030790824946,4.828553473356079e-10
MDAMB231,Torin2,0.1,$k_{\phi}$,1.406255183103387,4.828553473356079e-10
HCC1954,Torin2,0.1,$k_{S}$,0.011771698795279457,2.2378296052470003e-10
HCC1954,Torin2,0.1,$k_{G2}$,0.06034857528903528,2.2378296052470003e-10
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.035605630638379314,2.2378296052470003e-10
HCC1954,Torin2,0.1,$k_{\phi}$,1.4645657144765816,2.2378296052470003e-10
HCC1954,Torin2,0.1,$k_{S}$,0.011568267369394253,2.2777739590264718e-10
HCC1954,Torin2,0.1,$k_{G2}$,0.07864161886057892,2.2777739590264718e-10
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.02959949063157505,2.2777739590264718e-10
HCC1954,Torin2,0.1,$k_{\phi}$,1.1030946516945983,2.2777739590264718e-10
HCC1954,Torin2,0.1,$k_{S}$,0.005445951629606973,9.116484328817376e-11
HCC1954,Torin2,0.1,$k_{G2}$,0.022946037317019486,9.116484328817376e-11
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.016940282242105892,9.116484328817376e-11
HCC1954,Torin2,0.1,$k_{\phi}$,0.1233975226080804,9.116484328817376e-11
HCC1954,Torin2,0.1,$k_{S}$,0.004524251396469084,4.01060982277073e-11
HCC1954,Torin2,0.1,$k_{G2}$,0.04737261502924704,4.01060982277073e-11
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.01564036163079713,4.01060982277073e-11
HCC1954,Torin2,0.1,$k_{\phi}$,0.05251195148428764,4.01060982277073e-11
HCC1954,Torin2,0.1,$k_{S}$,0.008370296319646506,1.2390621465754113e-10
HCC1954,Torin2,0.1,$k_{G2}$,0.04450823940266136,1.2390621465754113e-10
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.021626825579987807,1.2390621465754113e-10
HCC1954,Torin2,0.1,$k_{\phi}$,3.806255225842861,1.2390621465754113e-10
HCC1954,Torin2,0.1,$k_{S}$,0.012308456202335161,6.668980604990777e-11
HCC1954,Torin2,0.1,$k_{G2}$,0.05550652528363908,6.668980604990777e-11
HCC1954,Torin2,0.1,$k_{M}$$k_{G1}$,0.028926560092677925,6.668980604990777e-11
HCC1954,Torin2,0.1,$k_{\phi}$,0.13764413744072068,6.668980604990777e-11
BT549,Torin2,0.1,$k_{S}$,0.006871154209737703,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{G2}$,0.024421252487042872,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.051946858849442896,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{\phi}$,1.0252040277972803,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{S}$,0.0035494566813091466,5.265579011995017e-10
BT549,Torin2,0.1,$k_{G2}$,0.012001532360344552,5.265579011995017e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.031250053514220395,5.265579011995017e-10
BT549,Torin2,0.1,$k_{\phi}$,0.6467375330959066,5.265579011995017e-10
BT549,Torin2,0.1,$k_{S}$,0.006791459779297847,9.24641569074275e-10
BT549,Torin2,0.1,$k_{G2}$,0.020814172783339524,9.24641569074275e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.03998642273108831,9.24641569074275e-10
BT549,Torin2,0.1,$k_{\phi}$,0.5584458499377039,9.24641569074275e-10
BT549,Torin2,0.1,$k_{S}$,0.006614032569355088,9.369983171324305e-10
BT549,Torin2,0.1,$k_{G2}$,0.02147673091582327,9.369983171324305e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.038596454219821524,9.369983171324305e-10
BT549,Torin2,0.1,$k_{\phi}$,1.2891054144376042,9.369983171324305e-10
BT549,Torin2,0.1,$k_{S}$,0.0019344497670695216,1.044428931458639e-09
BT549,Torin2,0.1,$k_{G2}$,0.011105800280404556,1.044428931458639e-09
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.02697229226573347,1.044428931458639e-09
BT549,Torin2,0.1,$k_{\phi}$,0.3567399584901961,1.044428931458639e-09
BT20,Torin2,0.1,$k_{S}$,1e-07,861.6407914984236
BT20,Torin2,0.1,$k_{G2}$,0.025299972753222343,861.6407914984236
BT20,Torin2,0.1,$k_{M}$$k_{G1}$,0.029106522604317227,861.6407914984236
BT20,Torin2,0.1,$k_{\phi}$,0.29605947391536097,861.6407914984236
BT20,Torin2,0.1,$k_{S}$,0.00012867847080527786,5.713841253311645e-10
BT20,Torin2,0.1,$k_{G2}$,0.034680371128435285,5.713841253311645e-10
BT20,Torin2,0.1,$k_{M}$$k_{G1}$,0.024953793971748156,5.713841253311645e-10
BT20,Torin2,0.1,$k_{\phi}$,2.228743227882523,5.713841253311645e-10
BT20,Torin2,0.1,$k_{S}$,1e-07,1587.638454600678
BT20,Torin2,0.1,$k_{G2}$,0.02773444301140096,1587.638454600678
BT20,Torin2,0.1,$k_{M}$$k_{G1}$,0.023724218442714707,1587.638454600678
BT20,Torin2,0.1,$k_{\phi}$,0.29211424310436895,1587.638454600678
BT20,Torin2,0.1,$k_{S}$,1e-07,58.0112034628206
BT20,Torin2,0.1,$k_{G2}$,0.025099188630034016,58.0112034628206
BT20,Torin2,0.1,$k_{M}$$k_{G1}$,0.02727227941035197,58.0112034628206
BT20,Torin2,0.1,$k_{\phi}$,0.5108556391550947,58.0112034628206
BT20,Torin2,0.1,$k_{S}$,1e-07,425.6680927765343
BT20,Torin2,0.1,$k_{G2}$,0.0239625916830058,425.6680927765343
BT20,Torin2,0.1,$k_{M}$$k_{G1}$,0.02881963900348381,425.6680927765343
BT20,Torin2,0.1,$k_{\phi}$,0.4756904805806379,425.6680927765343
MGH312,Torin2,0.1,$k_{S}$,1e-07,25759.780864069628
MGH312,Torin2,0.1,$k_{G2}$,0.014273536038238064,25759.780864069628
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012591365733265605,25759.780864069628
MGH312,Torin2,0.1,$k_{\phi}$,0.002239212593003388,25759.780864069628
MGH312,Torin2,0.1,$k_{S}$,1e-07,21978.099252636333
MGH312,Torin2,0.1,$k_{G2}$,0.01439590295833257,21978.099252636333
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.011879376816823878,21978.099252636333
MGH312,Torin2,0.1,$k_{\phi}$,0.00611565447864234,21978.099252636333
MGH312,Torin2,0.1,$k_{S}$,0.0036796825456596382,5526.272536883562
MGH312,Torin2,0.1,$k_{G2}$,0.008966095182029794,5526.272536883562
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.02940173499425287,5526.272536883562
MGH312,Torin2,0.1,$k_{\phi}$,1e-07,5526.272536883562
MGH312,Torin2,0.1,$k_{S}$,1e-07,34179.678699525
MGH312,Torin2,0.1,$k_{G2}$,0.012614006287596515,34179.678699525
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012942443527879748,34179.678699525
MGH312,Torin2,0.1,$k_{\phi}$,0.0003854678194951213,34179.678699525
MGH312,Torin2,0.1,$k_{S}$,1e-07,20456.295078192565
MGH312,Torin2,0.1,$k_{G2}$,0.0164954185885237,20456.295078192565
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013633524318446935,20456.295078192565
MGH312,Torin2,0.1,$k_{\phi}$,0.0038899697557964598,20456.295078192565
MGH312,Torin2,0.1,$k_{S}$,1e-07,24490.84595174745
MGH312,Torin2,0.1,$k_{G2}$,0.015308983602662295,24490.84595174745
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.01098212927772196,24490.84595174745
MGH312,Torin2,0.1,$k_{\phi}$,0.004531276512921696,24490.84595174745
MGH312,Torin2,0.1,$k_{S}$,1e-07,16607.43198004673
MGH312,Torin2,0.1,$k_{G2}$,0.017230765755183307,16607.43198004673
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013614441550670202,16607.43198004673
MGH312,Torin2,0.1,$k_{\phi}$,0.011295864850414937,16607.43198004673
MGH312,Torin2,0.1,$k_{S}$,1e-07,46418.86751126861
MGH312,Torin2,0.1,$k_{G2}$,0.012745723748690818,46418.86751126861
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.013951727813949443,46418.86751126861
MGH312,Torin2,0.1,$k_{\phi}$,1e-07,46418.86751126861
MGH312,Torin2,0.1,$k_{S}$,1e-07,30736.104560211825
MGH312,Torin2,0.1,$k_{G2}$,0.01406677866612135,30736.104560211825
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.012399544015036843,30736.104560211825
MGH312,Torin2,0.1,$k_{\phi}$,0.0042867669505807,30736.104560211825
MGH312,Torin2,0.1,$k_{S}$,1e-07,18992.95174210938
MGH312,Torin2,0.1,$k_{G2}$,0.016166734712821585,18992.95174210938
MGH312,Torin2,0.1,$k_{M}$$k_{G1}$,0.011582304087205678,18992.95174210938
MGH312,Torin2,0.1,$k_{\phi}$,0.009796146602296649,18992.95174210938
MGH312,Torin2,1.0,$k_{S}$,0.001794142161281464,47477.91645635979
MGH312,Torin2,1.0,$k_{G2}$,0.016800053480428144,47477.91645635979
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.014553496816653315,47477.91645635979
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,47477.91645635979
MGH312,Torin2,1.0,$k_{S}$,0.0023800933989996734,77682.24094125009
MGH312,Torin2,1.0,$k_{G2}$,0.015218438521697956,77682.24094125009
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.015350132699629667,77682.24094125009
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,77682.24094125009
MGH312,Torin2,1.0,$k_{S}$,0.00015857490828416923,41446.20762746276
MGH312,Torin2,1.0,$k_{G2}$,0.013971934143454321,41446.20762746276
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.01380096894034282,41446.20762746276
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,41446.20762746276
MGH312,Torin2,1.0,$k_{S}$,0.002010515224035861,74719.54536315057
MGH312,Torin2,1.0,$k_{G2}$,0.014438137089556848,74719.54536315057
MGH312,Torin2,1.0,$k_{M}$$k_{G1}$,0.01427315999336372,74719.54536315057
MGH312,Torin2,1.0,$k_{\phi}$,1e-07,74719.54536315057
MGH312,Torin2,0.31623,$k_{S}$,1e-07,27895.530265724192
MGH312,Torin2,0.31623,$k_{G2}$,0.014280067851972573,27895.530265724192
MGH312,Torin2,0.31623,$k_{M}$$k_{G1}$,0.012842742844363738,27895.530265724192
MGH312,Torin2,0.31623,$k_{\phi}$,1e-07,27895.530265724192
MGH312,Torin2,0.31623,$k_{S}$,0.0017117786473977669,60110.450093117965
MGH312,Torin2,0.31623,$k_{G2}$,0.015888391913558404,60110.450093117965
MGH312,Torin2,0.31623,$k_{M}$$k_{G1}$,0.014499893660938052,60110.450093117965
MGH312,Torin2,0.31623,$k_{\phi}$,1e-07,60110.450093117965
MGH312,Torin2,0.31623,$k_{S}$,1e-07,35109.03531860537
MGH312,Torin2,0.31623,$k_{G2}$,0.013841417292899241,35109.03531860537
MGH312,Torin2,0.31623,$k_{M}$$k_{G1}$,0.013247755459561639,35109.03531860537
MGH312,Torin2,0.31623,$k_{\phi}$,1e-07,35109.03531860537
MGH312,Torin2,0.31623,$k_{S}$,0.0005655691088208644,38759.866154412426
MGH312,Torin2,0.31623,$k_{G2}$,0.015579837377345994,38759.866154412426
MGH312,Torin2,0.31623,$k_{M}$$k_{G1}$,0.01537706339825083,38759.866154412426
MGH312,Torin2,0.31623,$k_{\phi}$,1e-07,38759.866154412426
MGH312,Torin2,0.031623,$k_{S}$,0.0068150519144045945,2.2675693788320347e-10
MGH312,Torin2,0.031623,$k_{G2}$,0.00841422377692547,2.2675693788320347e-10
MGH312,Torin2,0.031623,$k_{M}$$k_{G1}$,0.0399477183968981,2.2675693788320347e-10
MGH312,Torin2,0.031623,$k_{\phi}$,0.005078157263030321,2.2675693788320347e-10
MGH312,Torin2,0.031623,$k_{S}$,0.006734609269727218,52.6648660640123
MGH312,Torin2,0.031623,$k_{G2}$,0.00798467034092012,52.6648660640123
MGH312,Torin2,0.031623,$k_{M}$$k_{G1}$,0.04417268849830257,52.6648660640123
MGH312,Torin2,0.031623,$k_{\phi}$,1e-07,52.6648660640123
MGH312,Torin2,0.031623,$k_{S}$,0.010330265167727358,3.171477727168296e-10
MGH312,Torin2,0.031623,$k_{G2}$,0.010901950360996764,3.171477727168296e-10
MGH312,Torin2,0.031623,$k_{M}$$k_{G1}$,0.05731901356913531,3.171477727168296e-10
MGH312,Torin2,0.031623,$k_{\phi}$,0.0043433990875154805,3.171477727168296e-10
MGH312,Torin2,0.031623,$k_{S}$,0.007519853775059908,2294.1639694867413
MGH312,Torin2,0.031623,$k_{G2}$,1e-07,2294.1639694867413
MGH312,Torin2,0.031623,$k_{M}$$k_{G1}$,0.0128660753227538,2294.1639694867413
MGH312,Torin2,0.031623,$k_{\phi}$,0.00834748820231781,2294.1639694867413
MGH312,Torin2,0.01,$k_{S}$,0.0304449692764116,1.9539556368245988e-10
