cell_line,agent,concentration,parameter,rate,obj_func
HCC70,YKL-5-124,0.01,$k_{S}$,0.006757164523899095,536603.3503602194
HCC70,YKL-5-124,0.01,$k_{G2}$,0.015067322426164197,536603.3503602194
HCC70,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.017777008979493365,536603.3503602194
HCC70,YKL-5-124,0.01,$k_{\phi}$,1e-07,536603.3503602194
HCC70,YKL-5-124,0.01,$k_{S}$,0.009094929126033435,151725.11266228592
HCC70,YKL-5-124,0.01,$k_{G2}$,0.02515458518774287,151725.11266228592
HCC70,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.007319824260882654,151725.11266228592
HCC70,YKL-5-124,0.01,$k_{\phi}$,1e-07,151725.11266228592
HCC70,YKL-5-124,0.01,$k_{S}$,0.008814986352514173,43057.611856411015
HCC70,YKL-5-124,0.01,$k_{G2}$,0.03080955936856493,43057.611856411015
HCC70,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.008732981719774964,43057.611856411015
HCC70,YKL-5-124,0.01,$k_{\phi}$,1e-07,43057.611856411015
HCC70,YKL-5-124,3.162278,$k_{S}$,0.00039519353051125353,428068.73600259365
HCC70,YKL-5-124,3.162278,$k_{G2}$,0.013553573768848031,428068.73600259365
HCC70,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.015239919584819715,428068.73600259365
HCC70,YKL-5-124,3.162278,$k_{\phi}$,1e-07,428068.73600259365
HCC70,YKL-5-124,3.162278,$k_{S}$,0.006644975064333699,328187.77500672726
HCC70,YKL-5-124,3.162278,$k_{G2}$,0.021736693674444457,328187.77500672726
HCC70,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.012475169383037754,328187.77500672726
HCC70,YKL-5-124,3.162278,$k_{\phi}$,1e-07,328187.77500672726
HCC70,YKL-5-124,3.162278,$k_{S}$,0.0007662868808993794,359651.6921577383
HCC70,YKL-5-124,3.162278,$k_{G2}$,0.01503566037714952,359651.6921577383
HCC70,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.018858289903447595,359651.6921577383
HCC70,YKL-5-124,3.162278,$k_{\phi}$,1e-07,359651.6921577383
HCC70,YKL-5-124,0.316228,$k_{S}$,0.008927021743749201,162717.6211143331
HCC70,YKL-5-124,0.316228,$k_{G2}$,0.030073588636061074,162717.6211143331
HCC70,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.007686929733528363,162717.6211143331
HCC70,YKL-5-124,0.316228,$k_{\phi}$,1e-07,162717.6211143331
HCC70,YKL-5-124,0.316228,$k_{S}$,0.008239580335125807,184700.93735669932
HCC70,YKL-5-124,0.316228,$k_{G2}$,0.02452703672779017,184700.93735669932
HCC70,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.012072259266851917,184700.93735669932
HCC70,YKL-5-124,0.316228,$k_{\phi}$,1e-07,184700.93735669932
HCC70,YKL-5-124,0.316228,$k_{S}$,0.009159384561691075,199596.77808722958
HCC70,YKL-5-124,0.316228,$k_{G2}$,0.03032449138475095,199596.77808722958
HCC70,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.009881644524755673,199596.77808722958
HCC70,YKL-5-124,0.316228,$k_{\phi}$,1e-07,199596.77808722958
HCC70,YKL-5-124,0.031623,$k_{S}$,1e-07,136906.2361684854
HCC70,YKL-5-124,0.031623,$k_{G2}$,0.013452422252361207,136906.2361684854
HCC70,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.028662545911889895,136906.2361684854
HCC70,YKL-5-124,0.031623,$k_{\phi}$,0.005571725994184527,136906.2361684854
HCC70,YKL-5-124,0.031623,$k_{S}$,1e-07,333080.26540594886
HCC70,YKL-5-124,0.031623,$k_{G2}$,0.012600589228580615,333080.26540594886
HCC70,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.01733984243833313,333080.26540594886
HCC70,YKL-5-124,0.031623,$k_{\phi}$,0.001355385197614036,333080.26540594886
HCC70,YKL-5-124,0.031623,$k_{S}$,1e-07,219029.34177612234
HCC70,YKL-5-124,0.031623,$k_{G2}$,0.012525954275904035,219029.34177612234
HCC70,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.019915936620683455,219029.34177612234
HCC70,YKL-5-124,0.031623,$k_{\phi}$,0.004233983169414287,219029.34177612234
HCC70,YKL-5-124,10.0,$k_{S}$,0.0043580633913103736,256733.75280756282
HCC70,YKL-5-124,10.0,$k_{G2}$,0.018715527688316885,256733.75280756282
HCC70,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.012085471690625758,256733.75280756282
HCC70,YKL-5-124,10.0,$k_{\phi}$,1e-07,256733.75280756282
HCC70,YKL-5-124,10.0,$k_{S}$,0.006005815951870815,415291.263215658
HCC70,YKL-5-124,10.0,$k_{G2}$,0.01589859029507005,415291.263215658
HCC70,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.01637678322761297,415291.263215658
HCC70,YKL-5-124,10.0,$k_{\phi}$,1e-07,415291.263215658
HCC70,YKL-5-124,10.0,$k_{S}$,0.0049490804391217995,414139.1137146801
HCC70,YKL-5-124,10.0,$k_{G2}$,0.017472661051519026,414139.1137146801
HCC70,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.01202347198715353,414139.1137146801
HCC70,YKL-5-124,10.0,$k_{\phi}$,1e-07,414139.1137146801
HCC70,YKL-5-124,0.1,$k_{S}$,1e-07,243262.38548228607
HCC70,YKL-5-124,0.1,$k_{G2}$,0.015341758430307306,243262.38548228607
HCC70,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.020485047336055724,243262.38548228607
HCC70,YKL-5-124,0.1,$k_{\phi}$,0.0034555740291702867,243262.38548228607
HCC70,YKL-5-124,0.1,$k_{S}$,0.0005300045839016703,273776.11699553113
HCC70,YKL-5-124,0.1,$k_{G2}$,0.01603647165910255,273776.11699553113
HCC70,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.019887561884048367,273776.11699553113
HCC70,YKL-5-124,0.1,$k_{\phi}$,1e-07,273776.11699553113
HCC70,YKL-5-124,0.1,$k_{S}$,1e-07,259413.8580811193
HCC70,YKL-5-124,0.1,$k_{G2}$,0.0145612796953788,259413.8580811193
HCC70,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.01907782328468108,259413.8580811193
HCC70,YKL-5-124,0.1,$k_{\phi}$,0.0029955936136189473,259413.8580811193
HCC70,YKL-5-124,0.001,$k_{S}$,0.00802982126130325,1.6785927379797275e-09
HCC70,YKL-5-124,0.001,$k_{G2}$,0.024680683793290144,1.6785927379797275e-09
HCC70,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.00884088827803778,1.6785927379797275e-09
HCC70,YKL-5-124,0.001,$k_{\phi}$,0.03269100904142901,1.6785927379797275e-09
HCC70,YKL-5-124,0.001,$k_{S}$,0.0031331056583493184,360.6043222488298
HCC70,YKL-5-124,0.001,$k_{G2}$,0.007778536399921801,360.6043222488298
HCC70,YKL-5-124,0.001,$k_{M}$$k_{G1}$,1e-07,360.6043222488298
HCC70,YKL-5-124,0.001,$k_{\phi}$,0.012002120914950941,360.6043222488298
HCC70,YKL-5-124,0.001,$k_{S}$,0.009797110941230038,1.4664079060405553e-09
HCC70,YKL-5-124,0.001,$k_{G2}$,0.00794393889878052,1.4664079060405553e-09
HCC70,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.007140689794234201,1.4664079060405553e-09
HCC70,YKL-5-124,0.001,$k_{\phi}$,0.01764457918721764,1.4664079060405553e-09
HCC70,YKL-5-124,0.003162,$k_{S}$,0.003945844550820141,19718.038370707734
HCC70,YKL-5-124,0.003162,$k_{G2}$,0.012285867621666554,19718.038370707734
HCC70,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.005964537654941344,19718.038370707734
HCC70,YKL-5-124,0.003162,$k_{\phi}$,1e-07,19718.038370707734
HCC70,YKL-5-124,0.003162,$k_{S}$,0.005878064187656843,81151.47978418318
HCC70,YKL-5-124,0.003162,$k_{G2}$,0.01698038617626961,81151.47978418318
HCC70,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.006312965119717274,81151.47978418318
HCC70,YKL-5-124,0.003162,$k_{\phi}$,1e-07,81151.47978418318
HCC70,YKL-5-124,0.003162,$k_{S}$,0.007715013132085192,13938.220617434494
HCC70,YKL-5-124,0.003162,$k_{G2}$,0.010982221784800933,13938.220617434494
HCC70,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.006142032472866532,13938.220617434494
HCC70,YKL-5-124,0.003162,$k_{\phi}$,1e-07,13938.220617434494
HCC70,YKL-5-124,1.0,$k_{S}$,0.014257015798767645,231121.4292129568
HCC70,YKL-5-124,1.0,$k_{G2}$,0.02024757016971351,231121.4292129568
HCC70,YKL-5-124,1.0,$k_{M}$$k_{G1}$,0.015096626083131537,231121.4292129568
HCC70,YKL-5-124,1.0,$k_{\phi}$,1e-07,231121.4292129568
HCC70,YKL-5-124,1.0,$k_{S}$,0.000944718792706348,289919.1633717991
HCC70,YKL-5-124,1.0,$k_{G2}$,0.015997879604139616,289919.1633717991
HCC70,YKL-5-124,1.0,$k_{M}$$k_{G1}$,0.019759499290261027,289919.1633717991
HCC70,YKL-5-124,1.0,$k_{\phi}$,1e-07,289919.1633717991
HCC70,YKL-5-124,1.0,$k_{S}$,0.00016489715134923293,270044.88397702185
HCC70,YKL-5-124,1.0,$k_{G2}$,0.015618930208944743,270044.88397702185
HCC70,YKL-5-124,1.0,$k_{M}$$k_{G1}$,0.018749328445176287,270044.88397702185
HCC70,YKL-5-124,1.0,$k_{\phi}$,1e-07,270044.88397702185
HCC1806,YKL-5-124,0.01,$k_{S}$,0.02003158532136491,6.09028412392353e-10
HCC1806,YKL-5-124,0.01,$k_{G2}$,0.06512265828103404,6.09028412392353e-10
HCC1806,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.014314844201588692,6.09028412392353e-10
HCC1806,YKL-5-124,0.01,$k_{\phi}$,0.3879010821497993,6.09028412392353e-10
HCC1806,YKL-5-124,0.01,$k_{S}$,0.007971670863071496,5.062454205437621e-10
HCC1806,YKL-5-124,0.01,$k_{G2}$,0.06872997842235597,5.062454205437621e-10
HCC1806,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.009989804903412568,5.062454205437621e-10
HCC1806,YKL-5-124,0.01,$k_{\phi}$,0.5314158548716498,5.062454205437621e-10
HCC1806,YKL-5-124,0.01,$k_{S}$,0.004139260077926791,117163.50700091952
HCC1806,YKL-5-124,0.01,$k_{G2}$,0.006271761193928626,117163.50700091952
HCC1806,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.011893103973662295,117163.50700091952
HCC1806,YKL-5-124,0.01,$k_{\phi}$,1e-07,117163.50700091952
HCC1806,YKL-5-124,3.162278,$k_{S}$,1e-07,27246.244415204463
HCC1806,YKL-5-124,3.162278,$k_{G2}$,0.016773999346190865,27246.244415204463
HCC1806,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.005648666563607311,27246.244415204463
HCC1806,YKL-5-124,3.162278,$k_{\phi}$,0.02094666579659371,27246.244415204463
HCC1806,YKL-5-124,3.162278,$k_{S}$,1e-07,66824.89154756165
HCC1806,YKL-5-124,3.162278,$k_{G2}$,0.01848550811802322,66824.89154756165
HCC1806,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.007389498046718245,66824.89154756165
HCC1806,YKL-5-124,3.162278,$k_{\phi}$,0.011834539845249948,66824.89154756165
HCC1806,YKL-5-124,3.162278,$k_{S}$,1e-07,50879.718101231956
HCC1806,YKL-5-124,3.162278,$k_{G2}$,0.017969713455090394,50879.718101231956
HCC1806,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.006820646885983116,50879.718101231956
HCC1806,YKL-5-124,3.162278,$k_{\phi}$,0.014978273005208483,50879.718101231956
HCC1806,YKL-5-124,0.316228,$k_{S}$,0.029221860534108444,3.5008097669387036e-10
HCC1806,YKL-5-124,0.316228,$k_{G2}$,0.008454362031731943,3.5008097669387036e-10
HCC1806,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.02581911142404957,3.5008097669387036e-10
HCC1806,YKL-5-124,0.316228,$k_{\phi}$,0.06775612544867925,3.5008097669387036e-10
HCC1806,YKL-5-124,0.316228,$k_{S}$,0.0038586195949084634,7.292349239781152
HCC1806,YKL-5-124,0.316228,$k_{G2}$,0.0012940871332415321,7.292349239781152
HCC1806,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,1e-07,7.292349239781152
HCC1806,YKL-5-124,0.316228,$k_{\phi}$,0.0039018922632086616,7.292349239781152
HCC1806,YKL-5-124,0.316228,$k_{S}$,1e-07,33923.66462145471
HCC1806,YKL-5-124,0.316228,$k_{G2}$,0.018532587412570068,33923.66462145471
HCC1806,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.006318765387112431,33923.66462145471
HCC1806,YKL-5-124,0.316228,$k_{\phi}$,0.01881219173051545,33923.66462145471
HCC1806,YKL-5-124,0.031623,$k_{S}$,0.03589593713734563,1.8305696886678922e-10
HCC1806,YKL-5-124,0.031623,$k_{G2}$,0.008450521115177056,1.8305696886678922e-10
HCC1806,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.02793682080012363,1.8305696886678922e-10
HCC1806,YKL-5-124,0.031623,$k_{\phi}$,0.15925065933154134,1.8305696886678922e-10
HCC1806,YKL-5-124,0.031623,$k_{S}$,0.005732193292550359,4.610532125352934e-10
HCC1806,YKL-5-124,0.031623,$k_{G2}$,0.03985136169502122,4.610532125352934e-10
HCC1806,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.008994143992795758,4.610532125352934e-10
HCC1806,YKL-5-124,0.031623,$k_{\phi}$,0.389273976286373,4.610532125352934e-10
HCC1806,YKL-5-124,0.031623,$k_{S}$,1e-07,3550.9100903592375
HCC1806,YKL-5-124,0.031623,$k_{G2}$,0.019756810825871537,3550.9100903592375
HCC1806,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.005954660521379978,3550.9100903592375
HCC1806,YKL-5-124,0.031623,$k_{\phi}$,0.06395064835666359,3550.9100903592375
HCC1806,YKL-5-124,10.0,$k_{S}$,0.0006209234389043935,153260.6761105316
HCC1806,YKL-5-124,10.0,$k_{G2}$,0.016997958711042285,153260.6761105316
HCC1806,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.014153657250354845,153260.6761105316
HCC1806,YKL-5-124,10.0,$k_{\phi}$,1e-07,153260.6761105316
HCC1806,YKL-5-124,10.0,$k_{S}$,0.0005363356533014968,149087.59614154985
HCC1806,YKL-5-124,10.0,$k_{G2}$,0.016793517649749443,149087.59614154985
HCC1806,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.01327501862235948,149087.59614154985
HCC1806,YKL-5-124,10.0,$k_{\phi}$,1e-07,149087.59614154985
HCC1806,YKL-5-124,10.0,$k_{S}$,1e-07,169491.13820497176
HCC1806,YKL-5-124,10.0,$k_{G2}$,0.01506785657716309,169491.13820497176
HCC1806,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.01753885047341195,169491.13820497176
HCC1806,YKL-5-124,10.0,$k_{\phi}$,1e-07,169491.13820497176
HCC1806,YKL-5-124,0.1,$k_{S}$,1e-07,5821.63121449152
HCC1806,YKL-5-124,0.1,$k_{G2}$,0.02003410659938931,5821.63121449152
HCC1806,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.00579756474626886,5821.63121449152
HCC1806,YKL-5-124,0.1,$k_{\phi}$,0.06276828234716252,5821.63121449152
HCC1806,YKL-5-124,0.1,$k_{S}$,1e-07,5752.308139726982
HCC1806,YKL-5-124,0.1,$k_{G2}$,0.0139286907475009,5752.308139726982
HCC1806,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.005837926842635404,5752.308139726982
HCC1806,YKL-5-124,0.1,$k_{\phi}$,0.03408382740830809,5752.308139726982
HCC1806,YKL-5-124,0.1,$k_{S}$,1e-07,21.996230052250986
HCC1806,YKL-5-124,0.1,$k_{G2}$,0.021240836474548882,21.996230052250986
HCC1806,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.0043143595722356645,21.996230052250986
