cell_line,agent,concentration,parameter,rate,obj_func
ZR751,AZD1775,3.162278,$k_{S}$,0.03642277542939097,127.30616441390227
ZR751,AZD1775,3.162278,$k_{G2}$,0.08409335850663593,127.30616441390227
ZR751,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.12184460835000087,127.30616441390227
ZR751,AZD1775,3.162278,$k_{\phi}$,1.7285223529996867,127.30616441390227
ZR751,AZD1775,3.162278,$k_{S}$,0.03668887179180036,978.621768090593
ZR751,AZD1775,3.162278,$k_{G2}$,0.08009170312744494,978.621768090593
ZR751,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.11904357501922358,978.621768090593
ZR751,AZD1775,3.162278,$k_{\phi}$,3.0996694464690213,978.621768090593
ZR751,AZD1775,3.162278,$k_{S}$,0.027439274413767256,2050.3938587772864
ZR751,AZD1775,3.162278,$k_{G2}$,0.07412646966526658,2050.3938587772864
ZR751,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.08967781103831053,2050.3938587772864
ZR751,AZD1775,3.162278,$k_{\phi}$,16.75723901511085,2050.3938587772864
ZR751,AZD1775,10.0,$k_{S}$,0.02006374967751559,411.1878787985525
ZR751,AZD1775,10.0,$k_{G2}$,0.08836297207713799,411.1878787985525
ZR751,AZD1775,10.0,$k_{M}$$k_{G1}$,0.018108734412784135,411.1878787985525
ZR751,AZD1775,10.0,$k_{\phi}$,0.40855204937545336,411.1878787985525
ZR751,AZD1775,10.0,$k_{S}$,0.018704469735303944,371.62255380572276
ZR751,AZD1775,10.0,$k_{G2}$,0.06653702381776135,371.62255380572276
ZR751,AZD1775,10.0,$k_{M}$$k_{G1}$,0.015215763181355363,371.62255380572276
ZR751,AZD1775,10.0,$k_{\phi}$,0.9004236534553935,371.62255380572276
ZR751,AZD1775,10.0,$k_{S}$,0.014665640091153053,1041.797155010159
ZR751,AZD1775,10.0,$k_{G2}$,0.0579021045332104,1041.797155010159
ZR751,AZD1775,10.0,$k_{M}$$k_{G1}$,0.009969850830139813,1041.797155010159
ZR751,AZD1775,10.0,$k_{\phi}$,0.17095054736395393,1041.797155010159
ZR751,AZD1775,0.001,$k_{S}$,0.03664302357440946,1.3204196699602673e-09
ZR751,AZD1775,0.001,$k_{G2}$,0.07687404689469557,1.3204196699602673e-09
ZR751,AZD1775,0.001,$k_{M}$$k_{G1}$,0.13789607312951047,1.3204196699602673e-09
ZR751,AZD1775,0.001,$k_{\phi}$,1.7944040083719062,1.3204196699602673e-09
ZR751,AZD1775,0.001,$k_{S}$,0.037689572354849994,2235.7561387144233
ZR751,AZD1775,0.001,$k_{G2}$,0.08637401108306504,2235.7561387144233
ZR751,AZD1775,0.001,$k_{M}$$k_{G1}$,0.14757170717461682,2235.7561387144233
ZR751,AZD1775,0.001,$k_{\phi}$,1.7742897632441303,2235.7561387144233
ZR751,AZD1775,0.001,$k_{S}$,0.040210860419290735,1704.3793578034695
ZR751,AZD1775,0.001,$k_{G2}$,0.08472464743352764,1704.3793578034695
ZR751,AZD1775,0.001,$k_{M}$$k_{G1}$,0.1449650107041372,1704.3793578034695
ZR751,AZD1775,0.001,$k_{\phi}$,4.185733074424332,1704.3793578034695
ZR751,AZD1775,0.1,$k_{S}$,0.031317799328095704,2142.0704481085786
ZR751,AZD1775,0.1,$k_{G2}$,0.0801379691283249,2142.0704481085786
ZR751,AZD1775,0.1,$k_{M}$$k_{G1}$,0.11911724096507281,2142.0704481085786
ZR751,AZD1775,0.1,$k_{\phi}$,22.855951690659726,2142.0704481085786
ZR751,AZD1775,0.1,$k_{S}$,0.03613432082671544,1543.1374259276527
ZR751,AZD1775,0.1,$k_{G2}$,0.07786728710034696,1543.1374259276527
ZR751,AZD1775,0.1,$k_{M}$$k_{G1}$,0.11936717840841073,1543.1374259276527
ZR751,AZD1775,0.1,$k_{\phi}$,2.8287079369145665,1543.1374259276527
ZR751,AZD1775,0.1,$k_{S}$,0.038351450890056885,857.5294445173038
ZR751,AZD1775,0.1,$k_{G2}$,0.07988365040156199,857.5294445173038
ZR751,AZD1775,0.1,$k_{M}$$k_{G1}$,0.14817184574442754,857.5294445173038
ZR751,AZD1775,0.1,$k_{\phi}$,1.8234861515931124,857.5294445173038
ZR751,AZD1775,0.031623,$k_{S}$,0.0379626051279874,1465.6232277187376
ZR751,AZD1775,0.031623,$k_{G2}$,0.07729718892780664,1465.6232277187376
ZR751,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.15615177865397176,1465.6232277187376
ZR751,AZD1775,0.031623,$k_{\phi}$,1.2419769940042416,1465.6232277187376
ZR751,AZD1775,0.031623,$k_{S}$,0.033660706980775036,1704.2454491136784
ZR751,AZD1775,0.031623,$k_{G2}$,0.08166885830317362,1704.2454491136784
ZR751,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.120786652075753,1704.2454491136784
ZR751,AZD1775,0.031623,$k_{\phi}$,1.1568458667002948,1704.2454491136784
ZR751,AZD1775,0.031623,$k_{S}$,0.03203372751107371,2838.9391579416765
ZR751,AZD1775,0.031623,$k_{G2}$,0.07141151990972165,2838.9391579416765
ZR751,AZD1775,0.031623,$k_{M}$$k_{G1}$,0.09428524443586764,2838.9391579416765
ZR751,AZD1775,0.031623,$k_{\phi}$,19.455797382564104,2838.9391579416765
ZR751,AZD1775,1.0,$k_{S}$,0.032753271121363385,917.0256828742296
ZR751,AZD1775,1.0,$k_{G2}$,0.07946875212303876,917.0256828742296
ZR751,AZD1775,1.0,$k_{M}$$k_{G1}$,0.12010896145009702,917.0256828742296
ZR751,AZD1775,1.0,$k_{\phi}$,1.6446609156292142,917.0256828742296
ZR751,AZD1775,1.0,$k_{S}$,0.03406766881913555,4004.7136662436465
ZR751,AZD1775,1.0,$k_{G2}$,0.07392579633491649,4004.7136662436465
ZR751,AZD1775,1.0,$k_{M}$$k_{G1}$,0.14176631007425783,4004.7136662436465
ZR751,AZD1775,1.0,$k_{\phi}$,1.9859426659627224,4004.7136662436465
ZR751,AZD1775,1.0,$k_{S}$,0.03295444735340461,1543.0652563750784
ZR751,AZD1775,1.0,$k_{G2}$,0.06416809453797503,1543.0652563750784
ZR751,AZD1775,1.0,$k_{M}$$k_{G1}$,0.11906474348896103,1543.0652563750784
ZR751,AZD1775,1.0,$k_{\phi}$,1.6142837850231133,1543.0652563750784
ZR751,AZD1775,0.316228,$k_{S}$,0.0376153047907605,1175.347912737541
ZR751,AZD1775,0.316228,$k_{G2}$,0.0836807405385932,1175.347912737541
ZR751,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.1296454941291169,1175.347912737541
ZR751,AZD1775,0.316228,$k_{\phi}$,2.2117854324187958,1175.347912737541
ZR751,AZD1775,0.316228,$k_{S}$,0.037246795316943346,2733.524811746894
ZR751,AZD1775,0.316228,$k_{G2}$,0.07691897602280813,2733.524811746894
ZR751,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.13653486531813974,2733.524811746894
ZR751,AZD1775,0.316228,$k_{\phi}$,1.7069922784864189,2733.524811746894
ZR751,AZD1775,0.316228,$k_{S}$,0.03511759402959163,978.6487046879863
ZR751,AZD1775,0.316228,$k_{G2}$,0.08500442737887556,978.6487046879863
ZR751,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.15200838830487579,978.6487046879863
ZR751,AZD1775,0.316228,$k_{\phi}$,1.1495628195734455,978.6487046879863
ZR751,AZD1775,0.01,$k_{S}$,0.041118161025055305,127.32387196317244
ZR751,AZD1775,0.01,$k_{G2}$,0.08065145480152852,127.32387196317244
ZR751,AZD1775,0.01,$k_{M}$$k_{G1}$,0.14035123212489048,127.32387196317244
ZR751,AZD1775,0.01,$k_{\phi}$,1.9299492522176211,127.32387196317244
ZR751,AZD1775,0.01,$k_{S}$,0.03611077029986897,3755.590517507989
ZR751,AZD1775,0.01,$k_{G2}$,0.07783804011588653,3755.590517507989
ZR751,AZD1775,0.01,$k_{M}$$k_{G1}$,0.11696752656250119,3755.590517507989
ZR751,AZD1775,0.01,$k_{\phi}$,51.56860856535233,3755.590517507989
ZR751,AZD1775,0.01,$k_{S}$,0.03652560599282399,1465.6096017782822
ZR751,AZD1775,0.01,$k_{G2}$,0.08230009684702273,1465.6096017782822
ZR751,AZD1775,0.01,$k_{M}$$k_{G1}$,0.12495037146566539,1465.6096017782822
ZR751,AZD1775,0.01,$k_{\phi}$,55.96301470073778,1465.6096017782822
ZR751,AZD1775,0.003162,$k_{S}$,0.039825943338801933,2235.7216097686473
ZR751,AZD1775,0.003162,$k_{G2}$,0.07470773461318102,2235.7216097686473
ZR751,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.1431133153262154,2235.7216097686473
ZR751,AZD1775,0.003162,$k_{\phi}$,1.7779871728448937,2235.7216097686473
ZR751,AZD1775,0.003162,$k_{S}$,0.04024622435204448,917.1164543811725
ZR751,AZD1775,0.003162,$k_{G2}$,0.08058737779516466,917.1164543811725
ZR751,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.1466246164488677,917.1164543811725
ZR751,AZD1775,0.003162,$k_{\phi}$,3.0750853512443626,917.1164543811725
ZR751,AZD1775,0.003162,$k_{S}$,0.03921204671245544,1787.9749347004094
ZR751,AZD1775,0.003162,$k_{G2}$,0.08892439967558864,1787.9749347004094
ZR751,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.16507518648198757,1787.9749347004094
ZR751,AZD1775,0.003162,$k_{\phi}$,2.0642857871548705,1787.9749347004094
