cell_line,agent,concentration,parameter,rate,obj_func
ZR751,E17,0.316228,$k_{S}$,0.007055310156532419,78333.10356057485
ZR751,E17,0.316228,$k_{G2}$,0.005879991373264974,78333.10356057485
ZR751,E17,0.316228,$k_{M}$$k_{G1}$,0.01176782703159823,78333.10356057485
ZR751,E17,0.316228,$k_{\phi}$,1e-07,78333.10356057485
ZR751,E17,0.316228,$k_{S}$,0.005612867546548008,139055.125481984
ZR751,E17,0.316228,$k_{G2}$,0.011708204518637978,139055.125481984
ZR751,E17,0.316228,$k_{M}$$k_{G1}$,0.01025294203698689,139055.125481984
ZR751,E17,0.316228,$k_{\phi}$,1e-07,139055.125481984
ZR751,E17,0.316228,$k_{S}$,0.004946957480689935,115165.17313115319
ZR751,E17,0.316228,$k_{G2}$,0.011071608254198239,115165.17313115319
ZR751,E17,0.316228,$k_{M}$$k_{G1}$,0.011708577308184802,115165.17313115319
ZR751,E17,0.316228,$k_{\phi}$,1e-07,115165.17313115319
ZR751,E17,0.031623,$k_{S}$,0.00863011622757436,3.6996658655849203e-10
ZR751,E17,0.031623,$k_{G2}$,0.03512778986609664,3.6996658655849203e-10
ZR751,E17,0.031623,$k_{M}$$k_{G1}$,0.019070048745613383,3.6996658655849203e-10
ZR751,E17,0.031623,$k_{\phi}$,0.6748326043225983,3.6996658655849203e-10
ZR751,E17,0.031623,$k_{S}$,1e-07,26562.497272137658
ZR751,E17,0.031623,$k_{G2}$,0.007720709557833199,26562.497272137658
ZR751,E17,0.031623,$k_{M}$$k_{G1}$,0.0049404492552398115,26562.497272137658
ZR751,E17,0.031623,$k_{\phi}$,1e-07,26562.497272137658
ZR751,E17,0.031623,$k_{S}$,0.00819213659154285,105.62397005304369
ZR751,E17,0.031623,$k_{G2}$,0.030000113928332822,105.62397005304369
ZR751,E17,0.031623,$k_{M}$$k_{G1}$,0.021204805377539954,105.62397005304369
ZR751,E17,0.031623,$k_{\phi}$,0.49171521062374784,105.62397005304369
ZR751,E17,0.000316,$k_{S}$,0.040270893411314825,542.1277333842247
ZR751,E17,0.000316,$k_{G2}$,0.08136917977368704,542.1277333842247
ZR751,E17,0.000316,$k_{M}$$k_{G1}$,0.14133605714355232,542.1277333842247
ZR751,E17,0.000316,$k_{\phi}$,1.3433870277234636,542.1277333842247
ZR751,E17,0.000316,$k_{S}$,0.040550077230983125,1961.107071816446
ZR751,E17,0.000316,$k_{G2}$,0.08441975526366505,1961.107071816446
ZR751,E17,0.000316,$k_{M}$$k_{G1}$,0.16961829283806432,1961.107071816446
ZR751,E17,0.000316,$k_{\phi}$,1.522704319601879,1961.107071816446
ZR751,E17,0.000316,$k_{S}$,0.03794386950355369,2050.5898121466644
ZR751,E17,0.000316,$k_{G2}$,0.07793684100142809,2050.5898121466644
ZR751,E17,0.000316,$k_{M}$$k_{G1}$,0.14269384932619275,2050.5898121466644
ZR751,E17,0.000316,$k_{\phi}$,2.4205220469420383,2050.5898121466644
ZR751,E17,0.01,$k_{S}$,0.02574263189974466,150.8236900274301
ZR751,E17,0.01,$k_{G2}$,0.06355576770555209,150.8236900274301
ZR751,E17,0.01,$k_{M}$$k_{G1}$,0.1100686628147297,150.8236900274301
ZR751,E17,0.01,$k_{\phi}$,1.1289541767617834,150.8236900274301
ZR751,E17,0.01,$k_{S}$,0.027180197980110083,2528.1805591563098
ZR751,E17,0.01,$k_{G2}$,0.0695248256581785,2528.1805591563098
ZR751,E17,0.01,$k_{M}$$k_{G1}$,0.09761343948149438,2528.1805591563098
ZR751,E17,0.01,$k_{\phi}$,0.8525080905290311,2528.1805591563098
ZR751,E17,0.01,$k_{S}$,0.030269479008445743,744.2693653141209
ZR751,E17,0.01,$k_{G2}$,0.06517398218210442,744.2693653141209
ZR751,E17,0.01,$k_{M}$$k_{G1}$,0.09929345535725902,744.2693653141209
ZR751,E17,0.01,$k_{\phi}$,1.5796833128240888,744.2693653141209
ZR751,E17,0.003162,$k_{S}$,0.033876448640001146,1704.296655995682
ZR751,E17,0.003162,$k_{G2}$,0.07276613261090342,1704.296655995682
ZR751,E17,0.003162,$k_{M}$$k_{G1}$,0.1853132367955564,1704.296655995682
ZR751,E17,0.003162,$k_{\phi}$,1.026590241328182,1704.296655995682
ZR751,E17,0.003162,$k_{S}$,0.04044219495055773,2331.358819899119
ZR751,E17,0.003162,$k_{G2}$,0.08462637276856065,2331.358819899119
ZR751,E17,0.003162,$k_{M}$$k_{G1}$,0.16513012992266296,2331.358819899119
ZR751,E17,0.003162,$k_{\phi}$,1.0720183123305507,2331.358819899119
ZR751,E17,0.003162,$k_{S}$,0.03450259975145893,2235.6619962882924
ZR751,E17,0.003162,$k_{G2}$,0.07859039128654459,2235.6619962882924
ZR751,E17,0.003162,$k_{M}$$k_{G1}$,0.13002536257527406,2235.6619962882924
ZR751,E17,0.003162,$k_{\phi}$,1.7280934353596247,2235.6619962882924
