cell_line,agent,concentration,parameter,rate,obj_func
ZR751,Flavopiridol,0.001,$k_{S}$,0.04286157302692643,10.790403463302658
ZR751,Flavopiridol,0.001,$k_{G2}$,0.09445170431041071,10.790403463302658
ZR751,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.1625880129808722,10.790403463302658
ZR751,Flavopiridol,0.001,$k_{\phi}$,1.180175629172705,10.790403463302658
ZR751,Flavopiridol,0.001,$k_{S}$,0.04030222355664911,86.1893550590147
ZR751,Flavopiridol,0.001,$k_{G2}$,0.0809575150329988,86.1893550590147
ZR751,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.14828319413598187,86.1893550590147
ZR751,Flavopiridol,0.001,$k_{\phi}$,1.590951207812041,86.1893550590147
ZR751,Flavopiridol,0.001,$k_{S}$,0.035977127463348246,3056.2192373310763
ZR751,Flavopiridol,0.001,$k_{G2}$,0.07558520631883031,3056.2192373310763
ZR751,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.14288216420800176,3056.2192373310763
ZR751,Flavopiridol,0.001,$k_{\phi}$,1.907301187507936,3056.2192373310763
ZR751,Flavopiridol,0.000316,$k_{S}$,0.040812549564347884,978.7465012454819
ZR751,Flavopiridol,0.000316,$k_{G2}$,0.0894348059595663,978.7465012454819
ZR751,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.18097642872242783,978.7465012454819
ZR751,Flavopiridol,0.000316,$k_{\phi}$,1.8206802644010533,978.7465012454819
ZR751,Flavopiridol,0.000316,$k_{S}$,0.03854889001581906,4004.7967216239203
ZR751,Flavopiridol,0.000316,$k_{G2}$,0.08729071655629704,4004.7967216239203
ZR751,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.12987526366403224,4004.7967216239203
ZR751,Flavopiridol,0.000316,$k_{\phi}$,1.4172722736165462,4004.7967216239203
ZR751,Flavopiridol,0.000316,$k_{S}$,0.03795916087319608,452.99205837905924
ZR751,Flavopiridol,0.000316,$k_{G2}$,0.08595147759953674,452.99205837905924
ZR751,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.1411322051035131,452.99205837905924
ZR751,Flavopiridol,0.000316,$k_{\phi}$,1.4764362465599654,452.99205837905924
ZR751,Flavopiridol,0.01,$k_{S}$,0.042079740582088625,453.02427923956685
ZR751,Flavopiridol,0.01,$k_{G2}$,0.09179609480733515,453.02427923956685
ZR751,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.14926055971231747,453.02427923956685
ZR751,Flavopiridol,0.01,$k_{\phi}$,1.134935138038217,453.02427923956685
ZR751,Flavopiridol,0.01,$k_{S}$,0.04203971824859241,1704.3183849517466
ZR751,Flavopiridol,0.01,$k_{G2}$,0.07849065918576759,1704.3183849517466
ZR751,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.12722355852258105,1704.3183849517466
ZR751,Flavopiridol,0.01,$k_{\phi}$,1.4273177847678342,1704.3183849517466
ZR751,Flavopiridol,0.01,$k_{S}$,0.03899531923739746,3634.0678186207306
ZR751,Flavopiridol,0.01,$k_{G2}$,0.07290638292632548,3634.0678186207306
ZR751,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.14437494007036822,3634.0678186207306
ZR751,Flavopiridol,0.01,$k_{\phi}$,1.520433505403129,3634.0678186207306
ZR751,Flavopiridol,0.1,$k_{S}$,0.04665512561210837,334.28224671946435
ZR751,Flavopiridol,0.1,$k_{G2}$,0.0707539740435169,334.28224671946435
ZR751,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.12986737272807694,334.28224671946435
ZR751,Flavopiridol,0.1,$k_{\phi}$,1.1341271334714311,334.28224671946435
ZR751,Flavopiridol,0.1,$k_{S}$,0.0437674815873001,2629.939588143806
ZR751,Flavopiridol,0.1,$k_{G2}$,0.07494591818230006,2629.939588143806
ZR751,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.11407317302611865,2629.939588143806
ZR751,Flavopiridol,0.1,$k_{\phi}$,1.0547020691948548,2629.939588143806
ZR751,Flavopiridol,0.1,$k_{S}$,0.04401154404714411,2528.4261623902066
ZR751,Flavopiridol,0.1,$k_{G2}$,0.07687238239221111,2528.4261623902066
ZR751,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.12773357059956897,2528.4261623902066
ZR751,Flavopiridol,0.1,$k_{\phi}$,1.2544448972622213,2528.4261623902066
ZR751,Flavopiridol,0.031623,$k_{S}$,0.04394117339276684,1390.0865753955356
ZR751,Flavopiridol,0.031623,$k_{G2}$,0.07783534287784824,1390.0865753955356
ZR751,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.14001105414912637,1390.0865753955356
ZR751,Flavopiridol,0.031623,$k_{\phi}$,1.565179658911371,1390.0865753955356
ZR751,Flavopiridol,0.031623,$k_{S}$,0.03897137800261069,1787.8194667721737
ZR751,Flavopiridol,0.031623,$k_{G2}$,0.06938559054368243,1787.8194667721737
ZR751,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.12075423799439307,1787.8194667721737
ZR751,Flavopiridol,0.031623,$k_{\phi}$,1.6159378642281672,1787.8194667721737
ZR751,Flavopiridol,0.031623,$k_{S}$,0.047320548092843764,2331.464156265405
ZR751,Flavopiridol,0.031623,$k_{G2}$,0.08248206458678567,2331.464156265405
ZR751,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.17155150833710114,2331.464156265405
ZR751,Flavopiridol,0.031623,$k_{\phi}$,2.0856783352900257,2331.464156265405
ZR751,Flavopiridol,1.0,$k_{S}$,0.0002274339693990191,37295.717097741785
ZR751,Flavopiridol,1.0,$k_{G2}$,0.012827904750158914,37295.717097741785
ZR751,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.005239287979389712,37295.717097741785
ZR751,Flavopiridol,1.0,$k_{\phi}$,1e-07,37295.717097741785
ZR751,Flavopiridol,1.0,$k_{S}$,0.0009759162238384727,55932.60386122448
ZR751,Flavopiridol,1.0,$k_{G2}$,0.010423491923940533,55932.60386122448
ZR751,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.006982581169865501,55932.60386122448
ZR751,Flavopiridol,1.0,$k_{\phi}$,1e-07,55932.60386122448
ZR751,Flavopiridol,1.0,$k_{S}$,0.00169669306923337,39575.04834751219
ZR751,Flavopiridol,1.0,$k_{G2}$,0.015792205003548995,39575.04834751219
ZR751,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.005779208840253766,39575.04834751219
ZR751,Flavopiridol,1.0,$k_{\phi}$,1e-07,39575.04834751219
ZR751,Flavopiridol,0.003162,$k_{S}$,0.038076549505707775,857.4811549202107
