cell_line,agent,concentration,parameter,rate,obj_func
ZR751,LY2606368,0.001,$k_{S}$,0.027708532986479253,39.44859443985965
ZR751,LY2606368,0.001,$k_{G2}$,0.1411655452736123,39.44859443985965
ZR751,LY2606368,0.001,$k_{M}$$k_{G1}$,0.05282993240106937,39.44859443985965
ZR751,LY2606368,0.001,$k_{\phi}$,2.8542087970084733,39.44859443985965
ZR751,LY2606368,0.001,$k_{S}$,0.026128700716691017,3167.4079860790953
ZR751,LY2606368,0.001,$k_{G2}$,0.0897820453975493,3167.4079860790953
ZR751,LY2606368,0.001,$k_{M}$$k_{G1}$,0.04411178514096529,3167.4079860790953
ZR751,LY2606368,0.001,$k_{\phi}$,1.8895545294778813,3167.4079860790953
ZR751,LY2606368,0.001,$k_{S}$,0.026008355336163927,1041.9873116729573
ZR751,LY2606368,0.001,$k_{G2}$,0.10535339703453703,1041.9873116729573
ZR751,LY2606368,0.001,$k_{M}$$k_{G1}$,0.043870822757846865,1041.9873116729573
ZR751,LY2606368,0.001,$k_{\phi}$,1.3049846857178868,1041.9873116729573
ZR751,LY2606368,3.2e-05,$k_{S}$,0.03931229698353924,1244.9705737932625
ZR751,LY2606368,3.2e-05,$k_{G2}$,0.08793750256371358,1244.9705737932625
ZR751,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.16615507974481344,1244.9705737932625
ZR751,LY2606368,3.2e-05,$k_{\phi}$,1.0009748066983488,1244.9705737932625
ZR751,LY2606368,3.2e-05,$k_{S}$,0.04292821681232223,1042.294126058566
ZR751,LY2606368,3.2e-05,$k_{G2}$,0.08700099929259768,1042.294126058566
ZR751,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.16241697294169463,1042.294126058566
ZR751,LY2606368,3.2e-05,$k_{\phi}$,1.2746186601234666,1042.294126058566
ZR751,LY2606368,3.2e-05,$k_{S}$,0.038396891175012285,1543.1847142687673
ZR751,LY2606368,3.2e-05,$k_{G2}$,0.07805129565887159,1543.1847142687673
ZR751,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.1444884431203115,1543.1847142687673
ZR751,LY2606368,3.2e-05,$k_{\phi}$,1.4495222509748005,1543.1847142687673
ZR751,LY2606368,1e-05,$k_{S}$,0.03144586334115826,496.5382506864432
ZR751,LY2606368,1e-05,$k_{G2}$,0.06386312464888182,496.5382506864432
ZR751,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.28352844477804445,496.5382506864432
ZR751,LY2606368,1e-05,$k_{\phi}$,1.058084940205411,496.5382506864432
ZR751,LY2606368,1e-05,$k_{S}$,0.041077868806255156,3514.606781881952
ZR751,LY2606368,1e-05,$k_{G2}$,0.07954000282684745,3514.606781881952
ZR751,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.1651618413296341,3514.606781881952
ZR751,LY2606368,1e-05,$k_{\phi}$,1.4573848100446916,3514.606781881952
ZR751,LY2606368,1e-05,$k_{S}$,0.043242481242218044,2050.7011039289364
ZR751,LY2606368,1e-05,$k_{G2}$,0.08215578707086148,2050.7011039289364
ZR751,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.1668994445705116,2050.7011039289364
ZR751,LY2606368,1e-05,$k_{\phi}$,2.1898316538104456,2050.7011039289364
ZR751,LY2606368,0.003162,$k_{S}$,0.025554475381591214,5.998994908059595e-10
ZR751,LY2606368,0.003162,$k_{G2}$,0.1139542569658182,5.998994908059595e-10
ZR751,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.03645502845614989,5.998994908059595e-10
ZR751,LY2606368,0.003162,$k_{\phi}$,1.0267450851124902,5.998994908059595e-10
ZR751,LY2606368,0.003162,$k_{S}$,0.024221719347931592,1787.5502095506806
ZR751,LY2606368,0.003162,$k_{G2}$,0.1095953419863625,1787.5502095506806
ZR751,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.037606898636019924,1787.5502095506806
ZR751,LY2606368,0.003162,$k_{\phi}$,1.3511759931857112,1787.5502095506806
ZR751,LY2606368,0.003162,$k_{S}$,0.023656570789990613,1703.9530517451228
ZR751,LY2606368,0.003162,$k_{G2}$,0.10646693815125828,1703.9530517451228
ZR751,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.03134044604902278,1703.9530517451228
ZR751,LY2606368,0.003162,$k_{\phi}$,0.9570188900575917,1703.9530517451228
ZR751,LY2606368,0.000316,$k_{S}$,0.03895055894495685,4.4605677349889545e-10
ZR751,LY2606368,0.000316,$k_{G2}$,0.09059025453080385,4.4605677349889545e-10
ZR751,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.14946153752524682,4.4605677349889545e-10
ZR751,LY2606368,0.000316,$k_{\phi}$,1.5424551030049296,4.4605677349889545e-10
ZR751,LY2606368,0.000316,$k_{S}$,0.040321042454178675,150.877652672854
ZR751,LY2606368,0.000316,$k_{G2}$,0.07447527886952866,150.877652672854
ZR751,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.13422704321999393,150.877652672854
ZR751,LY2606368,0.000316,$k_{\phi}$,1.5017383801030872,150.877652672854
ZR751,LY2606368,0.000316,$k_{S}$,0.042918373388448935,1873.5477544474747
ZR751,LY2606368,0.000316,$k_{G2}$,0.08893762634680326,1873.5477544474747
ZR751,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.15824188140808113,1873.5477544474747
ZR751,LY2606368,0.000316,$k_{\phi}$,1.0769914734027062,1873.5477544474747
ZR751,LY2606368,0.01,$k_{S}$,0.02041264822567146,5.191406554061608
ZR751,LY2606368,0.01,$k_{G2}$,0.13812850888650852,5.191406554061608
ZR751,LY2606368,0.01,$k_{M}$$k_{G1}$,0.02372644805870189,5.191406554061608
ZR751,LY2606368,0.01,$k_{\phi}$,0.9615008060933792,5.191406554061608
ZR751,LY2606368,0.01,$k_{S}$,0.022922875944426203,127.22014939564816
ZR751,LY2606368,0.01,$k_{G2}$,0.13571104067016468,127.22014939564816
ZR751,LY2606368,0.01,$k_{M}$$k_{G1}$,0.032154842558179506,127.22014939564816
ZR751,LY2606368,0.01,$k_{\phi}$,1.531134819773006,127.22014939564816
ZR751,LY2606368,0.01,$k_{S}$,0.019703068109565333,7.901490231412904e-06
ZR751,LY2606368,0.01,$k_{G2}$,0.11751095674913029,7.901490231412904e-06
ZR751,LY2606368,0.01,$k_{M}$$k_{G1}$,0.022968115758215613,7.901490231412904e-06
ZR751,LY2606368,0.01,$k_{\phi}$,3.17152102652175,7.901490231412904e-06
ZR751,LY2606368,0.031623,$k_{S}$,0.029601264799647517,9.056513561409172e-05
ZR751,LY2606368,0.031623,$k_{G2}$,0.18858715886119579,9.056513561409172e-05
ZR751,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.028305340475678335,9.056513561409172e-05
ZR751,LY2606368,0.031623,$k_{\phi}$,1.577600730471761,9.056513561409172e-05
ZR751,LY2606368,0.031623,$k_{S}$,0.021660499813382906,371.6686921683536
ZR751,LY2606368,0.031623,$k_{G2}$,0.1432478790032003,371.6686921683536
ZR751,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.024998980890975832,371.6686921683536
ZR751,LY2606368,0.031623,$k_{\phi}$,0.8080493951955777,371.6686921683536
ZR751,LY2606368,0.031623,$k_{S}$,0.017355548867186543,68.5247910925355
ZR751,LY2606368,0.031623,$k_{G2}$,0.11791606091404655,68.5247910925355
ZR751,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.01920355953250312,68.5247910925355
ZR751,LY2606368,0.031623,$k_{\phi}$,0.8481747794965312,68.5247910925355
ZR751,LY2606368,0.0001,$k_{S}$,0.04248260576785995,127.35188246463281
ZR751,LY2606368,0.0001,$k_{G2}$,0.09238040643121379,127.35188246463281
ZR751,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.18269816368338673,127.35188246463281
ZR751,LY2606368,0.0001,$k_{\phi}$,1.0291182153832017,127.35188246463281
ZR751,LY2606368,0.0001,$k_{S}$,0.035440409600381216,1873.3877619642008
ZR751,LY2606368,0.0001,$k_{G2}$,0.07365522583905727,1873.3877619642008
ZR751,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.14110820017273842,1873.3877619642008
ZR751,LY2606368,0.0001,$k_{\phi}$,0.8628782458224548,1873.3877619642008
ZR751,LY2606368,0.0001,$k_{S}$,0.041521705744159206,1543.2600503077706
ZR751,LY2606368,0.0001,$k_{G2}$,0.08996233325485153,1543.2600503077706
ZR751,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.14744337558404694,1543.2600503077706
ZR751,LY2606368,0.0001,$k_{\phi}$,1.6442671320540603,1543.2600503077706
ZR751,LY2606368,0.1,$k_{S}$,0.023709874164002248,7.381649643305724e-08
ZR751,LY2606368,0.1,$k_{G2}$,0.19632315016167415,7.381649643305724e-08
ZR751,LY2606368,0.1,$k_{M}$$k_{G1}$,0.019921029210623095,7.381649643305724e-08
ZR751,LY2606368,0.1,$k_{\phi}$,1.5057548275002437,7.381649643305724e-08
ZR751,LY2606368,0.1,$k_{S}$,0.020766135820427793,39.41608917301287
ZR751,LY2606368,0.1,$k_{G2}$,0.14005511890214992,39.41608917301287
ZR751,LY2606368,0.1,$k_{M}$$k_{G1}$,0.020741763313448403,39.41608917301287
ZR751,LY2606368,0.1,$k_{\phi}$,0.7184750682989348,39.41608917301287
ZR751,LY2606368,0.1,$k_{S}$,0.021086612990917943,5.605950539185535e-10
ZR751,LY2606368,0.1,$k_{G2}$,0.15733528767629318,5.605950539185535e-10
ZR751,LY2606368,0.1,$k_{M}$$k_{G1}$,0.023817657250196307,5.605950539185535e-10
ZR751,LY2606368,0.1,$k_{\phi}$,1.0727852507809301,5.605950539185535e-10
