cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,BSJ-01-175,1.0,$k_{S}$,0.007771832259725148,90522.80841340646
ZR7530,BSJ-01-175,1.0,$k_{G2}$,0.02356765867443527,90522.80841340646
ZR7530,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.011414166985685117,90522.80841340646
ZR7530,BSJ-01-175,1.0,$k_{\phi}$,1e-07,90522.80841340646
ZR7530,BSJ-01-175,1.0,$k_{S}$,0.007043201290430177,94055.00039775773
ZR7530,BSJ-01-175,1.0,$k_{G2}$,0.022349618748752617,94055.00039775773
ZR7530,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.012585104636352451,94055.00039775773
ZR7530,BSJ-01-175,1.0,$k_{\phi}$,1e-07,94055.00039775773
ZR7530,BSJ-01-175,0.031623,$k_{S}$,0.0092153249518099,635.3737779587682
ZR7530,BSJ-01-175,0.031623,$k_{G2}$,0.05498457467671782,635.3737779587682
ZR7530,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.024423241833543167,635.3737779587682
ZR7530,BSJ-01-175,0.031623,$k_{\phi}$,2.1034788182148265,635.3737779587682
ZR7530,BSJ-01-175,0.031623,$k_{S}$,0.0017159383651371395,8112.648641225146
ZR7530,BSJ-01-175,0.031623,$k_{G2}$,0.03072282406785816,8112.648641225146
ZR7530,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.0024560653105750447,8112.648641225146
ZR7530,BSJ-01-175,0.031623,$k_{\phi}$,1e-07,8112.648641225146
ZR7530,BSJ-01-175,3.162278,$k_{S}$,0.0058742982904757945,63341.09241100276
ZR7530,BSJ-01-175,3.162278,$k_{G2}$,0.024559684474995302,63341.09241100276
ZR7530,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.009694595151674711,63341.09241100276
ZR7530,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,63341.09241100276
ZR7530,BSJ-01-175,3.162278,$k_{S}$,0.004477540776685919,56342.48627565628
ZR7530,BSJ-01-175,3.162278,$k_{G2}$,0.02161034146761598,56342.48627565628
ZR7530,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.01005876705169296,56342.48627565628
ZR7530,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,56342.48627565628
ZR7530,BSJ-01-175,0.01,$k_{S}$,0.016109422431158205,1698.0551305521115
ZR7530,BSJ-01-175,0.01,$k_{G2}$,0.05854976033105655,1698.0551305521115
ZR7530,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.04172237838663793,1698.0551305521115
ZR7530,BSJ-01-175,0.01,$k_{\phi}$,6.167103330200466,1698.0551305521115
ZR7530,BSJ-01-175,0.01,$k_{S}$,0.016627663884129826,3624.9720700572893
ZR7530,BSJ-01-175,0.01,$k_{G2}$,0.07683620932789458,3624.9720700572893
ZR7530,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.044853967876582135,3624.9720700572893
ZR7530,BSJ-01-175,0.01,$k_{\phi}$,2.3613447440539934,3624.9720700572893
ZR7530,BSJ-01-175,0.1,$k_{S}$,0.0011244857203324844,4393.750241689413
ZR7530,BSJ-01-175,0.1,$k_{G2}$,0.01951990740042887,4393.750241689413
ZR7530,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.0015093834177893524,4393.750241689413
ZR7530,BSJ-01-175,0.1,$k_{\phi}$,1e-07,4393.750241689413
ZR7530,BSJ-01-175,0.1,$k_{S}$,0.0033560830859230874,25313.852305569784
ZR7530,BSJ-01-175,0.1,$k_{G2}$,0.024081793288231634,25313.852305569784
ZR7530,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.005254414828880094,25313.852305569784
ZR7530,BSJ-01-175,0.1,$k_{\phi}$,1e-07,25313.852305569784
ZR7530,BSJ-01-175,10.0,$k_{S}$,0.010831058119361647,147839.54103943397
ZR7530,BSJ-01-175,10.0,$k_{G2}$,0.02121538599897729,147839.54103943397
