cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,SY-1365,3.2e-05,$k_{S}$,0.01558278007497739,2.327486945834636e-10
ZR7530,SY-1365,3.2e-05,$k_{G2}$,0.0822666354352207,2.327486945834636e-10
ZR7530,SY-1365,3.2e-05,$k_{M}$$k_{G1}$,0.05083994704051441,2.327486945834636e-10
ZR7530,SY-1365,3.2e-05,$k_{\phi}$,1.430311147027323,2.327486945834636e-10
ZR7530,SY-1365,3.2e-05,$k_{S}$,0.01591792692805781,174.4524931487328
ZR7530,SY-1365,3.2e-05,$k_{G2}$,0.08462342984413619,174.4524931487328
ZR7530,SY-1365,3.2e-05,$k_{M}$$k_{G1}$,0.05699467242497432,174.4524931487328
ZR7530,SY-1365,3.2e-05,$k_{\phi}$,1.5585006318233052,174.4524931487328
ZR7530,SY-1365,0.0001,$k_{S}$,0.01397544374444973,4383.424444741043
ZR7530,SY-1365,0.0001,$k_{G2}$,0.06767927115559809,4383.424444741043
ZR7530,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.045151273854797364,4383.424444741043
ZR7530,SY-1365,0.0001,$k_{\phi}$,0.7262786206594962,4383.424444741043
ZR7530,SY-1365,0.0001,$k_{S}$,0.01771795144232555,2.647088194394138e-10
ZR7530,SY-1365,0.0001,$k_{G2}$,0.07210439899627785,2.647088194394138e-10
ZR7530,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.050432058210084604,2.647088194394138e-10
ZR7530,SY-1365,0.0001,$k_{\phi}$,2.195656043829452,2.647088194394138e-10
ZR7530,SY-1365,0.1,$k_{S}$,0.0034571277543723102,39741.43117188483
ZR7530,SY-1365,0.1,$k_{G2}$,0.023061328351413432,39741.43117188483
ZR7530,SY-1365,0.1,$k_{M}$$k_{G1}$,0.007250005354041946,39741.43117188483
ZR7530,SY-1365,0.1,$k_{\phi}$,1e-07,39741.43117188483
ZR7530,SY-1365,0.1,$k_{S}$,0.004565730028150625,52996.774044685706
ZR7530,SY-1365,0.1,$k_{G2}$,0.024032022404969034,52996.774044685706
ZR7530,SY-1365,0.1,$k_{M}$$k_{G1}$,0.007822085967574952,52996.774044685706
ZR7530,SY-1365,0.1,$k_{\phi}$,1e-07,52996.774044685706
ZR7530,SY-1365,0.01,$k_{S}$,0.009582554061822856,973.8505657648551
ZR7530,SY-1365,0.01,$k_{G2}$,0.03775616505122936,973.8505657648551
ZR7530,SY-1365,0.01,$k_{M}$$k_{G1}$,0.027166728645320663,973.8505657648551
ZR7530,SY-1365,0.01,$k_{\phi}$,1.5225598752058576,973.8505657648551
ZR7530,SY-1365,0.01,$k_{S}$,0.01310310312438327,1.673088079949283e-10
ZR7530,SY-1365,0.01,$k_{G2}$,0.054548053932873986,1.673088079949283e-10
ZR7530,SY-1365,0.01,$k_{M}$$k_{G1}$,0.03974125725664569,1.673088079949283e-10
ZR7530,SY-1365,0.01,$k_{\phi}$,9.372105947576587,1.673088079949283e-10
ZR7530,SY-1365,0.000316,$k_{S}$,0.015802150557946426,231.27861908590188
ZR7530,SY-1365,0.000316,$k_{G2}$,0.07058827221068585,231.27861908590188
ZR7530,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.05232905238786235,231.27861908590188
ZR7530,SY-1365,0.000316,$k_{\phi}$,7.160661026664318,231.27861908590188
ZR7530,SY-1365,0.000316,$k_{S}$,0.016494506100654456,84.78456446115247
ZR7530,SY-1365,0.000316,$k_{G2}$,0.06962193653245884,84.78456446115247
ZR7530,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.05168420361867247,84.78456446115247
ZR7530,SY-1365,0.000316,$k_{\phi}$,3.6609755917208253,84.78456446115247
ZR7530,SY-1365,0.001,$k_{S}$,0.013329167173633543,1.1539091619534974e-10
ZR7530,SY-1365,0.001,$k_{G2}$,0.06297376667954523,1.1539091619534974e-10
ZR7530,SY-1365,0.001,$k_{M}$$k_{G1}$,0.04657650607243263,1.1539091619534974e-10
ZR7530,SY-1365,0.001,$k_{\phi}$,1.871292912541981,1.1539091619534974e-10
ZR7530,SY-1365,0.001,$k_{S}$,0.014775690533894726,2725.61682269982
ZR7530,SY-1365,0.001,$k_{G2}$,0.061394744471310096,2725.61682269982
ZR7530,SY-1365,0.001,$k_{M}$$k_{G1}$,0.042516885621678054,2725.61682269982
ZR7530,SY-1365,0.001,$k_{\phi}$,3.9323770945227348,2725.61682269982
ZR7530,SY-1365,0.031623,$k_{S}$,0.01027381692187537,1037.2662647553013
ZR7530,SY-1365,0.031623,$k_{G2}$,0.0427592273270543,1037.2662647553013
ZR7530,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.027244241959010068,1037.2662647553013
ZR7530,SY-1365,0.031623,$k_{\phi}$,0.7298923136269819,1037.2662647553013
ZR7530,SY-1365,0.031623,$k_{S}$,0.006603040584936049,3624.792462058266
ZR7530,SY-1365,0.031623,$k_{G2}$,0.03239604970732883,3624.792462058266
ZR7530,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.01831342429980164,3624.792462058266
ZR7530,SY-1365,0.031623,$k_{\phi}$,100.0,3624.792462058266
ZR7530,SY-1365,1e-05,$k_{S}$,0.014848288271517717,1866.894136564536
ZR7530,SY-1365,1e-05,$k_{G2}$,0.06449707117428088,1866.894136564536
ZR7530,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.04680124206601422,1866.894136564536
ZR7530,SY-1365,1e-05,$k_{\phi}$,2.5007426853762587,1866.894136564536
ZR7530,SY-1365,1e-05,$k_{S}$,0.015870946183480058,1.5892534130847546e-10
ZR7530,SY-1365,1e-05,$k_{G2}$,0.06591310796231034,1.5892534130847546e-10
ZR7530,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.05294245936745221,1.5892534130847546e-10
ZR7530,SY-1365,1e-05,$k_{\phi}$,3.43285883341174,1.5892534130847546e-10
ZR7530,SY-1365,0.003162,$k_{S}$,0.01178603047691502,2228.505107127485
ZR7530,SY-1365,0.003162,$k_{G2}$,0.05594033076451341,2228.505107127485
ZR7530,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.03590383706171924,2228.505107127485
ZR7530,SY-1365,0.003162,$k_{\phi}$,1.4836859128598359,2228.505107127485
ZR7530,SY-1365,0.003162,$k_{S}$,0.015362668772313808,4122.6184122472305
ZR7530,SY-1365,0.003162,$k_{G2}$,0.05923054318529991,4122.6184122472305
ZR7530,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.05051151241777014,4122.6184122472305
ZR7530,SY-1365,0.003162,$k_{\phi}$,2.147180765677159,4122.6184122472305
