cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,Torin2,1.0,$k_{S}$,1e-07,1952.4819382246221
ZR7530,Torin2,1.0,$k_{G2}$,0.017038298903936936,1952.4819382246221
ZR7530,Torin2,1.0,$k_{M}$$k_{G1}$,0.007885441310030591,1952.4819382246221
ZR7530,Torin2,1.0,$k_{\phi}$,0.1318564964401248,1952.4819382246221
ZR7530,Torin2,1.0,$k_{S}$,1e-07,4860.989074935667
ZR7530,Torin2,1.0,$k_{G2}$,0.020945900221186718,4860.989074935667
ZR7530,Torin2,1.0,$k_{M}$$k_{G1}$,0.007146864564114787,4860.989074935667
ZR7530,Torin2,1.0,$k_{\phi}$,0.05375891799991402,4860.989074935667
ZR7530,Torin2,1.0,$k_{S}$,1e-07,3810.4134948821456
ZR7530,Torin2,1.0,$k_{G2}$,0.01722410496634067,3810.4134948821456
ZR7530,Torin2,1.0,$k_{M}$$k_{G1}$,0.004787968614721877,3810.4134948821456
ZR7530,Torin2,1.0,$k_{\phi}$,0.02546962201767989,3810.4134948821456
ZR7530,Torin2,1.0,$k_{S}$,1e-07,7202.249105513723
ZR7530,Torin2,1.0,$k_{G2}$,0.011953541303721144,7202.249105513723
ZR7530,Torin2,1.0,$k_{M}$$k_{G1}$,0.005676841577579684,7202.249105513723
ZR7530,Torin2,1.0,$k_{\phi}$,0.010507050195410601,7202.249105513723
ZR7530,Torin2,0.31623,$k_{S}$,0.0012209695758286531,5070.2867413257445
ZR7530,Torin2,0.31623,$k_{G2}$,0.10636821856290038,5070.2867413257445
ZR7530,Torin2,0.31623,$k_{M}$$k_{G1}$,0.009886223670189057,5070.2867413257445
ZR7530,Torin2,0.31623,$k_{\phi}$,0.853876865160896,5070.2867413257445
ZR7530,Torin2,0.31623,$k_{S}$,0.0018147890480043308,4251.846846026441
ZR7530,Torin2,0.31623,$k_{G2}$,0.1719051506244024,4251.846846026441
ZR7530,Torin2,0.31623,$k_{M}$$k_{G1}$,0.014417515090292213,4251.846846026441
ZR7530,Torin2,0.31623,$k_{\phi}$,100.0,4251.846846026441
ZR7530,Torin2,0.31623,$k_{S}$,1e-07,3698.132181502327
ZR7530,Torin2,0.31623,$k_{G2}$,0.016917926521499153,3698.132181502327
ZR7530,Torin2,0.31623,$k_{M}$$k_{G1}$,0.005630434412787294,3698.132181502327
ZR7530,Torin2,0.31623,$k_{\phi}$,0.042576714731482224,3698.132181502327
ZR7530,Torin2,0.31623,$k_{S}$,1e-07,3489.74840738096
ZR7530,Torin2,0.31623,$k_{G2}$,0.018960392867588098,3489.74840738096
ZR7530,Torin2,0.31623,$k_{M}$$k_{G1}$,0.006820981935207381,3489.74840738096
ZR7530,Torin2,0.31623,$k_{\phi}$,0.07990738191169355,3489.74840738096
