cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,YKL-5-124,3.162278,$k_{S}$,0.001720150426489504,686.751831107245
ZR7530,YKL-5-124,3.162278,$k_{G2}$,0.14747288113739387,686.751831107245
ZR7530,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.009783544128871164,686.751831107245
ZR7530,YKL-5-124,3.162278,$k_{\phi}$,0.3758942984777778,686.751831107245
ZR7530,YKL-5-124,3.162278,$k_{S}$,0.0011645986630539806,1697.9270764547305
ZR7530,YKL-5-124,3.162278,$k_{G2}$,0.0453239814332294,1697.9270764547305
ZR7530,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.010066651608435423,1697.9270764547305
ZR7530,YKL-5-124,3.162278,$k_{\phi}$,100.0,1697.9270764547305
ZR7530,YKL-5-124,0.01,$k_{S}$,0.003281430276663182,0.0010812361353872253
ZR7530,YKL-5-124,0.01,$k_{G2}$,0.2894252462788839,0.0010812361353872253
ZR7530,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.022368648212651356,0.0010812361353872253
ZR7530,YKL-5-124,0.01,$k_{\phi}$,100.0,0.0010812361353872253
ZR7530,YKL-5-124,0.01,$k_{S}$,0.0015319857000788675,84.75283616244711
ZR7530,YKL-5-124,0.01,$k_{G2}$,0.14275905735193983,84.75283616244711
ZR7530,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.013563001434631525,84.75283616244711
ZR7530,YKL-5-124,0.01,$k_{\phi}$,2.1051879292161644,84.75283616244711
ZR7530,YKL-5-124,10.0,$k_{S}$,0.006531209880319174,79573.12806548057
ZR7530,YKL-5-124,10.0,$k_{G2}$,0.02348553896321436,79573.12806548057
ZR7530,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.0099343164128689,79573.12806548057
ZR7530,YKL-5-124,10.0,$k_{\phi}$,1e-07,79573.12806548057
ZR7530,YKL-5-124,10.0,$k_{S}$,0.004098757709904655,53202.881401213635
ZR7530,YKL-5-124,10.0,$k_{G2}$,0.020914668311429074,53202.881401213635
ZR7530,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.008534233655746485,53202.881401213635
ZR7530,YKL-5-124,10.0,$k_{\phi}$,1e-07,53202.881401213635
ZR7530,YKL-5-124,0.1,$k_{S}$,0.004745489015521331,2725.420061740315
ZR7530,YKL-5-124,0.1,$k_{G2}$,100.0,2725.420061740315
ZR7530,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.022074153985626087,2725.420061740315
ZR7530,YKL-5-124,0.1,$k_{\phi}$,0.004027277597605417,2725.420061740315
ZR7530,YKL-5-124,0.1,$k_{S}$,0.002550115997777016,0.0014384730746809296
ZR7530,YKL-5-124,0.1,$k_{G2}$,100.0,0.0014384730746809296
ZR7530,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.020041374566588166,0.0014384730746809296
ZR7530,YKL-5-124,0.1,$k_{\phi}$,100.0,0.0014384730746809296
ZR7530,YKL-5-124,0.316228,$k_{S}$,1e-07,1530.576712823306
ZR7530,YKL-5-124,0.316228,$k_{G2}$,0.023074982173328182,1530.576712823306
ZR7530,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.007882504453914198,1530.576712823306
ZR7530,YKL-5-124,0.316228,$k_{\phi}$,0.05798060200807566,1530.576712823306
ZR7530,YKL-5-124,0.316228,$k_{S}$,0.0018366478695635902,0.0006633676535740594
ZR7530,YKL-5-124,0.316228,$k_{G2}$,0.4631748580116169,0.0006633676535740594
ZR7530,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.018246562731437124,0.0006633676535740594
ZR7530,YKL-5-124,0.316228,$k_{\phi}$,100.0,0.0006633676535740594
ZR7530,YKL-5-124,0.001,$k_{S}$,0.004541395908986087,1.627268324976237e-10
ZR7530,YKL-5-124,0.001,$k_{G2}$,0.045079074239287545,1.627268324976237e-10
ZR7530,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.0217547850196206,1.627268324976237e-10
ZR7530,YKL-5-124,0.001,$k_{\phi}$,3.718663221601605,1.627268324976237e-10
ZR7530,YKL-5-124,0.001,$k_{S}$,0.005325140381576472,9.337079264253093e-11
ZR7530,YKL-5-124,0.001,$k_{G2}$,0.05976331436365791,9.337079264253093e-11
ZR7530,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.02312264321927724,9.337079264253093e-11
ZR7530,YKL-5-124,0.001,$k_{\phi}$,4.3218470916089435,9.337079264253093e-11
ZR7530,YKL-5-124,0.003162,$k_{S}$,0.004392922644786709,3869.66751980174
ZR7530,YKL-5-124,0.003162,$k_{G2}$,0.1292415231827692,3869.66751980174
ZR7530,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.025994595142471214,3869.66751980174
ZR7530,YKL-5-124,0.003162,$k_{\phi}$,4.36558604107637,3869.66751980174
ZR7530,YKL-5-124,0.003162,$k_{S}$,0.001052764271917552,5.896454068943279e-11
ZR7530,YKL-5-124,0.003162,$k_{G2}$,0.053942735973511395,5.896454068943279e-11
ZR7530,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.011670586454294016,5.896454068943279e-11
ZR7530,YKL-5-124,0.003162,$k_{\phi}$,0.32237746368461606,5.896454068943279e-11
ZR7530,YKL-5-124,0.031623,$k_{S}$,0.003058398672856074,493.1374760608367
ZR7530,YKL-5-124,0.031623,$k_{G2}$,0.8111370756327965,493.1374760608367
ZR7530,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.021913816972927935,493.1374760608367
ZR7530,YKL-5-124,0.031623,$k_{\phi}$,60.24696428837445,493.1374760608367
ZR7530,YKL-5-124,0.031623,$k_{S}$,0.0011416344520747818,296.05445621650597
ZR7530,YKL-5-124,0.031623,$k_{G2}$,1.1458384854800487,296.05445621650597
ZR7530,YKL-5-124,0.031623,$k_{M}$$k_{G1}$,0.015587437987178975,296.05445621650597
ZR7530,YKL-5-124,0.031623,$k_{\phi}$,1.9550503770863048,296.05445621650597
ZR7530,YKL-5-124,1.0,$k_{S}$,0.0025107250773801124,2.2766200579366373e-10
ZR7530,YKL-5-124,1.0,$k_{G2}$,0.7743966503668752,2.2766200579366373e-10
ZR7530,YKL-5-124,1.0,$k_{M}$$k_{G1}$,0.014284018421193364,2.2766200579366373e-10
ZR7530,YKL-5-124,1.0,$k_{\phi}$,0.2587275756665157,2.2766200579366373e-10
ZR7530,YKL-5-124,1.0,$k_{S}$,0.0013470272169150796,0.00018274070339918365
ZR7530,YKL-5-124,1.0,$k_{G2}$,0.27825326355938085,0.00018274070339918365
ZR7530,YKL-5-124,1.0,$k_{M}$$k_{G1}$,0.007936632703885392,0.00018274070339918365
ZR7530,YKL-5-124,1.0,$k_{\phi}$,1.4981040682679851,0.00018274070339918365
